id,family,kind,lockable,exact_t1_ok,same_bar_fills,oof_cagr,oof_mdd,oof_n_days,late_bull_cagr,late_bull_mdd,late_bull_n_days,mean_fin_w_oof,n_fills,mdd_improve_pp,cagr_giveback_pp,late_bull_cagr_giveback_pp,pass_oof,is_baseline,params_json,fail_reasons,base_oof_cagr,base_oof_mdd,base_late_bull_cagr
BASE,BASE,base,False,True,0,0.08846959052336945,-0.17412900003864262,1495,0.11080464875479756,-0.06979935284276184,493,0.8029110495104267,6262,0.0,0.0,0.0,False,True,{},,,,
L2_FINCAP_ONLY,L2-REF,fin_cap,False,True,0,0.08498439286806181,-0.128423137196493,1495,0.09823406081314556,-0.06717918108745258,493,0.5,8172,4.570586284214961,0.3485197655307637,1.2570587941652,False,False,"{""fin_lo"": 0.35, ""fin_hi"": 0.5}",not_lockable_reference,0.08846959052336945,-0.17412900003864262,0.11080464875479756
L3_MILD_35_60,L3-FINCAP-MILD,fin_cap,True,True,0,0.087488148875698,-0.14537386469498237,1495,0.10927561286710308,-0.06781868135329028,493,0.5973947271784545,7220,2.8755135343660254,0.09814416476714438,0.15290358876944854,True,False,"{""fin_lo"": 0.35, ""fin_hi"": 0.6}",,0.08846959052336945,-0.17412900003864262,0.11080464875479756
L3_MILD_35_70,L3-FINCAP-MILD,fin_cap,True,True,0,0.08896753145206326,-0.15700558404815124,1495,0.11578256659096309,-0.0700021302823528,493,0.6860416843114133,6393,1.7123415990491386,-0.049794092869381856,-0.4977917836165524,False,False,"{""fin_lo"": 0.35, ""fin_hi"": 0.7}",mdd_improve,0.08846959052336945,-0.17412900003864262,0.11080464875479756
L3_MILD_35_80,L3-FINCAP-MILD,fin_cap,True,True,0,0.088495108723599,-0.16474655516933545,1495,0.11318861868414687,-0.07346875493277971,493,0.76384573147318,5404,0.9382444869307172,-0.002551820022955731,-0.23839699293493055,False,False,"{""fin_lo"": 0.35, ""fin_hi"": 0.8}",mdd_improve,0.08846959052336945,-0.17412900003864262,0.11080464875479756
L3_MILD_50_60,L3-FINCAP-MILD,fin_cap,True,True,0,0.087488148875698,-0.14537386469498237,1495,0.10927561286710308,-0.06781868135329028,493,0.5973947271784545,7220,2.8755135343660254,0.09814416476714438,0.15290358876944854,True,False,"{""fin_lo"": 0.5, ""fin_hi"": 0.6}",,0.08846959052336945,-0.17412900003864262,0.11080464875479756
L3_MILD_50_70,L3-FINCAP-MILD,fin_cap,True,True,0,0.08896753145206326,-0.15700558404815124,1495,0.11578256659096309,-0.0700021302823528,493,0.6860416843114133,6393,1.7123415990491386,-0.049794092869381856,-0.4977917836165524,False,False,"{""fin_lo"": 0.5, ""fin_hi"": 0.7}",mdd_improve,0.08846959052336945,-0.17412900003864262,0.11080464875479756
L3_MILD_50_80,L3-FINCAP-MILD,fin_cap,True,True,0,0.088495108723599,-0.16474655516933545,1495,0.11318861868414687,-0.07346875493277971,493,0.76384573147318,5404,0.9382444869307172,-0.002551820022955731,-0.23839699293493055,False,False,"{""fin_lo"": 0.5, ""fin_hi"": 0.8}",mdd_improve,0.08846959052336945,-0.17412900003864262,0.11080464875479756
L3_BLEND_025,L3-FINCAP-BLEND,blend,True,True,0,0.0881421835270173,-0.16043210613542758,1495,0.10678789699609847,-0.06941020744504955,493,0.7271832871328202,7036,1.3696893903215046,0.0327406996352142,0.40167517586990886,False,False,"{""alpha"": 0.25}",mdd_improve,0.08846959052336945,-0.17412900003864262,0.11080464875479756
L3_BLEND_050,L3-FINCAP-BLEND,blend,True,True,0,0.08850344362042128,-0.14584005807700873,1495,0.10432024694044606,-0.06847737991570624,493,0.6514555247552134,7637,2.8288941961633896,-0.0033853097051839143,0.6484401814351504,True,False,"{""alpha"": 0.5}",,0.08846959052336945,-0.17412900003864262,0.11080464875479756
L3_BLEND_075,L3-FINCAP-BLEND,blend,True,True,0,0.08746789007423761,-0.13674683270478927,1495,0.10317394437242355,-0.06715781309664026,493,0.5757277623776067,7899,3.7382167333853356,0.10017004491318371,0.763070438237401,True,False,"{""alpha"": 0.75}",,0.08846959052336945,-0.17412900003864262,0.11080464875479756
