id,signal,alpha,heldout_score,mdd_improve_pp,cagr_giveback_pp,tip_ytd,tip_1y,tip_clean,tip_mdd_ytd_pp,tip_mdd_1y_pp,tip_mdd_clean,promote_shaped,coexist,vs_live_heldout_delta,full_cagr,full_mdd,heldout_cagr,heldout_mdd,sealed_cagr,sealed_mdd,n_fills,is_seed
SLEEVE_RSI14_LT30_a0225,RSI14_LT30,0.225,0.09872578377776442,0.10431108645896359,0.011170605362398334,PASS,PASS,True,0.03523233762381395,0.035232337623802845,True,True,True,0.09872578377776442,0.1402564570424354,-0.2161595899118477,0.18382145455774923,-0.2161595899118477,0.2556756354941907,-0.12772562249789854,5759,False
SLEEVE_RSI14_LT30_a0175,RSI14_LT30,0.175,0.009310664144268621,0.016749979977148666,0.01487863166576009,PASS,PASS,True,0.006259375473727236,0.006259375473716133,True,True,True,0.009310664144268621,0.14015149948458117,-0.21703520097666584,0.1837843742947156,-0.21703520097666584,0.2556936792750919,-0.1280153521193994,5756,False
SLEEVE_RSI14_LT30_a02,RSI14_LT30,0.2,0.0033325616638602007,0.009614391908818742,0.012563660489917083,PASS,PASS,True,0.0068522904691614706,0.0068522904691614706,True,True,True,0.0033325616638602007,0.14023488196784784,-0.21710655685734914,0.18380752400647404,-0.21710655685734914,0.25573961600743855,-0.12800942296944506,5781,False
LIVE_STACK,none,,0.0,0.0,0.0,PASS,PASS,True,0.0,0.0,True,False,False,0.0,0.14023801686669346,-0.21720270077643722,0.18393316061137321,-0.21720270077643733,0.2557299834147724,-0.12807794587413646,5751,False
SLEEVE_BELOW_MA60_a01,BELOW_MA60,0.1,0.05038393940839381,0.0624505979783585,-0.02413331713992939,PASS,PASS,True,-0.15437237900276513,-0.15437237900275402,False,False,True,0.05038393940839381,0.1405923242314393,-0.21657819479665374,0.1841744937827725,-0.21657819479665374,0.2564712307685646,-0.12962166966416433,5726,True
SLEEVE_BELOW_MA60_a0125,BELOW_MA60,0.125,0.04871235263920193,0.05850196658131468,-0.019579227884225503,PASS,PASS,True,-0.1637263994470728,-0.1637263994470839,False,False,True,0.04871235263920193,0.14049999704307536,-0.2166176811106243,0.18412895289021547,-0.21661768111062418,0.25646346390808716,-0.12971520986860752,5685,False
SLEEVE_BELOW_MA60_a005,BELOW_MA60,0.05,0.020306604487363433,0.0350552268310822,0.02949724468743753,PASS,PASS,True,-0.06668442177315548,-0.06668442177316658,False,False,True,0.020306604487363433,0.1399854578379638,-0.21685214850812662,0.18363818816449884,-0.2168521485081265,0.2554323832706207,-0.12874479009186823,5783,False
SLEEVE_RSI14_LT30_a0125,RSI14_LT30,0.125,-0.002300411593947338,0.006563395453651477,-0.01772761409519763,PASS,PASS,True,-0.06551428859008501,-0.06551428859010722,False,False,False,-0.002300411593947338,0.14038055300800156,-0.21713706682190093,0.1841104367523252,-0.21713706682190081,0.2559673714090247,-0.12873308876003775,5767,False
SLEEVE_RSI14_LT30_a015,RSI14_LT30,0.15,-0.007133039050166712,0.0016445625715899581,-0.01755520324351334,PASS,PASS,True,-0.07209479701107968,-0.07209479701107968,False,False,False,-0.007133039050166712,0.14034683817944482,-0.21718625515072143,0.18410871264380835,-0.21718625515072143,0.25600281761597876,-0.12879889384424748,5756,False
SLEEVE_RSI14_LT30_a01,RSI14_LT30,0.1,-0.01322461591618529,-0.005783392948388588,-0.014882445935593402,PASS,PASS,True,-0.05859145234651253,-0.058591452346534734,False,False,False,-0.01322461591618529,0.14034692142746974,-0.21726053470592122,0.18408198507072915,-0.21726053470592122,0.2560308916967631,-0.12866386039760191,5777,False
SLEEVE_BELOW_MA60_a0025,BELOW_MA60,0.025,-0.022022109008301705,-0.019787128574266788,-0.004469960868069833,PASS,PASS,True,-0.18144518973440826,-0.18144518973441937,False,False,False,-0.022022109008301705,0.14027630080815,-0.2174005720621801,0.1839778602200539,-0.21740057206218,0.25620838807240465,-0.12989239777148076,5733,False
SLEEVE_BELOW_MA40_a0025,BELOW_MA40,0.025,-0.07321386958641929,-0.06365852189211818,0.019110695388602217,PASS,PASS,True,-0.15254649741559545,-0.15254649741559545,False,False,False,-0.07321386958641929,0.1401903043845334,-0.21783928599535862,0.1837420536574872,-0.2178392859953585,0.2553467072851898,-0.12960341084829263,5739,False
SLEEVE_BELOW_MA60_a0075,BELOW_MA60,0.075,-0.10637403566615689,-0.10556982333117526,0.0016084246699632487,PASS,PASS,True,-0.11299039140788558,-0.11299039140789668,False,False,False,-0.10637403566615689,0.14033715049236384,-0.21825839900974908,0.18391707636467358,-0.21825839900974908,0.25606991932428547,-0.12920784978821542,5758,False
SLEEVE_BELOW_MA40_a005,BELOW_MA40,0.05,-0.13850582331352834,-0.13222155517828016,0.012568536270496367,PASS,PASS,True,-0.1354106373306574,-0.1354106373306685,False,False,False,-0.13850582331352834,0.1402746933116079,-0.21852491632822013,0.18380747524866825,-0.21852491632822013,0.2562258762838676,-0.12943205224744336,5730,False
