book,kind,mode,cut,cost_multiple,window,mdd_improve_pp,cagr_giveback_pp,score,covid_ex_mdd_improve_pp,covid_ex_cagr_giveback_pp,covid_ex_score,help_2015_pp,help_2018_pp,help_2020_pp,help_2022_pp,years_helped,n_years_helped,turnover_per_year,fees_tax_sum
BASE_E16_E18_E22_v2s,ref,,,0,heldout_2019_plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.195322522131772,0.0
BASE_E16_E18_E22_v2s,ref,,,0,sealed_2023_plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.195322522131772,0.0
BASE_E16_E18_E22_v2s,ref,,,0,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.195322522131772,0.0
BLEND_E45_A05,ref_e45,,,0,heldout_2019_plus,0.6946269483974254,0.9406448486156904,0.22430452408958024,-1.5068573074256353,1.1118823860165605,-2.0627985004339155,-0.07745851740771359,0.08090951274830616,0.6946269483974254,-1.5068573074256464,2020,1,2.233820089797587,0.0
BLEND_E45_A05,ref_e45,,,0,sealed_2023_plus,2.6753237652790585,1.375903651763366,1.9873719393973754,-1.5068573074256353,1.1118823860165605,-2.0627985004339155,-0.07745851740771359,0.08090951274830616,0.6946269483974254,-1.5068573074256464,2020,1,2.233820089797587,0.0
BLEND_E45_A05,ref_e45,,,0,full,0.6946269483974143,0.40998511390410997,0.48963439144535936,-1.5068573074256353,1.1118823860165605,-2.0627985004339155,-0.07745851740771359,0.08090951274830616,0.6946269483974254,-1.5068573074256464,2020,1,2.233820089797587,0.0
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,0,heldout_2019_plus,0.8632778683128839,1.2317836160515183,0.24738606028712473,-1.5920454925506644,1.455747740226787,-2.319919362664058,-0.054495021768841134,0.19938480420561566,0.8632778683128728,-1.5920454925506866,2020,1,2.273504523631205,0.0
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,0,sealed_2023_plus,3.291285035951741,1.772694072049097,2.4049379999271925,-1.5920454925506644,1.455747740226787,-2.319919362664058,-0.054495021768841134,0.19938480420561566,0.8632778683128728,-1.5920454925506866,2020,1,2.273504523631205,0.0
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,0,full,0.8632778683128728,0.5436178342310694,0.5914689511973381,-1.5920454925506644,1.455747740226787,-2.319919362664058,-0.054495021768841134,0.19938480420561566,0.8632778683128728,-1.5920454925506866,2020,1,2.273504523631205,0.0
M2_SHRINK_C50,m2_shrink,SHRINK,0.5,0,heldout_2019_plus,5.416323041311877,5.4689697907528645,2.6818381459354446,3.087308578702408,6.445501203631143,-0.13544202311316367,2.4145469365986383,1.4850364226653423,5.4163230413118875,3.087308578702408,"2015,2018,2020,2022",4,3.667908127248578,0.0
M2_SHRINK_C50,m2_shrink,SHRINK,0.5,0,sealed_2023_plus,6.074915965417582,9.951367842214509,1.0992320443103276,3.087308578702408,6.445501203631143,-0.13544202311316367,2.4145469365986383,1.4850364226653423,5.4163230413118875,3.087308578702408,"2015,2018,2020,2022",4,3.667908127248578,0.0
M2_SHRINK_C50,m2_shrink,SHRINK,0.5,0,full,5.416323041311877,3.322669839657033,3.7549881214833603,3.087308578702408,6.445501203631143,-0.13544202311316367,2.4145469365986383,1.4850364226653423,5.4163230413118875,3.087308578702408,"2015,2018,2020,2022",4,3.667908127248578,0.0
M2_RELOC_TEL_C50,m2_reloc_tel,RELOC_TEL,0.5,0,heldout_2019_plus,1.7105094060899884,1.625529333817477,0.8977447391812499,1.739914374169682,1.9205964747050386,0.7796161368171628,2.1652562244005247,0.5686996829046498,1.7105094060899995,1.739914374169671,"2015,2018,2020,2022",4,4.028515734842267,0.0
M2_RELOC_TEL_C50,m2_reloc_tel,RELOC_TEL,0.5,0,sealed_2023_plus,1.3884114635219658,2.079752852937866,0.3485350370530327,1.739914374169682,1.9205964747050386,0.7796161368171628,2.1652562244005247,0.5686996829046498,1.7105094060899995,1.739914374169671,"2015,2018,2020,2022",4,4.028515734842267,0.0
M2_RELOC_TEL_C50,m2_reloc_tel,RELOC_TEL,0.5,0,full,1.7105094060899773,0.6846791114340833,1.3681698503729356,1.739914374169682,1.9205964747050386,0.7796161368171628,2.1652562244005247,0.5686996829046498,1.7105094060899995,1.739914374169671,"2015,2018,2020,2022",4,4.028515734842267,0.0
M2_RELOC_719B_C50,m2_reloc_719b,RELOC_719B,0.5,0,heldout_2019_plus,3.2797850310037457,5.088675336471771,0.7354473627678604,3.516249519767922,5.998806018337044,0.5168465105994002,3.3214679419674487,1.3524326453721036,3.279785031003757,4.6846935324148635,"2015,2018,2020,2022",4,4.599832226326948,0.0
M2_RELOC_719B_C50,m2_reloc_719b,RELOC_719B,0.5,0,sealed_2023_plus,3.701421756884149,6.117710186869152,0.642566663449573,3.516249519767922,5.998806018337044,0.5168465105994002,3.3214679419674487,1.3524326453721036,3.279785031003757,4.6846935324148635,"2015,2018,2020,2022",4,4.599832226326948,0.0
M2_RELOC_719B_C50,m2_reloc_719b,RELOC_719B,0.5,0,full,3.2797850310037346,3.0642639605552358,1.7476530507261168,3.516249519767922,5.998806018337044,0.5168465105994002,3.3214679419674487,1.3524326453721036,3.279785031003757,4.6846935324148635,"2015,2018,2020,2022",4,4.599832226326948,0.0
M2_RELOC_719B_C75,m2_reloc_719b,RELOC_719B,0.75,0,heldout_2019_plus,5.562601632500675,7.499228287824766,1.8129874885882917,0.0002060196688358218,8.826374968703398,-4.412981464682863,5.096088576362401,1.7173014566042255,5.606050366848681,5.501684371547933,"2015,2018,2020,2022",4,5.772287504170326,0.0
