portfolio,start,end,days,ending_nav,cumulative_return,cagr,annualized_volatility,sharpe_rf0,max_drawdown,calmar,average_daily_turnover,total_cost,trade_count,top_k,rebalance_every,exit_multiple,neutralization,industry_cap,turnover_feasible,utility
TRAIN_OOF,2011-01-03,2018-12-28,1972,1.521195860620075,0.5211958606200751,0.055098672497107204,0.20148024491276562,0.3671293688934787,-0.3497990791437001,0.15751520167516578,0.09904953626994964,0.7601294051308474,9868,20,5,1.25,NONE,3,false,-0.11980086707474286
TRAIN_OOF,2011-01-03,2018-12-28,1972,1.6268084626002015,0.6268084626002015,0.06419247074053169,0.2035128413777006,0.4076450520260433,-0.3442744356519766,0.18645726807732885,0.09153882569347549,0.6908687428163575,9703,20,5,1.25,NONE,5,false,-0.1079447470854566
TRAIN_OOF,2011-01-03,2018-12-28,1972,1.0111942936422043,0.011194293642204256,0.00142429569735536,0.2134155129221784,0.11358672010871185,-0.4056557968146238,0.0035110941555365795,0.12447320049338156,0.7683356031423773,10355,20,5,1.25,INDUSTRY_LIQUIDITY,3,false,-0.20140360270995655
TRAIN_OOF,2011-01-03,2018-12-28,1972,1.1864288298931465,0.18642882989314646,0.022096940746428873,0.2140534807893506,0.20942896022862878,-0.4015658501256968,0.05502694200593044,0.11568309161233846,0.7725719005721196,10181,20,5,1.25,INDUSTRY_LIQUIDITY,5,false,-0.17868598431641952
TRAIN_OOF,2011-01-03,2018-12-28,1972,1.7139523232918157,0.7139523232918157,0.07131613725526376,0.19643412053379877,0.44906471779732254,-0.33775199194147865,0.21114942015684843,0.08344520572396676,0.6802378236809342,9617,20,5,1.5,NONE,3,false,-0.09755985871547557
TRAIN_OOF,2011-01-03,2018-12-28,1972,1.9327841638637948,0.9327841638637948,0.08790169436650586,0.19780970452573235,0.5249395532692055,-0.3327883934259971,0.26413689931182277,0.07359297472816535,0.6028160797743576,9361,20,5,1.5,NONE,5,false,-0.07849250234649269
TRAIN_OOF,2011-01-03,2018-12-28,1972,1.1342905050920964,0.1342905050920964,0.01624100304158871,0.2111595461457515,0.18205624996320074,-0.3917971637897192,0.04145257940229856,0.11073139814657762,0.7296984373714385,10089,20,5,1.5,INDUSTRY_LIQUIDITY,3,false,-0.17965757885327088
TRAIN_OOF,2011-01-03,2018-12-28,1972,1.2102167145186056,0.21021671451860557,0.02469442867480187,0.21284757230317553,0.2212628848182561,-0.38449205644831563,0.06422610886402372,0.09845964635134984,0.7019843150892671,9826,20,5,1.5,INDUSTRY_LIQUIDITY,5,false,-0.16755159954935595
TRAIN_OOF,2011-01-03,2018-12-28,1972,1.9813732253966134,0.9813732253966134,0.09136065487297085,0.19504655007373956,0.5459247420843206,-0.34214671667934193,0.26702186640766035,0.06278444647733983,0.5577478847631809,9115,20,5,2.0,NONE,3,false,-0.07971270346670012
TRAIN_OOF,2011-01-03,2018-12-28,1972,2.2557618455761497,1.2557618455761497,0.10960885228432704,0.196998324464094,0.626606511598968,-0.3255064577558904,0.33673326495576583,0.057736702271625424,0.5282668297575207,8996,20,5,2.0,NONE,5,false,-0.05314437659361815
TRAIN_OOF,2011-01-03,2018-12-28,1972,1.368578593813304,0.36857859381330393,0.04093261320187169,0.2086961474354694,0.29678493051858845,-0.3591549959704472,0.1139692156899296,0.08720490250597232,0.6451057717028065,9598,20,5,2.0,INDUSTRY_LIQUIDITY,3,false,-0.1386448847833519
TRAIN_OOF,2011-01-03,2018-12-28,1972,1.5460698970529927,0.5460698970529927,0.057288912706841,0.21198156879324617,0.36903421313728496,-0.39822854229959814,0.14385938380012198,0.07787973018484372,0.6000100729254481,9395,20,5,2.0,INDUSTRY_LIQUIDITY,5,false,-0.14182535844295807
TRAIN_OOF,2011-01-03,2018-12-28,1972,1.8593960045764155,0.8593960045764155,0.08253075114564568,0.19768401755831377,0.5002402627444124,-0.31674040455730434,0.2605627509410922,0.06553059638012465,0.563505206416443,5254,20,10,1.25,NONE,3,false,-0.0758394511330065
TRAIN_OOF,2011-01-03,2018-12-28,1972,1.9526489125270388,0.9526489125270388,0.08932489100391505,0.20077266755137918,0.5267803625578973,-0.32251840677398613,0.27696059861325056,0.061802809649607174,0.5295930228619518,5173,20,10,1.25,NONE,5,false,-0.07193431238307801
TRAIN_OOF,2011-01-03,2018-12-28,1972,1.2201648951065818,0.22016489510658177,0.025767521292153317,0.20842152285258822,0.2264908287714059,-0.37563185846167557,0.0685978058348911,0.07929682591988076,0.5490259001279797,5530,20,10,1.25,INDUSTRY_LIQUIDITY,3,false,-0.16204840793868447
TRAIN_OOF,2011-01-03,2018-12-28,1972,1.3941584720885551,0.39415847208855515,0.04340008435993137,0.21126833599583295,0.30702527605327795,-0.3826742866492593,0.11341259623150426,0.07712330759432419,0.5644352701739781,5480,20,10,1.25,INDUSTRY_LIQUIDITY,5,false,-0.14793705896469828
TRAIN_OOF,2011-01-03,2018-12-28,1972,1.8591285281980345,0.8591285281980345,0.08251084005983089,0.19293761319137284,0.5076119036145995,-0.3049127393372244,0.27060476462604066,0.05750483258823274,0.49813636520496285,5135,20,10,1.5,NONE,3,false,-0.06994552960878131
