portfolio,start,end,days,ending_nav,cumulative_return,cagr,annualized_volatility,sharpe_rf0,max_drawdown,calmar,average_daily_turnover,total_cost,trade_count
VALIDATION_2019_2022,2019-01-02,2022-12-30,977,1.7156288477433348,0.7156288477433348,0.14954860254780344,0.22487506455361425,0.7332504143307654,-0.33500909230009956,0.4464016230754672,0.07049865737379854,0.3575070971049434,4562
VALIDATION_2019_2022_MARKET_PROXY,2019-01-02,2022-12-30,977,2.09009338126328,1.09009338126328,0.20966671665083858,0.1823973830667048,1.1276846995009848,-0.2958435956458647,0.7087079785962888,0.0,0.0,0
SEALED_2023_LATEST,2023-01-03,2026-08-28,879,3.920484490904,2.920484490904,0.4801235423575818,0.2388413374667987,1.7624133009976588,-0.3250741682684548,1.476966148725429,0.046783335938232216,0.2531964081095978,3899
SEALED_2023_LATEST_MARKET_PROXY,2023-01-03,2026-08-28,879,1.942230065924133,0.9422300659241329,0.20989279403213867,0.16976795858741053,1.2149736127762427,-0.25590402855380745,0.8202012106581813,0.0,0.0,0
