date,nav,cash,gross_equity,equity_weight,regime,e45_equity_scale,dividend_credit,stock_shares_added,cil_cash_credit,pre_financial,pre_fin_pub,pre_fin_priv,pre_telecom,pre_0050,pre_def,tgt_financial,tgt_fin_pub,tgt_fin_priv,tgt_telecom,tgt_0050,tgt_def
2012-12-04,500000000.0,500000000.0,0.0,0.0,Bull,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7605428183142507,0.0,0.0,0.09359444582704865,0.1458627358587006,0.0
2012-12-05,500960597.8842055,400153047.8842055,100807550.0,0.20122850065605588,Bull,1.0,0.0,0.0,0.0,0.15347823825811532,0.0,0.0,0.018566330444515076,0.029183931953425484,0.0,0.7727599815078159,0.0,0.0,0.07769583437028649,0.14954418412189766,0.0
2012-12-06,500778853.35687506,299979253.35687506,200799600.0,0.4009745991748221,Bull,1.0,0.0,0.0,0.0,0.30871291581840826,0.0,0.0,0.03317931635615438,0.05908236700025945,0.0,0.788664375338453,0.0,0.0,0.06577187577771487,0.14556374888383214,0.0
2012-12-07,500862952.84371644,199911852.84371644,300951100.0,0.6008651633971126,Bull,1.0,0.0,0.0,0.0,0.46879011247866076,0.0,0.0,0.043723736953715765,0.0883513139647361,0.0,0.8024396540635093,0.0,0.0,0.056828906833286154,0.14073143910320468,0.0
2012-12-10,497689604.04678935,99734904.04678933,397954700.0,0.7996042046371277,Bull,1.0,0.0,0.0,0.0,0.6337743393377092,0.0,0.0,0.051025779508973905,0.11480408579044458,0.0,0.793949906532411,0.0,0.0,0.07647761049501442,0.12957248297257462,0.0
2012-12-11,498617178.484634,24952028.48463396,473665150.0,0.9499575434595603,Bull,1.0,0.0,0.0,0.0,0.7543547760290241,0.0,0.0,0.07014399324606871,0.12545877418446746,0.0,0.793949906532411,0.0,0.0,0.07647761049501442,0.12957248297257462,0.0
2012-12-12,503631597.2542181,6274897.254218085,497356700.0,0.9875406998122663,Bull,1.0,0.0,0.0,0.0,0.7855351057338501,0.0,0.0,0.07374636580089779,0.12825922827751846,0.0,0.793949906532411,0.0,0.0,0.07647761049501442,0.12957248297257462,0.0
2012-12-13,505460997.2542181,6274897.254218085,499186100.0,0.9875857933880066,Bull,1.0,0.0,0.0,0.0,0.785299562490996,0.0,0.0,0.07307388740307355,0.12921234349393704,0.0,0.7983553274774693,0.0,0.0,0.06485820787126081,0.13678646465126995,0.0
2012-12-14,504823547.2542181,6274897.254218085,498548650.0,0.9875701177404504,Bull,1.0,0.0,0.0,0.0,0.7867973912080252,0.0,0.0,0.07257981565893339,0.12819291087349188,0.0,0.7983553274774693,0.0,0.0,0.06485820787126081,0.13678646465126995,0.0
2012-12-17,501982397.2542181,6274897.254218085,495707500.0,0.9874997663492963,Bull,1.0,0.0,0.0,0.0,0.7871640562724526,0.0,0.0,0.07308224392063925,0.12725346615620442,0.0,0.8097281949426023,0.0,0.0,0.06377043594108527,0.1265013691163125,0.0
