id,family,kind,lockable,exact_t1_ok,same_bar_fills,oof_cagr,oof_mdd,oof_n_days,late_bull_cagr,late_bull_mdd,late_bull_n_days,mean_fin_w_oof,oof_flag_share,n_fills,mdd_improve_pp,cagr_giveback_pp,late_bull_cagr_giveback_pp,util,pass_oof,is_baseline,params_json,fail_reasons,base_oof_cagr,base_oof_mdd,base_late_bull_cagr
BASE,BASE,base,False,True,0,0.08846959052336945,-0.17412900003864262,1495,0.11080464875479756,-0.06979935284276184,493,0.8029110495104267,,6262,0.0,0.0,0.0,0.0,False,True,{},,,,
FIN_CAP_50_REF,REF-STOPPED,fin_cap,False,True,0,0.08498439286806181,-0.128423137196493,1495,0.09823406081314556,-0.06717918108745258,493,0.5,,8172,4.570586284214961,0.3485197655307637,1.2570587941652,3.9420568871323614,False,False,"{""fin_lo"": 0.35, ""fin_hi"": 0.5}",not_lockable_reference,0.08846959052336945,-0.17412900003864262,0.11080464875479756
L3_MILD_35_60_REF,REF-STOPPED,fin_cap,False,True,0,0.087488148875698,-0.14537386469498237,1495,0.10927561286710308,-0.06781868135329028,493,0.5973947271784545,,7220,2.8755135343660254,0.09814416476714438,0.15290358876944854,2.799061739981301,False,False,"{""fin_lo"": 0.35, ""fin_hi"": 0.6}",not_lockable_reference,0.08846959052336945,-0.17412900003864262,0.11080464875479756
L4_CRISIS_ONLY_50,L4-CRISIS-ONLY,crisis_only,True,True,0,0.08859012116002662,-0.16107626476589088,1495,0.10864659484029482,-0.07341745200313543,493,0.7917739403141639,0.08896321070234113,6471,1.3052735272751748,-0.0120530636657179,0.21580539145027444,1.1973708315500375,False,False,"{""fin_lo"": 0.35, ""fin_hi"": 0.5}",mdd_improve,0.08846959052336945,-0.17412900003864262,0.11080464875479756
L4_FINCAP_70_35,L4-FINCAP-70,fin_cap,True,True,0,0.08896753145206326,-0.15700558404815124,1495,0.11578256659096309,-0.0700021302823528,493,0.6860416843114133,,6393,1.7123415990491386,-0.049794092869381856,-0.4977917836165524,1.9612374908574148,True,False,"{""fin_lo"": 0.35, ""fin_hi"": 0.7}",,0.08846959052336945,-0.17412900003864262,0.11080464875479756
L4_FINCAP_70_50,L4-FINCAP-70,fin_cap,True,True,0,0.08896753145206326,-0.15700558404815124,1495,0.11578256659096309,-0.0700021302823528,493,0.6860416843114133,,6393,1.7123415990491386,-0.049794092869381856,-0.4977917836165524,1.9612374908574148,True,False,"{""fin_lo"": 0.5, ""fin_hi"": 0.7}",,0.08846959052336945,-0.17412900003864262,0.11080464875479756
L4_BLEND_025,L4-BLEND-LIGHT,blend,True,True,0,0.0881421835270173,-0.16043210613542758,1495,0.10678789699609847,-0.06941020744504955,493,0.7271832871328202,,7036,1.3696893903215046,0.0327406996352142,0.40167517586990886,1.1688518023865502,False,False,"{""alpha"": 0.25}",mdd_improve,0.08846959052336945,-0.17412900003864262,0.11080464875479756
L4_BLEND_050,L4-BLEND-LIGHT,blend,True,True,0,0.08850344362042128,-0.14584005807700873,1495,0.10432024694044606,-0.06847737991570624,493,0.6514555247552134,,7637,2.8288941961633896,-0.0033853097051839143,0.6484401814351504,2.5046741054458144,True,False,"{""alpha"": 0.5}",,0.08846959052336945,-0.17412900003864262,0.11080464875479756
L4_DD_PATH_08_50,L4-DD-PATH,dd_path,True,True,0,0.09615338402116147,-0.15166068863292348,1495,0.11796572862954191,-0.06676299831453081,493,0.762825322268153,0.2093645484949833,6409,2.2468311405719144,-0.7683793497792024,-0.7161079874744347,2.6048851343091317,True,False,"{""dd_thr"": -0.08, ""fin_lo"": 0.35, ""fin_hi"": 0.5}",,0.08846959052336945,-0.17412900003864262,0.11080464875479756
L4_DD_PATH_10_50,L4-DD-PATH,dd_path,True,True,0,0.09288445628721465,-0.1526868003806625,1495,0.1181475159370724,-0.06718902048647712,493,0.7685062592718336,0.1879598662207358,6344,2.144219965798011,-0.44148657638451994,-0.7342867182274837,2.511363324911753,True,False,"{""dd_thr"": -0.1, ""fin_lo"": 0.35, ""fin_hi"": 0.5}",,0.08846959052336945,-0.17412900003864262,0.11080464875479756
