id,mode,assist,heldout_score,mdd_improve_pp,cagr_giveback_pp,tip_ytd,tip_1y,tip_clean,coexist,vs_live_heldout_delta,n_fills,full_cagr,full_mdd
KD+SELL_BB_UPPER,KD+SELL_HIGH,BB_UPPER,-2.342161220732475,-2.157773709020805,-0.36877502342334,PASS,PASS,True,False,-2.8827980783123985,4161,0.14207507451718016,-0.24544495993160487
KD+SELL_BB_PCTB_GT1,KD+SELL_HIGH,BB_PCTB_GT1,-2.342161220732475,-2.157773709020805,-0.36877502342334,PASS,PASS,True,False,-2.8827980783123985,4161,0.14207507451718016,-0.24544495993160487
KD+BOTH__MACD_HIST_NEG__MFI14_GT80,KD+BOTH,MACD_HIST_NEG+MFI14_GT80,-2.426037240987855,-2.1168289439004395,0.618416594174831,ALERT,ALERT,False,False,-2.9666740985677786,3541,0.13906913821600053,-0.2450355122804012
KD+SELL_ABOVE_MA20,KD+SELL_HIGH,ABOVE_MA20,-2.5762495437739674,-2.4707954648768182,-0.2109081577942984,PASS,PASS,True,False,-3.116886401353891,5192,0.14176093414504054,-0.248575177490165
KD+BOTH__BELOW_MA60__MFI14_GT80,KD+BOTH,BELOW_MA60+MFI14_GT80,-2.8158883626414832,-2.6625065086156585,-0.30676370805164943,PASS,PASS,True,False,-3.356525220221407,4028,0.14162731309032894,-0.2504922879275535
KD+SELL_ABOVE_MA60,KD+SELL_HIGH,ABOVE_MA60,-2.856543960586866,-2.6362345273579724,-0.44061886645778703,PASS,PASS,True,False,-3.3971808181667895,5119,0.14462631143304905,-0.25022956811497665
KD+BOTH__BELOW_MA60__RSI6_GT80,KD+BOTH,BELOW_MA60+RSI6_GT80,-3.096662399258676,-3.016805521515531,0.1597137554862904,ALERT,PASS,False,False,-3.6372992568386,4201,0.1384756358582111,-0.2540352780565521
KD+BOTH__BELOW_MA60__D9_GT80,KD+BOTH,BELOW_MA60+D9_GT80,-3.337405165446772,-3.037535032808536,0.5997402652764716,PASS,PASS,True,False,-3.8780420230266954,4590,0.1362194386291693,-0.2542425731694823
KD+BOTH__BELOW_MA60__MACD_HIST_POS,KD+BOTH,BELOW_MA60+MACD_HIST_POS,-3.337721002188354,-2.9659258610353345,0.7435902823060392,PASS,PASS,True,False,-3.8783578597682777,5242,0.13651939982460792,-0.25352648145175005
KD+SELL_BIAS20_GT5,KD+SELL_HIGH,BIAS20_GT5,-3.3580463099058044,-3.2895253012348524,0.13704201734190402,PASS,PASS,True,False,-3.898683167485728,3527,0.14343506844382348,-0.25676247585374534
