strategy,period,n,ret,mdd,sharpe,vol
E3,E3_Validation,490,0.2565768601909806,-0.18486597431455343,0.9189701612184519,0.13854939794329507
Frozen_D,E3_Validation,490,0.2769391019255203,-0.19471879808078418,0.8880421872595058,0.1554907355136348
EqualWeight12,E3_Validation,490,0.3153332649774174,-0.21709675975357245,0.9667823298629367,0.15924429029179096
E3,Blind_2023_2025,722,0.4633123917016977,-0.16564592513278076,1.0596780612886358,0.1341566824388166
Frozen_D,Blind_2023_2025,722,0.5044368083436825,-0.1644231781843184,1.0450321212314373,0.14708235240186918
EqualWeight12,Blind_2023_2025,722,0.7588082833458742,-0.15948683756880644,1.4038003283078702,0.14855887245591254
E3,Final_2026,152,0.19205197920318695,-0.06380946562006895,2.054744293514834,0.14805441022616178
Frozen_D,Final_2026,152,0.26393229892471415,-0.0747237039827805,2.210027834218879,0.18462821150456027
EqualWeight12,Final_2026,152,0.3070060265829466,-0.08338827995836373,2.4966838900692023,0.18596136907877261
