mode,max_cut,up_days,target_vol,blend,rank_buffer,cost_hurdle_mult,min_hold,train_score,train_ret,train_mdd,train_sharpe,train_turnover,crisis_mdd
voltarget,0.5,20,0.14,0.5,0,5,42,0.28116302692434303,0.6935778718987413,-0.3756163316810026,0.3035276343479927,134.30255345639,-0.3756163316810026
voltarget,0.6,20,0.18,0.75,0,5,42,0.2656765284876884,0.6559153898059027,-0.3516849000221838,0.2926737020207143,135.64266299620374,-0.3516849000221838
voltarget,0.4,10,0.18,0.75,0,5,42,0.2499770933769463,0.7315604746479003,-0.4364945843846556,0.29176177383300206,148.52994853919733,-0.4364945843846556
voltarget,0.5,20,0.14,0.5,0,10,42,0.2417352157690107,0.6553907781030592,-0.37561633168100317,0.2937731976267574,134.83310083144227,-0.37561633168100317
voltarget,0.4,10,0.14,0.5,0,5,42,0.2347253385937207,0.6955055828467689,-0.4178926989777053,0.2922245598061448,144.22000251191469,-0.4178926989777053
voltarget,0.6,20,0.18,0.75,0,10,42,0.22106615045034328,0.6126696607828406,-0.35168490002218333,0.28139381926931567,136.11598447449106,-0.35168490002218333
voltarget,0.4,10,0.18,0.75,0,10,42,0.20174724690091939,0.6845581424534639,-0.43649458438465516,0.2815827017853979,148.94916269285827,-0.43649458438465516
voltarget,0.4,10,0.14,0.5,0,10,42,0.19376275745617785,0.6557376866933402,-0.41789269897770476,0.2828457178112128,144.7336040811578,-0.41789269897770476
voltarget,0.5,20,0.14,0.5,1,10,21,0.11664035575733492,0.5327666175209942,-0.38023906823315834,0.2611377941242811,124.00194588585805,-0.38023906823315834
voltarget,0.6,20,0.18,0.75,1,10,21,0.11001682731180536,0.503956614914634,-0.35647767357366833,0.25189351495232853,125.30293104878618,-0.35647767357366833
voltarget,0.6,20,0.18,0.75,1,10,42,0.10604216376610123,0.5103833199614971,-0.36608012563295156,0.2536182019160817,127.24570150810494,-0.36608012563295156
voltarget,0.5,20,0.14,0.5,1,10,42,0.10458591695693577,0.5316271104489276,-0.39022903851261603,0.26051793454072986,125.72789686689754,-0.39022903851261603
voltarget,0.6,20,0.18,0.75,1,5,42,0.08230653573362536,0.49256252273863943,-0.37140213420032686,0.24837149211737736,127.38200403284992,-0.37140213420032686
voltarget,0.5,20,0.14,0.5,1,5,42,0.07505896942716714,0.5080364608168364,-0.3953698204832645,0.2537133081954957,125.9580034519086,-0.3953698204832645
voltarget,0.5,20,0.14,0.5,1,5,21,0.05793855285137575,0.4850227071641555,-0.3894102060567569,0.24735532505348556,124.8189615227428,-0.3894102060567569
voltarget,0.6,20,0.18,0.75,1,5,21,0.05476349080508014,0.459093246506072,-0.3651440417932893,0.23894902353399589,126.16123252220423,-0.3651440417932893
voltarget,0.4,10,0.18,0.75,1,10,21,0.051921242627932185,0.5379656976228084,-0.44246907056444296,0.2479417573893679,136.73912033874024,-0.44246907056444296
voltarget,0.4,10,0.14,0.5,1,10,21,0.05001788786061895,0.5149906653722791,-0.4232436992287313,0.24790712446039118,133.03958145793604,-0.4232436992287313
voltarget,0.4,10,0.18,0.75,1,10,42,0.039674279317532105,0.5370839512264334,-0.45268450934252613,0.24756884106104246,138.9640933449587,-0.45268450934252613
voltarget,0.4,10,0.14,0.5,1,10,42,0.03368162476133288,0.5100963185715743,-0.4335453105479591,0.2463221254386226,135.0031916122893,-0.4335453105479591
voltarget,0.5,20,0.14,0.5,0,5,21,0.020900875255356707,0.42434207796023204,-0.356766829656475,0.22765875519651171,138.88049713610297,-0.356766829656475
voltarget,0.5,20,0.14,0.5,0,10,21,0.01816769735697782,0.42087768759210364,-0.3567668296564751,0.2266313104089936,137.21258323910013,-0.3567668296564751
voltarget,0.4,10,0.18,0.75,1,5,42,0.007195052340674898,0.5107369531927977,-0.45801615015517005,0.24105704110065426,139.26290961403623,-0.45801615015517005
voltarget,0.4,10,0.14,0.5,1,5,42,0.0012954945013354258,0.48373180514561054,-0.43869725405917637,0.23925474039725617,135.32906124964882,-0.43869725405917637
voltarget,0.6,20,0.18,0.75,0,5,21,-0.002456691883685566,0.3803370813832332,-0.3341093903063138,0.21354500315389272,140.07776655198842,-0.3341093903063138
voltarget,0.6,20,0.18,0.75,0,10,21,-0.005300430946921869,0.3767349332381127,-0.33410939030631404,0.21243727606211493,138.33940296986407,-0.33410939030631404
voltarget,0.4,10,0.18,0.75,1,5,21,-0.01428245327648342,0.48339976427046305,-0.4522917734257583,0.23440466401042537,137.66182104446145,-0.4522917734257583
voltarget,0.4,10,0.14,0.5,1,5,21,-0.017077609336051208,0.4597561729559594,-0.4332177782769502,0.23293693851331237,133.81939573278328,-0.4332177782769502
voltarget,0.4,10,0.14,0.5,0,5,21,-0.040508447045714976,0.4106371740176362,-0.3984827107333663,0.21813241663876884,148.9523039877236,-0.3984827107333663
voltarget,0.4,10,0.14,0.5,0,10,21,-0.04329243354681628,0.40709117083186497,-0.3984827107333663,0.21716065449308689,147.23391818924736,-0.3984827107333663
voltarget,0.4,10,0.18,0.75,0,5,21,-0.05977623788917788,0.41209563915401737,-0.41670876128530643,0.2150755214025617,153.34133579629,-0.41670876128530643
voltarget,0.4,10,0.18,0.75,0,10,21,-0.06414670565725672,0.40692329038924435,-0.41670876128530576,0.21373417830583585,151.46930518355782,-0.41670876128530576
