window,start,end,n_days,base_cagr,base_mdd,chal_cagr,chal_mdd,mdd_improve_pp,cagr_giveback_pp,rel_nav_end
mtd,2026-09-01,2026-09-16,12,7.348076134981472,-0.011250629013838331,5.701113075310949,-0.008695770256796242,0.2554858757042089,164.69630596705233,0.9904532743028447
ytd,2026-01-01,2026-09-16,170,0.7365066335738841,-0.09288513970800305,0.6412344202817926,-0.09820267750805112,-0.5317537800048067,9.527221329209157,0.962865297231754
trailing_1y,2025-09-16,2026-09-16,242,0.5349689757788192,-0.09288513970800294,0.48164112084418176,-0.0982026775080509,-0.5317537800047956,5.332785493463743,0.9667490355979188
sealed_2023_plus,2023-01-01,2026-09-16,887,0.2359659344255003,-0.09501770781736407,0.20603117942363514,-0.098202677508051,-0.3184969690686934,2.9934755001865154,0.9174092325924105
heldout_2019_plus,2019-01-01,2026-09-16,1864,0.1683001217399358,-0.23225912689829664,0.14952330043874262,-0.2174730261205443,1.4786100777752331,1.877682130119318,0.8871133229149182
full,2012-12-04,2026-09-16,3359,0.13232367067537254,-0.23225912689829675,0.12207031115770706,-0.2174730261205443,1.4786100777752442,1.0253359517665483,0.8858451777394907
validation_2019_2022,2019-01-01,2022-12-31,977,0.10944147121830938,-0.23225912689829664,0.09985451527867051,-0.2174730261205443,1.4786100777752331,0.9586955939638875,0.9669455241379408
