book,cut,mode,covid_ex_score,shrink_covid_ex_score,beats_shrink_covid_ex,rule4_or_5,m2_stage_pass,qualifies_section2
M2_RELOC_TEL_C50,0.5,RELOC_TEL,0.16194592780922612,-0.7011283328248075,True,True,True,True
M2_HYBRID_TEL_C50,0.5,HYBRID_TEL,-1.8101647786184727,-0.7011283328248075,False,True,False,False
M2_RELOC_TEL_C75,0.75,RELOC_TEL,-1.0910326045642238,-0.15680950022489704,False,True,False,False
M2_HYBRID_TEL_C75,0.75,HYBRID_TEL,-1.8447750490091286,-0.15680950022489704,False,True,False,False
