,Financial,Telecom,0050
2011-12-01,0.8875000000000001,0.1,0.0125
2011-12-02,0.665625,0.07500000000000001,0.009375000000000001
2011-12-05,0.665625,0.07500000000000001,0.009375000000000001
2011-12-06,0.665625,0.07500000000000001,0.009375000000000001
2011-12-07,0.665625,0.07500000000000001,0.009375000000000001
2011-12-08,0.665625,0.07500000000000001,0.009375000000000001
2011-12-09,0.665625,0.07500000000000001,0.009375000000000001
2011-12-12,0.665625,0.07500000000000001,0.009375000000000001
2011-12-13,0.665625,0.07500000000000001,0.009375000000000001
2011-12-14,0.665625,0.07500000000000001,0.009375000000000001
2011-12-15,0.665625,0.07500000000000001,0.009375000000000001
2011-12-16,0.665625,0.07500000000000001,0.009375000000000001
2011-12-19,0.665625,0.07500000000000001,0.009375000000000001
2011-12-20,0.665625,0.07500000000000001,0.009375000000000001
2011-12-21,0.665625,0.07500000000000001,0.009375000000000001
2011-12-22,0.665625,0.07500000000000001,0.009375000000000001
2011-12-23,0.665625,0.07500000000000001,0.009375000000000001
2011-12-26,0.665625,0.07500000000000001,0.009375000000000001
2011-12-27,0.665625,0.07500000000000001,0.009375000000000001
2011-12-28,0.6530641419121586,0.07954773903921683,0.017388119048624633
2011-12-29,0.6359854952225141,0.08685899758523905,0.027155507192246856
2011-12-30,0.6238940587573795,0.08916525114921639,0.03694069009340417
2012-01-02,0.6140898416168405,0.09384069126421274,0.042069467118946796
2012-01-03,0.6140898416168405,0.09384069126421274,0.042069467118946796
2012-01-04,0.6093729070212806,0.09100820108225884,0.04961889189646076
2012-01-05,0.6093729070212806,0.09100820108225884,0.04961889189646076
2012-01-06,0.6093729070212806,0.09100820108225884,0.04961889189646076
2012-01-09,0.6093729070212806,0.09100820108225884,0.04961889189646076
2012-01-10,0.6093729070212806,0.09100820108225884,0.04961889189646076
2012-01-11,0.6093729070212806,0.09100820108225884,0.04961889189646076
2012-01-12,0.5512554768891584,0.07518954964502966,0.04958811335643404
2012-01-13,0.5359762704006242,0.07310551292708282,0.04821367436196734
2012-01-16,0.5483640331145772,0.07479516561738868,0.0493280139149431
2012-01-17,0.5096416916949775,0.06951355747995844,0.045844750825064104
2012-01-18,0.5096416916949775,0.06951355747995844,0.045844750825064104
2012-01-30,0.5096416916949775,0.06951355747995844,0.045844750825064104
2012-01-31,0.5096416916949775,0.06951355747995844,0.045844750825064104
2012-02-01,0.5373179007641304,0.06575140484950791,0.05081340482219729
2012-02-02,0.5693852544628396,0.06967547578125556,0.05384596975768859
2012-02-03,0.5680591705425768,0.06951320335262137,0.05372056384998909
2012-02-04,0.5649399652772554,0.06913150728793192,0.053425584956405044
2012-02-06,0.6408391267043081,0.0784192613040018,0.06060326284462251
2012-02-07,0.5967975055196981,0.07302990341992652,0.05643830812582964
2012-02-08,0.6099563652554953,0.07464014851434056,0.05768272314681197
2012-02-09,0.6156675023522995,0.07533901837679811,0.05822281742039242
2012-02-10,0.5991951635194731,0.07332330399640027,0.056665051300390706
2012-02-13,0.6227147583712122,0.07620138864757951,0.05888926659780754
2012-02-14,0.6153920316453872,0.0753053091220932,0.058196766539662256
2012-02-15,0.5812384660956265,0.07112594917089309,0.05496691145772024
2012-02-16,0.5757895306799694,0.07045916483706728,0.05445161323160115
2012-02-17,0.5624690359633738,0.06882914052620577,0.05319191261581348
2012-02-20,0.5381527849692163,0.0658535693396412,0.05089235865759409
2012-02-21,0.5152118733754858,0.06304629795770693,0.04872286862916829
2012-02-22,0.5135839847390112,0.06284709379079842,0.04856892147019034
2012-02-23,0.5295670194444553,0.06480293219511525,0.050080414780984524
2012-02-24,0.5239482519104143,0.06411536556396336,0.04954905576818592
2012-02-29,0.5371425512479782,0.06572994739013369,0.050796822262902414
2012-03-01,0.5552625530908896,0.06794728572066903,0.05251040557682778
2012-03-02,0.5344320997611944,0.06539827038332072,0.05054049864432763
2012-03-03,0.5135839847390112,0.06284709379079842,0.04856892147019034
2012-03-05,0.6552611807069812,0.07896473228172712,0.07554816719753832
2012-03-06,0.6265152285031321,0.07104750363517547,0.08335886819764374
2012-03-07,0.6238687860974711,0.07074739420785045,0.08300675473950288
2012-03-08,0.6039615760366562,0.06848989508441952,0.08035806812480237
2012-03-09,0.6652100551123701,0.07543553876841658,0.08850727769274354
2012-03-12,0.660513859281047,0.07490298508860485,0.08788244121387792
2012-03-13,0.6439500857658198,0.07302463528081651,0.08567860425909184
2012-03-14,0.6877553113507244,0.07799219517783446,0.09150696063380342
2012-03-15,0.6874058130145848,0.07795256168900978,0.0914604593128265
2012-03-16,0.701054630464903,0.06782023500812882,0.10042747905425846
2012-03-19,0.6776907274424132,0.06556000402920838,0.09708055318079147
2012-03-20,0.6860562018281773,0.06636928252783375,0.09827892413099563
2012-03-21,0.6626910430792403,0.06410893006956056,0.0949318183722016
2012-03-22,0.6614624098584443,0.06399007172364546,0.09475581420407418
2012-03-23,0.690037583765736,0.05689296264041017,0.10320954724801619
2012-03-26,0.7101245690323055,0.058549116057580244,0.10621397585265294
2012-03-27,0.6526331619895493,0.05380900254785209,0.09761493395822084
2012-03-28,0.6880044459475473,0.06627013674434985,0.1037714503019684
2012-03-29,0.6622154596447705,0.0637860835396799,0.09988170725420215
2012-03-30,0.5849930073196009,0.06479515770287873,0.08732613080061827
2012-04-02,0.5575422640077083,0.06175465085971988,0.08322836010757667
2012-04-03,0.578320767018188,0.07208525846965708,0.07984990544339936
2012-04-05,0.6219169848287854,0.07751934420270071,0.08586932246661091
2012-04-06,0.5652906782544784,0.07046111254583444,0.07805081501635856
2012-04-09,0.5611926997712411,0.06995031671242462,0.07748499892768039
2012-04-10,0.5266259866383776,0.06564172087299733,0.07271230368213433
2012-04-11,0.5506542639363782,0.06863674487764716,0.0760299360059841
2012-04-12,0.5712192624909762,0.07120008570989796,0.07886938650418254
2012-04-13,0.6025668689018909,0.07510743339548574,0.08319761324363441
2012-04-16,0.5489979463128968,0.07708229392114536,0.07289870242539045
2012-04-17,0.5460263022666072,0.08710971419632065,0.06746977862757152
2012-04-18,0.5488221858102654,0.08755575244649884,0.06781525217523038
2012-04-19,0.5566615820927507,0.08880640203389831,0.0687839277308904
2012-04-20,0.5999283101964601,0.09570891259736157,0.07413018404671023
2012-04-23,0.5750164539366348,0.09098257057319377,0.05927714589910141
2012-04-24,0.5925407948297079,0.10662693407433292,0.04720642612582309
2012-04-25,0.5942841696342493,0.11563717776877029,0.042724921496376966
2012-04-26,0.6132609714142349,0.11932972741596257,0.04408922229342021
2012-04-27,0.5987647995138677,0.1215315238371304,0.034858980404877345
2012-04-30,0.6287391258051126,0.1312073786663596,0.027893474971135677
2012-05-02,0.642777615297529,0.1341369774954074,0.02851628058194897
2012-05-03,0.6293727943380909,0.13133961473016265,0.02792158713505103
2012-05-04,0.6245210048159433,0.13032712710387293,0.027706341631714575
2012-05-07,0.6489995591593146,0.13543539350104208,0.028792311813754835
2012-05-08,0.588284273579811,0.12276512511959677,0.02609872996212662
2012-05-09,0.6036577463125914,0.12597331270563877,0.0267807609655927
2012-05-10,0.5930658971925611,0.1237629702897931,0.0263108626147476
2012-05-11,0.5957455965091689,0.12432217888444821,0.026429745189014406
2012-05-14,0.5807058768337033,0.1211836400000296,0.025762520855228423
2012-05-15,0.6148824458211855,0.1283157204521812,0.027278735184074112
2012-05-16,0.6167590956612189,0.12870734600255573,0.02736199115335315
2012-05-17,0.5726890547434768,0.11951066281677215,0.02540686138193664
2012-05-18,0.5714447611383848,0.12707335235070338,0.019054237146541003
2012-05-21,0.537695438502245,0.11956844573751423,0.017928900734736183
2012-05-22,0.5416308019020203,0.12044356062863946,0.01806012137507902
2012-05-23,0.5601196243666442,0.12455495828484756,0.018676612122320156
2012-05-24,0.5345328512217616,0.11886517466887739,0.017823447518367695
2012-05-25,0.534899546036595,0.11894671735257904,0.01783567457938462
2012-05-28,0.530786817461025,0.11803216140081024,0.017698539879886885
