slice,code,n,mad,corr,status
full,0050,3585,0.0002781442098409847,0.6836345128096061,PASS
full,2412,3585,7.09121750676206e-05,0.9854323951413922,PASS
full,2880,3585,9.212694639224215e-05,0.9945640304480888,PASS
full,2886,3585,9.904450580085924e-05,0.9943365052518276,PASS
full,2892,3585,0.00011317227957976538,0.988152368540053,PASS
full,3045,3585,7.830673471977022e-05,0.9968114640615546,PASS
full,4904,3585,7.823238388118748e-05,0.9950239688505229,PASS
full,5880,3585,9.577624743489916e-05,0.9903601872539319,PASS
pre_2020,0050,1973,0.00047283707009443756,0.46808675628712104,PASS
pre_2020,2412,1973,8.691184489993743e-05,0.978711509550862,PASS
pre_2020,2880,1973,0.0001351183507028528,0.9865013365493699,PASS
pre_2020,2886,1973,0.00014198490949428753,0.9914472461330195,PASS
pre_2020,2892,1973,0.00016483915624288485,0.9750196067595592,PASS
pre_2020,3045,1973,0.00010345221141235732,0.9966027811809036,PASS
pre_2020,4904,1973,0.00010245192544363385,0.9939497075407917,PASS
pre_2020,5880,1973,0.0001360426655540501,0.9800252684885284,PASS
covid_2020,0050,245,1.0406321199337038e-07,0.9999999999587676,PASS
covid_2020,2412,245,1.9121250785956476e-07,0.9999999340093126,PASS
covid_2020,2880,245,6.687945205508137e-06,0.9999710622224086,PASS
covid_2020,2886,245,5.99307069367638e-08,0.9999999999764578,PASS
covid_2020,2892,245,4.86385366907917e-06,0.9999861097527752,PASS
covid_2020,3045,245,6.317003081347604e-08,0.9999999999489074,PASS
covid_2020,4904,245,6.998184944279155e-08,0.9999999999625859,PASS
covid_2020,5880,245,3.3533225813827625e-06,0.999992604364149,PASS
heldout_2019_plus,0050,1853,3.6614018592600955e-05,0.9988095697400227,PASS
heldout_2019_plus,2412,1853,4.7128960074772145e-05,0.9932809452394032,PASS
heldout_2019_plus,2880,1853,4.0489636007361514e-05,0.9988874905185544,PASS
heldout_2019_plus,2886,1853,4.8035882857739575e-05,0.997761744331969,PASS
heldout_2019_plus,2892,1853,4.613573009177491e-05,0.9976910662981009,PASS
heldout_2019_plus,3045,1853,4.379065003040681e-05,0.9973061373853855,PASS
heldout_2019_plus,4904,1853,4.450280139077236e-05,0.9966003459365451,PASS
heldout_2019_plus,5880,1853,4.3478057257989826e-05,0.9974297423597513,PASS
sealed_2023_plus,0050,878,5.025846089724833e-05,0.998499107660639,PASS
sealed_2023_plus,2412,878,7.032477425069456e-05,0.9878750853839436,PASS
sealed_2023_plus,2880,878,4.8941590895617536e-05,0.9988287761371863,PASS
sealed_2023_plus,2886,878,4.831789927109077e-05,0.9981929998108587,PASS
sealed_2023_plus,2892,878,7.157501709343748e-05,0.9957004616708481,PASS
sealed_2023_plus,3045,878,5.873103238315388e-05,0.9969183662379629,PASS
sealed_2023_plus,4904,878,5.111429777886092e-05,0.9963022889870036,PASS
sealed_2023_plus,5880,878,6.582293430285167e-05,0.9943142354736317,PASS
