id,family,exact_t1_ok,mean_fin_oof,mean_fin_sealed,flag_share_oof,flag_share_sealed,oof_mdd_improve_pp,oof_cagr_giveback_pp,late_bull_cagr_giveback_pp,val_mdd_improve_pp,val_cagr_giveback_pp,val_pass_diag,sealed_mdd_improve_pp,sealed_cagr_giveback_pp,sealed_pass_diag,selection_safe_oof_ok
BASE,baseline,True,0.8029110495104267,0.7891044815231208,,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,False
FIN_CAP_50_REF,blocked_static_ref,True,0.5,0.5,,,4.570586284214961,0.3485197655307637,1.2570587941652,3.063425434900924,-0.746961918843847,True,4.411944624918506,4.332671060794713,False,True
L3_MILD_35_60_REF,failed_l3_static_ref,True,0.5973947271784545,0.597160358039825,,,2.8755135343660254,0.09814416476714438,0.15290358876944854,1.9098935606352785,-0.6088273921811993,True,5.285967693867222,4.083105202701343,False,True
FIN_CAP_70_STATIC,milder_static,True,0.6860416843114133,0.6851873183407812,,,1.7123415990491386,-0.049794092869381856,-0.4977917836165524,1.0856883054284894,0.04226318776670013,True,5.053373734610911,1.7522921257738355,True,True
BLEND_025,static_blend,True,0.7271832871328202,0.7168283611423407,,,1.3696893903215046,0.0327406996352142,0.40167517586990886,0.8196878966870602,-0.19830531562163856,False,2.112234422918391,0.5078075553576422,True,True
BLEND_050,static_blend,True,0.6514555247552134,0.6445522407615604,,,2.8288941961633896,-0.0033853097051839143,0.6484401814351504,1.7986812806292884,0.1280455343452669,True,4.680369896588754,1.1820080596419036,True,True
BULL_RESTORE_50,path_conditional,True,0.762272333504883,0.7311892183724038,0.2214046822742475,0.27189988623435724,2.1905630913154783,0.12395594045664371,1.203475394268927,1.0548569401267138,0.9728792440925504,True,3.2092798226749264,3.6920390241898415,False,True
BULL_RESTORE_60,path_conditional,True,0.7818535478762693,0.7561474401505094,0.2214046822742475,0.27189988623435724,0.6659426323220585,0.12917981419335867,0.7354342708805861,0.925683087166429,0.586469556842073,False,3.1677427527591617,2.1729392920526003,True,False
DD_BEAR_CRISIS_50,path_conditional,True,0.7625300185206181,0.75726461567856,0.22073578595317725,0.18771331058020477,2.1905630913154783,0.10777043033660672,1.1537975167521086,1.1093720406559093,0.5752443456768619,True,0.507543581285419,2.3263875279120105,False,True
CRISIS_ONLY_50,path_conditional,True,0.7917739403141639,0.7686183797542102,0.08896321070234113,0.1353811149032992,1.3052735272751748,-0.0120530636657179,0.21580539145027444,0.23366584067309182,0.446542608509759,False,1.0569855135848183,0.9265774805831573,True,True
