window,start,end,n_days,base_cagr,base_mdd,blend_e45_a25_cagr,blend_e45_a25_mdd,mdd_improve_pp,cagr_giveback_pp,rel_nav_end
mtd,2026-09-01,2026-09-11,9,8.69284643365904,-0.013498348489398238,7.113856227910489,-0.007952594716872374,0.5545753772525863,157.89902057485517,0.9943709855672119
ytd,2026-01-01,2026-09-11,167,0.7425205801455577,-0.13969427823982672,0.6287570961876139,-0.08431672882205699,5.537754941776973,11.376348395794377,0.9565000144870632
trailing_1y,2025-09-11,2026-09-11,242,0.5643493839644675,-0.13969427823982683,0.45390413449317646,-0.0843167288220571,5.537754941776973,11.044524947129108,0.9323737186337145
sealed_2023_plus,2023-01-01,2026-09-11,884,0.25929443008444,-0.13969427823982683,0.21577485043056588,-0.09350203873569884,4.619223950412799,4.35195796538741,0.8840563406413077
heldout_2019_plus,2019-01-01,2026-09-11,1861,0.18649011567030072,-0.22386722284139682,0.15993266406369178,-0.2203675307565186,0.3499692084878214,2.655745160660894,0.8461265107986063
full,2012-12-04,2026-09-11,3356,0.14072009651362993,-0.22386722284139682,0.12764619182331272,-0.2203675307565185,0.34996920848783253,1.3073904690317217,0.857727882129728
