date,nav_base,nav_chal,rel_chal_vs_base
2012-12-04,500000000.0,500000000.0,1.0
2012-12-05,500879090.7682111,500879090.7682111,1.0
2012-12-06,500908409.13078666,500908409.13078666,1.0
2012-12-07,501066661.2893311,501066661.2893311,1.0
2012-12-10,499282439.69067246,499282439.69067246,1.0
2012-12-11,500313350.41200984,500313350.41200984,1.0
2012-12-12,506850545.35661954,506850545.35661954,1.0
2012-12-13,510309445.3566195,510309445.3566195,1.0
2012-12-14,505766445.3566195,505766445.3566195,1.0
2012-12-17,502568145.3566195,502568145.3566195,1.0
2012-12-18,504830428.6897077,504830428.6897077,1.0
2012-12-19,509024278.6897077,509024278.6897077,1.0
2012-12-20,498904928.6897077,498904928.6897077,1.0
2012-12-21,494096728.6897077,494096728.6897077,1.0
2012-12-22,496874328.6897077,496874328.6897077,1.0
2012-12-24,495984228.6897077,495984228.6897077,1.0
2012-12-25,503977378.6897077,503977378.6897077,1.0
2012-12-26,502986078.6897077,502986078.6897077,1.0
2012-12-27,501494328.6897077,501494328.6897077,1.0
2012-12-28,504411946.0956953,504411946.0956953,1.0
2013-01-02,506629096.0956953,506629096.0956953,1.0
2013-01-03,507385946.0956953,507385946.0956953,1.0
2013-01-04,501635846.0956953,501635846.0956953,1.0
2013-01-07,503878046.0956953,503878046.0956953,1.0
2013-01-08,501402946.0956953,501402946.0956953,1.0
2013-01-09,504527246.0956953,504527246.0956953,1.0
2013-01-10,512613446.0956953,512613446.0956953,1.0
2013-01-11,510608846.0956953,510608846.0956953,1.0
2013-01-14,513701346.0956953,513701346.0956953,1.0
2013-01-15,510533496.0956953,510533496.0956953,1.0
2013-01-16,507607946.0956953,507607946.0956953,1.0
2013-01-17,500335646.0956953,500335646.0956953,1.0
2013-01-18,506636096.0956953,506636096.0956953,1.0
2013-01-21,508509746.0956953,508509746.0956953,1.0
2013-01-22,510934825.4323556,510934825.4323556,1.0
2013-01-23,507729211.2515798,507729211.2515798,1.0
2013-01-24,504695611.2515798,504695611.2515798,1.0
2013-01-25,505499211.2515798,505499211.2515798,1.0
2013-01-28,510867129.96119636,510867129.96119636,1.0
2013-01-29,514194529.96119636,514194529.96119636,1.0
2013-01-30,518960479.96119636,518960479.96119636,1.0
2013-01-31,523727379.96119636,523727379.96119636,1.0
2013-02-01,525872029.96119636,525872029.96119636,1.0
2013-02-04,539802429.9611963,539802429.9611963,1.0
2013-02-05,540265479.9611963,540265479.9611963,1.0
2013-02-06,545706079.9611963,545706079.9611963,1.0
2013-02-18,551627329.9611963,551627329.9611963,1.0
2013-02-19,550057329.9611963,550057329.9611963,1.0
2013-02-20,553014729.9611963,553014729.9611963,1.0
2013-02-21,542007929.9611963,542007929.9611963,1.0
2013-02-22,545352779.9611963,545352779.9611963,1.0
2013-02-23,550396729.9611963,550396729.9611963,1.0
2013-02-25,547685329.9611963,547685329.9611963,1.0
2013-02-26,541685479.9611963,541685479.9611963,1.0
2013-02-27,545151879.9611963,545151879.9611963,1.0
2013-03-01,549624829.9611963,549624829.9611963,1.0
2013-03-04,542065279.9611963,542065279.9611963,1.0
2013-03-05,551853379.9611963,551853379.9611963,1.0
2013-03-06,552707379.9611963,552707379.9611963,1.0
2013-03-07,562826429.9611963,562826429.9611963,1.0
2013-03-08,574020320.2017809,574020320.2017809,1.0
2013-03-11,576979520.2017809,576979520.2017809,1.0
