model,split,cagr,volatility,sharpe,max_drawdown,total_return,benchmark_cagr,benchmark_sharpe,cagr_delta,sharpe_delta,turnover,cost_drag
E9A_static_10pct_telco,Train_2010_2018,0.08738266622351687,0.15614433931929975,0.6245561451092632,-0.2730480474202822,1.1218734650346396,0.08226699266159931,0.5619564305615965,0.005115673561917555,0.06259971454766666,0.061825318940137375,0.0008549999999999997
E9A_static_10pct_telco,Validation_2019_2022,0.12023794842249402,0.14650590530387425,0.8722977933016299,-0.24909846120578194,0.5733889987343146,0.12928412146840906,0.8740652924277136,-0.00904617304591504,-0.0017674991260836492,0.061825318940137375,0.0008549999999999997
E9A_static_10pct_telco,Blind_2023_2025,0.1984944048282351,0.13883307753039234,1.4344835247498107,-0.14688613582672594,0.7191587223514178,0.2072079597493992,1.4011549985960732,-0.008713554921164102,0.03332852615373749,0.061825318940137375,0.0008549999999999997
E9A_static_10pct_telco,FinalOOS_2026,0.49375949161406574,0.1722121195689451,2.556489396715353,-0.07442472704061753,0.29458719022807656,0.5261739829321235,2.5012810468897366,-0.03241449131805774,0.0552083498256164,0.061825318940137375,0.0008549999999999997
E9B_static_20pct_telco,Train_2010_2018,0.09231855581873005,0.1446315926001507,0.6942129002954655,-0.24071251621210588,1.209950724737232,0.08226699266159931,0.5619564305615965,0.010051563157130738,0.13225646973386895,0.06182531894013738,0.0008549999999999999
E9B_static_20pct_telco,Validation_2019_2022,0.1110368443903218,0.13600537217415917,0.8661850984602185,-0.2313854738937865,0.5224332212640908,0.12928412146840906,0.8740652924277136,-0.018247277078087265,-0.007880193967495064,0.06182531894013738,0.0008549999999999999
E9B_static_20pct_telco,Blind_2023_2025,0.1895973090970946,0.13002446311473903,1.462444637249389,-0.1341659773719429,0.6812497246818092,0.2072079597493992,1.4011549985960732,-0.017610650652304605,0.061289638653315714,0.06182531894013738,0.0008549999999999999
E9B_static_20pct_telco,FinalOOS_2026,0.4615074347239605,0.15953382292446044,2.6014231112117487,-0.06540233007266583,0.2765332967714571,0.5261739829321235,2.5012810468897366,-0.06466654820816298,0.10014206432201211,0.06182531894013738,0.0008549999999999999
E9C_trend_defensive_10_30,Train_2010_2018,0.09289118419241515,0.14607464206071177,0.6924731274895086,-0.23073669222955895,1.2203762595824985,0.08226699266159931,0.5619564305615965,0.01062419153081584,0.13051669692791212,2.1886162904808635,0.08186699999999998
E9C_trend_defensive_10_30,Validation_2019_2022,0.10764349887927982,0.13746814192504703,0.8354815254085751,-0.2208006459418297,0.5039566888330536,0.12928412146840906,0.8740652924277136,-0.021640622589129244,-0.03858376701913846,2.1886162904808635,0.08186699999999998
E9C_trend_defensive_10_30,Blind_2023_2025,0.18361958492795605,0.1352188855859696,1.372562569185697,-0.14299580902827091,0.6560948521616714,0.2072079597493992,1.4011549985960732,-0.02358837482144316,-0.028592429410376097,2.1886162904808635,0.08186699999999998
E9C_trend_defensive_10_30,FinalOOS_2026,0.4937594916140662,0.17221211956894505,2.5564893967153637,-0.07442472704061753,0.2945871902280768,0.5261739829321235,2.5012810468897366,-0.03241449131805729,0.05520834982562706,2.1886162904808635,0.08186699999999998
E9D_relative_strength_10_30,Train_2010_2018,0.08893514987963025,0.14144982235433423,0.6842876861422942,-0.2234012963348283,1.1492338976443843,0.08226699266159931,0.5619564305615965,0.0066681572180309345,0.12233125558069768,4.265947006869479,0.16099499999999997
E9D_relative_strength_10_30,Validation_2019_2022,0.10079041047035098,0.13731523013784924,0.7896835716587356,-0.23868418371248878,0.4671550303040941,0.12928412146840906,0.8740652924277136,-0.028493710998058086,-0.08438172076897799,4.265947006869479,0.16099499999999997
E9D_relative_strength_10_30,Blind_2023_2025,0.1675604181356074,0.12931721918858,1.3183469538658523,-0.12647941349140968,0.5897598987929542,0.2072079597493992,1.4011549985960732,-0.039647541613791804,-0.08280804473022085,4.265947006869479,0.16099499999999997
E9D_relative_strength_10_30,FinalOOS_2026,0.4436641155215211,0.16726532362909918,2.4107005839131963,-0.07293923726322138,0.26648403820116773,0.5261739829321235,2.5012810468897366,-0.0825098674106024,-0.09058046297654032,4.265947006869479,0.16099499999999997
E9E_stress_defensive_10_35,Train_2010_2018,0.0911304298445832,0.14695808712185743,0.6780244107660148,-0.24941090945835198,1.1884578151505174,0.08226699266159931,0.5619564305615965,0.00886343718298388,0.11606798020441833,1.2983316977428847,0.047954999999999984
E9E_stress_defensive_10_35,Validation_2019_2022,0.1145909441309314,0.13743049648260297,0.8825808939796884,-0.2190592754144578,0.5419669132477438,0.12928412146840906,0.8740652924277136,-0.014693177337477659,0.008515601551974838,1.2983316977428847,0.047954999999999984
E9E_stress_defensive_10_35,Blind_2023_2025,0.18531519574764443,0.13477062061066422,1.3878101768405127,-0.13902684924510433,0.6632045123697201,0.2072079597493992,1.4011549985960732,-0.021892764001754772,-0.01334482175556051,1.2983316977428847,0.047954999999999984
E9E_stress_defensive_10_35,FinalOOS_2026,0.49375949161406574,0.17221211956894478,2.5564893967153597,-0.07442472704061742,0.29458719022807656,0.5261739829321235,2.5012810468897366,-0.03241449131805774,0.05520834982562306,1.2983316977428847,0.047954999999999984
