date,financial_equal_weight,E9A_static_10pct_telco,E9B_static_20pct_telco,E9C_trend_defensive_10_30,E9D_relative_strength_10_30,E9E_stress_defensive_10_35
2010-01-04,1.0,1.0,1.0,1.0,1.0,1.0
2010-01-05,1.0013393046669206,1.000372259702113,1.0002602147373056,1.000372259702113,1.000372259702113,1.000372259702113
2010-01-06,1.017234210474681,1.0146168397322082,1.012868407202352,1.0146168397322082,1.0146168397322082,1.0146168397322082
2010-01-07,1.0092289201618214,1.0050540094513047,1.0017466377360318,1.0050540094513047,1.0050540094513047,1.0050540094513047
2010-01-08,1.0158953674028735,1.0110817383945288,1.0071454011104035,1.0110817383945288,1.0110817383945288,1.0110817383945288
2010-01-11,1.0137169330871316,1.0104814448779447,1.008109159528789,1.0104814448779447,1.0104814448779447,1.0104814448779447
2010-01-12,1.0084139788355861,1.005937344002772,1.004315912828667,1.005937344002772,1.005937344002772,1.005937344002772
2010-01-13,0.9914628139172877,0.9898757840528217,0.9891268484754503,0.9898757840528217,0.9898757840528217,0.9898757840528217
2010-01-14,0.9937518573204622,0.9920360237792059,0.9911604088384429,0.9920360237792059,0.9920360237792059,0.9920360237792059
2010-01-15,0.998551138063676,0.9970854734957478,0.9964636290783927,0.9970854734957478,0.9970854734957478,0.9970854734957478
2010-01-18,0.9922162764292579,0.9913924664534856,0.9914063343854579,0.9913924664534856,0.9913924664534856,0.9913924664534856
2010-01-19,0.9870027724558715,0.9866667460758853,0.9871640096319685,0.9866667460758853,0.9866667460758853,0.9866667460758853
2010-01-20,0.9716056969044817,0.9724381583202808,0.9740920830036687,0.9724381583202808,0.9724381583202808,0.9724381583202808
2010-01-21,0.9718212334951993,0.9728177071884262,0.9746363836555377,0.9728177071884262,0.9728177071884262,0.9728177071884262
2010-01-22,0.9518980726700473,0.9548494717083207,0.9586136034880863,0.9548494717083207,0.9548494717083207,0.9548494717083207
2010-01-25,0.9424856941019887,0.9461755028522787,0.9506760599235826,0.9461755028522787,0.9461755028522787,0.9461755028522787
2010-01-26,0.9120480419674645,0.9181000996035309,0.9249603284302451,0.9181000996035309,0.9181000996035309,0.9181000996035309
2010-01-27,0.9111880010308366,0.9181578795798007,0.925948968804439,0.9181578795798007,0.9181578795798007,0.9181578795798007
2010-01-28,0.9248344991404255,0.9299977904197018,0.9359621599545821,0.9299977904197018,0.9299977904197018,0.9299977904197018
2010-01-29,0.9210497432669779,0.9275490957419947,0.9348636563639878,0.9275490957419947,0.9275490957419947,0.9275490957419947
2010-02-01,0.9075635286684507,0.9143880912874589,0.9220225556681341,0.9143880912874589,0.9143880912874589,0.9143880912874589
2010-02-02,0.8955505519575571,0.9033143483746906,0.9118945185277859,0.9033143483746906,0.9033143483746906,0.9033143483746906
2010-02-03,0.9084302657160377,0.9158266004801142,0.9240419481021027,0.9158266004801142,0.9158266004801142,0.9158266004801142
2010-02-04,0.9058711304899947,0.9133961950099898,0.9217406484881666,0.9133961950099898,0.9133961950099898,0.9133961950099898
2010-02-05,0.8637555371574636,0.8738701632872423,0.8848197903447091,0.8738701632872423,0.8738701632872423,0.8738701632872423
2010-02-06,0.8602275772891154,0.8716185155574787,0.8838740640186589,0.8716185155574787,0.8716185155574787,0.8716185155574787
