window,start,end,n_days,base_cagr,base_mdd,sleeve_fin_only_a10_cagr,sleeve_fin_only_a10_mdd,mdd_improve_pp,cagr_giveback_pp,rel_nav_end
mtd,2026-09-01,2026-09-07,5,13.469590373523591,0.0,11.538709253289849,0.0,0.0,193.08811202337424,0.9977291120267752
ytd,2026-01-01,2026-09-07,163,0.7183698008125876,-0.1139604739449871,0.6768455132423605,-0.09519854499231928,1.8761928952667817,4.152428757022708,0.9843976237513417
trailing_1y,2025-09-07,2026-09-07,241,0.5614951059078477,-0.1139604739449871,0.5190391394511429,-0.09519854499231928,1.8761928952667817,4.24559664567048,0.9740884993113241
sealed_2023_plus,2023-01-01,2026-09-07,880,0.24496094862741513,-0.11838089869229806,0.23015386896017942,-0.11929843950027152,-0.09175408079734604,1.4807079667235712,0.9591241768592352
heldout_2019_plus,2019-01-01,2026-09-07,1857,0.17608654552833958,-0.22075164810993753,0.16662490202275393,-0.21529687825906763,0.54547698508699,0.9461643505585648,0.9422432005947061
full,2012-12-04,2026-09-07,3352,0.1344460066898452,-0.22075164810993764,0.12963593217040903,-0.21529687825906763,0.5454769850870012,0.4810074519436158,0.9450645476730702
