split,window,n,mean_stock_return,median_stock_return,mean_abnormal_return,median_abnormal_return,abnormal_win_rate
Confirm_2019_2022,announcement_0_p20,56,0.019493631921265662,0.01978847859885413,-0.0024988019365591446,-0.0029573224097708684,0.42857142857142855
Confirm_2019_2022,announcement_m20_p20,56,0.04026086597844023,0.05308800426601745,0.005766206731613506,0.006874380993769025,0.5357142857142857
Confirm_2019_2022,post_ex_0_p20,48,-0.0010624848765159085,-0.005899013880645121,-0.012857930806141352,-0.009105400049958412,0.3333333333333333
Confirm_2019_2022,post_ex_0_p60,48,-0.0063942142792009675,-0.010453751203057304,-0.014529777330431495,-0.010613408074871544,0.375
Confirm_2019_2022,pre_ex_m20_m1,48,0.03209725910107381,0.026877532790099856,0.013836257783010132,0.012681035996147894,0.6875
Confirm_2019_2022,pre_ex_m60_m1,48,0.05494045102889427,0.06045233835931518,0.013705560258157995,0.005115762791337963,0.5208333333333334
Confirm_2019_2022,q4_q1_accumulation,48,0.07474952491622655,0.08534047755293128,0.0010627069986188277,0.013254627498764049,0.5416666666666666
Recent_2023_2026,announcement_0_p20,58,0.0029296325570424982,0.003449717174180078,-0.011181652502277727,-0.010269896293408798,0.3448275862068966
Recent_2023_2026,announcement_m20_p20,58,0.057319686069600466,0.04735875282183488,0.0033440826157784065,0.0005476354170014242,0.5172413793103449
Recent_2023_2026,post_ex_0_p20,43,0.006198922447801155,0.01183431952662728,-0.003054757267782696,-0.0019621089316838036,0.46511627906976744
Recent_2023_2026,post_ex_0_p60,36,0.01951878121978284,0.012558348854703638,-0.002070282594222218,-0.011077697621970417,0.4444444444444444
Recent_2023_2026,pre_ex_m20_m1,48,0.03672112118916424,0.035634920634920686,0.0033970581440547556,0.00293882748670371,0.5833333333333334
Recent_2023_2026,pre_ex_m60_m1,48,0.13240229706712145,0.10705741626794263,0.007383950336914265,-0.0019104993643267454,0.4791666666666667
Recent_2023_2026,q4_q1_accumulation,48,0.075564305409259,0.06076120927303885,6.31922698773162e-05,-0.011648851300799845,0.4583333333333333
Train_2005_2014,announcement_0_p20,120,0.005289836630899106,0.008063839530725092,0.00932283603814963,0.010154661936508436,0.6083333333333333
Train_2005_2014,announcement_m20_p20,120,0.02703284147028714,0.043603177285786776,0.006879016132562718,-0.0007350232914664634,0.48333333333333334
Train_2005_2014,post_ex_0_p20,87,0.0025315087033086696,0.0042918454935620964,0.011463525364464317,0.011058327678659552,0.5862068965517241
Train_2005_2014,post_ex_0_p60,87,-0.02419467407520339,0.005945850367382155,0.00529857921519793,0.0028646066632380673,0.5172413793103449
Train_2005_2014,pre_ex_m20_m1,87,0.012126551444341563,0.02506265664160412,-0.003158460473303511,-0.0037029002954722667,0.4482758620689655
Train_2005_2014,pre_ex_m60_m1,87,0.008793604172423449,0.03846153846153877,-0.010809078071113197,-0.01649031054296768,0.3793103448275862
Train_2005_2014,q4_q1_accumulation,87,0.04309109941853363,0.019364496410666288,-0.0008009088734142421,-0.0015745523753357693,0.47126436781609193
Validation_2015_2018,announcement_0_p20,58,0.0034356826861789234,0.00713394493996411,0.0017605497439762868,0.004313685200021067,0.5862068965517241
Validation_2015_2018,announcement_m20_p20,58,0.019453959898875453,0.02907930609425069,0.0009494682710533075,-0.0022334070278436924,0.46551724137931033
Validation_2015_2018,post_ex_0_p20,47,-0.002977140048274805,0.0,-0.007965085271321825,-0.011676386738181721,0.3617021276595745
Validation_2015_2018,post_ex_0_p60,47,-0.0011605040142089007,-0.009478672985782088,-0.012256577678025477,-0.01855879890953538,0.2553191489361702
Validation_2015_2018,pre_ex_m20_m1,47,0.01965964179533161,0.022167487684729092,0.007562284866892441,0.005667993959872275,0.6808510638297872
Validation_2015_2018,pre_ex_m60_m1,47,0.046101773708012904,0.04999999999999982,0.007342397588042801,0.0034089279744692336,0.5319148936170213
Validation_2015_2018,q4_q1_accumulation,47,0.0234858301092929,0.03723986856516981,-0.001911787901728325,-0.008195975515968179,0.425531914893617
