stock_id,router,fiscal_year,record_date,announcement_date,announcement_time,signal_date,cash_ex_date,cash_payment_date,cash_dividend,stock_dividend,prior_cash_dividend,dividend_growth
2801,R2,93年,2005-07-18,2005-06-24,13:02:59,2005-06-27,2005-07-12,,0.3,0.0,,
2801,R2,95年,2007-07-25,2007-07-03,15:21:09,2007-07-04,2007-07-19,,1.0,0.0,0.3,2.3333333333333335
2801,R2,96年,2008-07-25,2008-07-01,11:02:55,2008-07-02,2008-07-17,,0.9,0.0,1.0,-0.09999999999999998
2801,R2,98年,2010-07-23,2010-06-25,15:46:14,2010-06-28,2010-07-15,,0.3,0.0,0.9,-0.6666666666666667
2801,R2,99年,2011-08-03,2011-07-14,10:37:13,2011-07-15,2011-07-28,,0.28,0.9,0.3,-0.06666666666666654
2801,R2,100年,2012-08-22,2012-08-03,09:38:38,2012-08-06,2012-08-16,,0.2,0.7,0.28,-0.2857142857142857
2801,R2,101年,2013-08-27,2013-08-06,18:04:19,2013-08-07,2013-08-21,,0.1,0.7,0.2,-0.5
2801,R2,102年,2014-08-12,2014-07-22,17:11:31,2014-07-24,2014-08-06,2014-09-03,0.6,0.2,0.1,4.999999999999999
2801,R2,103年,2015-08-18,2015-07-28,16:41:20,2015-07-29,2015-08-12,2015-09-07,0.2,0.7,0.6,-0.6666666666666666
2801,R2,104年,2016-08-16,2016-07-26,17:02:25,2016-07-27,2016-08-10,2016-09-07,0.35,0.6,0.2,0.7499999999999998
2801,R2,105年,2017-08-15,2017-07-25,15:52:04,2017-07-26,2017-08-09,2017-09-06,0.42,0.5,0.35,0.19999999999999996
2801,R2,106年,2018-09-10,2018-08-16,17:59:06,2018-08-17,2018-09-04,2018-09-28,0.45,0.4,0.42,0.0714285714285714
2801,R2,107年,2019-08-12,2019-07-22,15:45:22,2019-07-23,2019-08-06,2019-09-06,0.64,0.2,0.45,0.4222222222222223
2801,R2,108年,2020-08-17,2020-07-27,17:34:06,2020-07-28,2020-08-11,2020-09-11,0.4,0.4,0.64,-0.375
2801,R2,109年,2021-09-06,2021-08-13,15:34:57,2021-08-16,2021-08-31,2021-09-30,0.36,0.1,0.4,-0.10000000000000009
2801,R2,110年,2022-08-17,2022-07-27,17:27:52,2022-07-28,2022-08-11,2022-09-08,0.5,0.1,0.36,0.38888888888888884
2801,R2,111年,2023-08-16,2023-07-26,11:42:24,2023-07-27,2023-08-10,2023-09-13,0.55,0.25,0.5,0.10000000000000009
2801,R2,112年,2024-08-21,2024-07-31,11:31:30,2024-08-01,2024-08-15,2024-09-19,0.55,0.32,0.55,0.0
2801,R2,113年,2025-08-06,2025-07-16,12:06:27,2025-07-17,2025-07-31,2025-09-04,0.5,0.5,0.55,-0.09090909090909094
2801,R2,114年,2026-08-11,2026-07-21,15:18:15,2026-07-22,2026-08-05,2026-08-31,0.8,0.25,0.5,0.6000000000000001
2834,R2,104年,2016-09-10,2016-08-19,17:41:49,2016-08-22,2016-09-02,2016-10-05,0.1,0.5,,
2834,R2,105年,2017-08-07,2017-07-13,16:42:02,2017-07-14,2017-08-01,2017-09-05,0.102,0.3,0.1,0.019999999999999796
2834,R2,106年,2018-09-12,2018-08-23,09:53:47,2018-08-24,2018-09-06,2018-10-11,0.268,0.4,0.102,1.6274509803921573
2834,R2,107年,2019-08-20,2019-07-31,12:00:19,2019-08-01,2019-08-14,2019-09-19,0.3,0.5,0.268,0.11940298507462677
