stock_id,router,event_year,window,stock_return,benchmark_return,abnormal_return,start_date,end_date,split
2801,R2,2012,post_ex_0_p20,0.003236245954692629,-0.0037584693821377524,0.006994715336830382,2012-08-16,2012-09-13,Train_2005_2014
2801,R2,2012,post_ex_0_p60,-0.032362459546925626,-0.037192634950496295,0.004830175403570669,2012-08-16,2012-11-09,Train_2005_2014
2801,R2,2012,q4_q1_accumulation,-0.13589743589743586,-0.06073631363846532,-0.07516112225897054,2011-11-01,2012-03-30,Train_2005_2014
2801,R2,2013,announcement_m20_p20,0.06388776139148233,0.06641502125175314,-0.002527259860270803,2013-07-10,2013-09-05,Train_2005_2014
2801,R2,2013,announcement_0_p20,0.08937010298169734,0.04192420471542091,0.04744589826627643,2013-08-07,2013-09-05,Train_2005_2014
2801,R2,2013,pre_ex_m60_m1,-0.014705882352941013,0.021949174186840725,-0.03665505653978174,2013-05-28,2013-08-20,Train_2005_2014
2801,R2,2013,pre_ex_m20_m1,-0.03735632183908033,-0.02557052591774922,-0.01178579592133111,2013-07-24,2013-08-20,Train_2005_2014
2801,R2,2013,post_ex_0_p20,0.0691823899371069,0.05666849271867469,0.012513897218432213,2013-08-22,2013-09-18,Train_2005_2014
2801,R2,2013,post_ex_0_p60,0.09433962264150941,0.07201687744855523,0.022322745192954185,2013-08-22,2013-11-18,Train_2005_2014
2801,R2,2013,q4_q1_accumulation,0.2033898305084747,0.20771265100318215,-0.004322820494707447,2012-11-01,2013-03-29,Train_2005_2014
2801,R2,2014,announcement_m20_p20,0.07944491576778545,0.08671256753430434,-0.00726765176651889,2014-06-25,2014-08-21,Train_2005_2014
2801,R2,2014,announcement_0_p20,0.02408876624123235,0.012315324293934005,0.011773441947298346,2014-07-24,2014-08-21,Train_2005_2014
2801,R2,2014,pre_ex_m60_m1,0.05915492957746471,0.09064608943917007,-0.031491159861705365,2014-05-12,2014-08-05,Train_2005_2014
2801,R2,2014,pre_ex_m20_m1,0.008042895442359255,0.014145575097028962,-0.006102679654669707,2014-07-08,2014-08-05,Train_2005_2014
2801,R2,2014,post_ex_0_p20,0.06145251396648055,0.06656467961070578,-0.0051121656442252306,2014-08-06,2014-09-03,Train_2005_2014
