signal_date,execution_date,code,side,gross_value,cost,period,exec_open,exec_close,trading_money,alpha_universe,listed_and_trading,signal_open,signal_close,trading_money_right,signal_alpha_universe,listed_and_trading_right,t1_ok,same_bar
2019-01-02,2019-01-03,2313,BUY,0.049903934925268865,0.00009606507473114258,VALIDATION_2019_2022,19.95,19.8,119822274.0,true,true,20.0,19.85,59339709.1,true,true,true,false
2019-01-02,2019-01-03,2337,BUY,0.049903934925268865,0.00009606507473114258,VALIDATION_2019_2022,17.45,17.45,542664357.8,true,true,18.55,17.75,682941491.75,true,true,true,false
2019-01-02,2019-01-03,2383,BUY,0.049903934925268865,0.00009606507473114258,VALIDATION_2019_2022,66.6,66.6,78720134.39999999,true,true,66.4,66.5,111786433.5,true,true,true,false
2019-01-09,2019-01-10,2313,SELL,0.04990393492526886,0.00024577687950694916,VALIDATION_2019_2022,19.95,20.05,85296589.7,true,true,19.95,19.9,162230690.39999998,true,true,true,false
2019-01-09,2019-01-10,2337,SELL,0.05233478562363441,0.0002577488191963995,VALIDATION_2019_2022,18.3,18.25,295197108.0,true,true,18.25,18.2,374483109.0,true,true,true,false
2023-01-03,2023-01-04,1101,BUY,0.049903934925268865,0.00009606507473114258,SEALED_2023_LATEST,33.65,33.5,351518749.5,true,true,33.6,33.5,390412283.0,true,true,true,false
2023-01-03,2023-01-04,1102,BUY,0.049903934925268865,0.00009606507473114258,SEALED_2023_LATEST,40.6,40.75,156048905.75,true,true,40.95,40.6,157483299.4,true,true,true,false
2023-01-03,2023-01-04,1216,BUY,0.049903934925268865,0.00009606507473114258,SEALED_2023_LATEST,66.1,66.5,455069874.0,true,true,65.8,66.6,411592928.4,true,true,true,false
2023-01-10,2023-01-11,2371,SELL,0.048681504242661405,0.00023975640839510746,SEALED_2023_LATEST,33.85,33.9,84263975.7,false,true,33.9,33.85,105209185.0,false,true,true,false
2023-01-10,2023-01-11,2881,SELL,0.00033007461943893035,1.6256175007367322e-6,SEALED_2023_LATEST,58.7,58.1,711738769.7,true,true,59.6,59.2,738789596.8000001,true,true,true,false
