id,track,heldout_score,mdd_improve_pp,cagr_giveback_pp,tip_ytd,tip_1y,tip_clean,tip_mdd_ytd_pp,tip_mdd_1y_pp,tip_mdd_clean,promote_shaped,coexist,full_cagr,full_mdd,heldout_cagr,heldout_mdd,sealed_cagr,sealed_mdd,n_fills,is_observe_ref,is_dl
SOFT_CHAMP_PLUS_K9_LT30_a10,observe,0.08527868225383095,0.10489086922705892,-0.03922437394645595,PASS,PASS,True,0.2280171503082462,0.2280171503082351,True,True,True,0.14013655040896156,-0.21615379208416674,0.18432540435083777,-0.21615379208416674,0.2555735035747173,-0.1257977743710541,5771,True,False
LIVE_KD_OPT,base,0.0,0.0,0.0,PASS,PASS,True,0.0,0.0,True,False,False,0.14023801686669346,-0.21720270077643722,0.18393316061137321,-0.21720270077643733,0.2557299834147724,-0.12807794587413646,5751,False,False
DL_SOFT_MLP_h8_a05,dl_mlp_h8,-0.02320645608546723,0.009599399895876548,-0.06561171196268756,PASS,PASS,True,-0.173937296684179,-0.173937296684179,False,False,False,0.14062247413543738,-0.21710670677747856,0.1845892777310001,-0.21710670677747856,0.2564702113827839,-0.12981731884097847,5732,False,True
DL_SOFT_MLP_d16_8_a05,dl_mlp_deep,-0.025728421036341764,0.008772195764505941,-0.06900123360169541,PASS,PASS,True,-0.1801076239600352,-0.18010762396004631,False,False,False,0.14064049634352727,-0.21711497881879227,0.18462317294739017,-0.21711497881879227,0.25653135380161207,-0.12987902211373703,5753,False,True
DL_SOFT_MLP_h16_a05,dl_mlp_h16,-0.040641036837940625,-0.000949002446692937,-0.07938406878249538,PASS,PASS,True,-0.2692550966802987,-0.2692550966803098,False,False,False,0.14068632888257793,-0.21721219080090415,0.18472700129919817,-0.21721219080090426,0.25668966525901227,-0.13077049684093955,5743,False,True
DL_SOFT_MLP_d16_8_a025,dl_mlp_deep,-0.04512604599651304,-0.0037450102691627407,-0.0827620714547006,PASS,PASS,True,-0.26791146622630047,-0.26791146622631157,False,False,False,0.1406874408911376,-0.21724015087912907,0.18476078132592022,-0.21724015087912896,0.25670907425336087,-0.1307570605363998,5744,False,True
