challenger,cagr,max_drawdown,utility,average_daily_turnover,block_bootstrap_positive_probability,mean_gross_exposure,turnover_gate_pass,bootstrap_gate_pass,s_n_days,s_n_crisis_days,s_crisis_day_share,s_crisis_mean_excess,s_crisis_hit_rate,s_crisis_sum_excess,s_crisis_strategy_compound,s_other_mean_excess,s_all_mean_excess,both_gates_pass,detector,family,is_baseline,controller,stress_day_share,pass_phase,top_k,rebalance_every,exit_multiple
REF_C4::VOL70,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.020450275367238705,0.8066,0.9994929006085193,true,true,1971,652,0.33079654997463215,-0.0001648007476958634,0.4662576687116564,-0.10745008749770293,0.5078472975588051,0.0002616148949506483,0.00012055807150796657,true,VOL70,REF_C4,true,REF_C4,0.3306288032454361,primary_c4_shell,22,42,2.25
S1-QRES::VOL70,0.04902654732736811,-0.3248753445897625,-0.11341112496751315,0.02817242413961181,0.3496,0.9994929006085193,false,false,1971,652,0.33079654997463215,-0.0003378322531375121,0.48773006134969327,-0.22026662904565789,0.3177541225579332,0.000058602935375750256,-0.00007253645727297986,false,VOL70,S1-QRES,false,SWITCH_S1_BOOK,0.3306288032454361,primary_c4_shell,22,42,2.25
S1-DEFRES::VOL70,0.09110608239711104,-0.2617598629559912,-0.03977384908088455,0.023549343945197396,0.6828,0.9994929006085193,true,false,1971,652,0.33079654997463215,-0.00019330450427055589,0.4539877300613497,-0.12603453678440243,0.48248872061458536,0.00019163456044720607,0.00006429804588810884,false,VOL70,S1-DEFRES,false,SWITCH_S1_BOOK,0.3306288032454361,primary_c4_shell,22,42,2.25
S1-VALRES::VOL70,-0.011113331989436426,-0.43217161611690513,-0.227199140047889,0.06820563557279637,0.0308,0.9994929006085193,false,false,1971,652,0.33079654997463215,-0.0005558585641848732,0.450920245398773,-0.36241978384853735,0.14644813540605028,-0.00016967549063162354,-0.0002974235190216382,false,VOL70,S1-VALRES,false,SWITCH_S1_BOOK,0.3306288032454361,primary_c4_shell,22,42,2.25
REF_C4::VOL80,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.020450275367238705,0.8066,0.9994929006085193,true,true,1971,496,0.25164890918315574,-0.00006846713911542418,0.46774193548387094,-0.0339597010012504,0.34084367673302585,0.00018412180335149316,0.00012055807150796657,true,VOL80,REF_C4,true,REF_C4,0.2515212981744422,primary_c4_shell,22,42,2.25
S1-QRES::VOL80,0.0592540823192198,-0.3248753445897625,-0.10318358997566146,0.02693950410436511,0.4422,0.9994929006085193,false,false,1971,496,0.25164890918315574,-0.00032132224894343664,0.4879032258064516,-0.15937583547594458,0.16039671748429574,0.00006015805057387033,-0.000035841050674523535,false,VOL80,S1-QRES,false,SWITCH_S1_BOOK,0.2515212981744422,primary_c4_shell,22,42,2.25
S1-DEFRES::VOL80,0.0920279729057194,-0.26179323501573604,-0.038868644602148616,0.022784756246903046,0.6854,0.9994929006085193,true,false,1971,496,0.25164890918315574,-0.000291860516137674,0.4495967741935484,-0.1447628160042863,0.2020407873355674,0.00018710674170830744,0.00006657515373691888,false,VOL80,S1-DEFRES,false,SWITCH_S1_BOOK,0.2515212981744422,primary_c4_shell,22,42,2.25
S1-VALRES::VOL80,-0.011113331989436426,-0.43217161611690513,-0.227199140047889,0.06820563557279637,0.0308,0.9994929006085193,false,false,1971,496,0.25164890918315574,-0.0003691858491548926,0.4637096774193548,-0.18311618118082673,0.13980919879289844,-0.00027329191512598107,-0.0002974235190216382,false,VOL80,S1-VALRES,false,SWITCH_S1_BOOK,0.2515212981744422,primary_c4_shell,22,42,2.25
REF_C4::COMBO_VOL70_VAL00,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.020450275367238705,0.8066,0.9994929006085193,true,true,1971,276,0.1400304414003044,0.00017631463065697722,0.48188405797101447,0.048662838061325715,0.14277456622819074,0.00011147912736334885,0.00012055807150796657,true,COMBO_VOL70_VAL00,REF_C4,true,REF_C4,0.13995943204868155,primary_c4_shell,22,42,2.25
S1-QRES::COMBO_VOL70_VAL00,0.09673716709902513,-0.3023731520676275,-0.05444940893478861,0.025880466655662224,0.7538,0.9994929006085193,false,true,1971,276,0.1400304414003044,0.00019217387300816656,0.5,0.05303998895025397,0.1421248012636589,0.0000810869658222945,0.00009664251446932677,false,COMBO_VOL70_VAL00,S1-QRES,false,SWITCH_S1_BOOK,0.13995943204868155,primary_c4_shell,22,42,2.25
S1-DEFRES::COMBO_VOL70_VAL00,0.10129982608201793,-0.3023731520676275,-0.04988674995179582,0.02216118500164792,0.7656,0.9994929006085193,true,true,1971,276,0.1400304414003044,0.00011493519874377107,0.4601449275362319,0.03172211485328082,0.12373751116058873,0.00010115195678365833,0.0001030820302392601,true,COMBO_VOL70_VAL00,S1-DEFRES,false,SWITCH_S1_BOOK,0.13995943204868155,primary_c4_shell,22,42,2.25
S1-VALRES::COMBO_VOL70_VAL00,-0.011113331989436426,-0.43217161611690513,-0.227199140047889,0.06820563557279637,0.0308,0.9994929006085193,false,false,1971,276,0.1400304414003044,-0.00019961558193875762,0.4927536231884058,-0.0550939006150971,0.018882715062454647,-0.0003133497671838064,-0.0002974235190216382,false,COMBO_VOL70_VAL00,S1-VALRES,false,SWITCH_S1_BOOK,0.13995943204868155,primary_c4_shell,22,42,2.25
REF_C4::COMBO_VOL70_VAL03,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.020450275367238705,0.8066,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.00003618134362870352,0.47619047619047616,0.008357890378230513,0.024205838101660104,0.00013175980951952393,0.00012055807150796657,true,COMBO_VOL70_VAL03,REF_C4,true,REF_C4,0.11713995943204868,primary_c4_shell,22,42,2.25
S1-QRES::COMBO_VOL70_VAL03,0.08850839589439508,-0.3023731520676275,-0.06267818013941867,0.024263652620990776,0.6858,0.9994929006085193,true,false,1971,231,0.1171993911719939,0.00004959273779406604,0.4935064935064935,0.011455922430429255,0.023078627897111348,0.00006866862959475101,0.00006643294668964785,false,COMBO_VOL70_VAL03,S1-QRES,false,SWITCH_S1_BOOK,0.11713995943204868,primary_c4_shell,22,42,2.25
S1-DEFRES::COMBO_VOL70_VAL03,0.11013487722199478,-0.3023731520676275,-0.04105169881181897,0.021412265860797444,0.829,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.00012737792771346307,0.4675324675324675,0.029424301301809966,0.04622466178553153,0.0001381469352005721,0.0001368848140795563,true,COMBO_VOL70_VAL03,S1-DEFRES,false,SWITCH_S1_BOOK,0.11713995943204868,primary_c4_shell,22,42,2.25
