book,alpha,cost_multiple,window,mdd_improve_pp,cagr_giveback_pp,score,turnover_per_year,fees_tax_sum,n_fills,book_cagr,base_cagr,book_mdd,base_mdd
BASE_E16_E18_E22_v2s,0.0,0,heldout_2019_plus,0.0,0.0,0.0,2.195322522131772,0.0,6119,0.18786262611011084,0.18786262611011084,-0.22420865630431908,-0.22420865630431908
BASE_E16_E18_E22_v2s,0.0,0,full,0.0,0.0,0.0,2.195322522131772,0.0,6119,0.14407208674819638,0.14407208674819638,-0.22420865630431908,-0.22420865630431908
BLEND_E45_A05,0.05,0,heldout_2019_plus,0.6946269483974254,0.9406448486156904,0.22430452408958024,2.233820089797587,0.0,6155,0.17845617762395394,0.18786262611011084,-0.21726238682034482,-0.22420865630431908
BLEND_E45_A05,0.05,0,full,0.6946269483974143,0.40998511390410997,0.48963439144535936,2.233820089797587,0.0,6155,0.13997223560915528,0.14407208674819638,-0.21726238682034493,-0.22420865630431908
BLEND_E45_A10,0.1,0,heldout_2019_plus,0.7401476895778414,1.481713752157443,-0.0007091865008801435,2.2701415062019756,0.0,6255,0.1730454885885364,0.18786262611011084,-0.21680717940854066,-0.22420865630431908
BLEND_E45_A10,0.1,0,full,0.7401476895778525,0.6764016251735283,0.40194687699108833,2.2701415062019756,0.0,6255,0.1373080704964611,0.14407208674819638,-0.21680717940854055,-0.22420865630431908
BLEND_E45_A25,0.25,0,heldout_2019_plus,0.45093063990228055,2.655774973770697,-0.876956846983068,2.309724846115503,0.0,6420,0.16130487637240387,0.18786262611011084,-0.21969934990529627,-0.22420865630431908
BLEND_E45_A25,0.25,0,full,0.45093063990229165,1.285556842315927,-0.1918477812556718,2.309724846115503,0.0,6420,0.1312165183250371,0.14407208674819638,-0.21969934990529616,-0.22420865630431908
CHAL_E45_E3,1.0,0,heldout_2019_plus,1.7380748779863509,5.289595783545109,-0.9067230137862037,2.3124376532835726,0.0,6844,0.13496666827465975,0.18786262611011084,-0.20682790752445557,-0.22420865630431908
CHAL_E45_E3,1.0,0,full,1.7380748779863398,2.8055674634793304,0.33529114624667455,2.3124376532835726,0.0,6844,0.11601641211340308,0.14407208674819638,-0.20682790752445568,-0.22420865630431908
BASE_E16_E18_E22_v2s,0.0,1,heldout_2019_plus,0.0,0.0,0.0,2.18569227557563,391684.7088881098,6104,0.18203522229472702,0.18203522229472702,-0.2254334443782552,-0.2254334443782552
BASE_E16_E18_E22_v2s,0.0,1,full,0.0,0.0,0.0,2.18569227557563,391684.7088881098,6104,0.13789395672938531,0.13789395672938531,-0.22543344437825508,-0.22543344437825508
BLEND_E45_A05,0.05,1,heldout_2019_plus,0.702410619961702,0.9603207511210909,0.22225024440115648,2.233277734222544,400183.75862767885,6175,0.1724320147835161,0.18203522229472702,-0.21840933817863817,-0.2254334443782552
BLEND_E45_A05,0.05,1,full,0.7024106199616909,0.42342237927519566,0.490699430324093,2.233277734222544,400183.75862767885,6175,0.13365973293663336,0.13789395672938531,-0.21840933817863817,-0.22543344437825508
BLEND_E45_A10,0.1,1,heldout_2019_plus,0.799556371054333,1.5094181207245816,0.044847310692042175,2.259514004677748,402716.67901574686,6230,0.1669410410874812,0.18203522229472702,-0.21743788066771186,-0.2254334443782552
BLEND_E45_A10,0.1,1,full,0.7995563710543108,0.7007775072591205,0.44916761742475053,2.259514004677748,402716.67901574686,6230,0.1308861816567941,0.13789395672938531,-0.21743788066771197,-0.22543344437825508
