date,nav
2012-12-04,1.0
2012-12-05,1.003291789269621
2012-12-06,1.0026960573204928
2012-12-07,1.0029840891970137
2012-12-10,0.9912030098204537
2012-12-11,0.9936283197041259
2012-12-12,1.01229682619042
2012-12-13,1.0187797472276352
2012-12-14,1.0166837137529805
2012-12-17,1.0062554465680318
2012-12-18,1.0090383099110543
2012-12-19,1.0148479756223654
2012-12-20,0.9945098317157892
2012-12-21,0.9724138742011877
2012-12-22,0.9761615754407659
2012-12-24,0.9781086462945354
2012-12-25,0.9979628841634967
2012-12-26,0.9903377757973343
2012-12-27,0.9938383787293352
2012-12-28,1.0058196838924032
2013-01-02,1.0226124647189965
2013-01-03,1.028536830396731
2013-01-04,1.0124509412444997
2013-01-07,1.005088665625931
2013-01-08,1.0054035399090657
2013-01-09,1.0029392652905675
2013-01-10,1.0277904519388505
2013-01-11,1.028612407151137
2013-01-14,1.0282602475906641
2013-01-15,1.0205687528072795
2013-01-16,1.0084392305945342
2013-01-17,0.9965130581222876
2013-01-18,1.0129058274266216
2013-01-21,1.0106113395036092
2013-01-22,1.018898437350546
2013-01-23,1.0169757654461133
2013-01-24,1.0049717349333682
2013-01-25,0.9990234210713699
2013-01-28,1.0191512095665585
2013-01-29,1.030904439188126
2013-01-30,1.0329763503411213
2013-01-31,1.047492561148916
2013-02-01,1.0515137976340068
2013-02-04,1.1051587377587995
2013-02-05,1.0956794641175864
2013-02-06,1.1068208247724645
2013-02-18,1.109418049712538
2013-02-19,1.1018781124528723
2013-02-20,1.1296060389633633
2013-02-21,1.1034305965727735
2013-02-22,1.101461504269295
2013-02-23,1.117167018079796
2013-02-25,1.0997755835877645
2013-02-26,1.0920275471243281
2013-02-27,1.0895499920582006
2013-03-01,1.1021623586503138
2013-03-04,1.0720022719331885
2013-03-05,1.089252861492262
2013-03-06,1.0867865170134148
2013-03-07,1.0900026538519647
2013-03-08,1.120341566279659
2013-03-11,1.1170413456825323
2013-03-12,1.1009895390424662
2013-03-13,1.1003925883456263
2013-03-14,1.0968708881097546
2013-03-15,1.0944176489174045
2013-03-18,1.0640565044992407
2013-03-19,1.0630675731074541
2013-03-20,1.053157087784833
2013-03-21,1.0516878307872584
2013-03-22,1.0430839651691004
2013-03-25,1.069348891755413
2013-03-26,1.0625004034233376
2013-03-27,1.077670567217837
2013-03-28,1.072466432147014
2013-03-29,1.0807242431580215
2013-04-01,1.0732520994858654
2013-04-02,1.0679801263916677
2013-04-03,1.0758781301967228
2013-04-08,1.0261223074266783
2013-04-09,1.0281546373249644
2013-04-10,1.027758891343137
2013-04-11,1.0352929060617009
2013-04-12,1.0308362140615437
2013-04-15,1.0219619641312152
2013-04-16,1.018367919324637
2013-04-17,0.9995059853325018
2013-04-18,1.000024681666973
2013-04-19,1.026641901406781
2013-04-22,1.0292695926764974
2013-04-23,1.0323204017554632
2013-04-24,1.040866595910843
2013-04-25,1.03669326434506
2013-04-26,1.032260562471154
2013-04-29,1.0326794032661213
2013-04-30,1.0442896489014377
2013-05-02,1.05239634637896
2013-05-03,1.059687231946118
2013-05-06,1.0597812176723687
2013-05-07,1.0607300620195923
2013-05-08,1.0709902867228906
2013-05-09,1.076184079770223
2013-05-10,1.0731275891605636
2013-05-13,1.0630688201470246
2013-05-14,1.063960281871197
2013-05-15,1.0813259107586968
2013-05-16,1.1112757443312926
2013-05-17,1.107285701857589
2013-05-20,1.1071303005986974
2013-05-21,1.104610653588932
2013-05-22,1.1079189815483546
2013-05-23,1.0727299105404036
2013-05-24,1.061319828947119
2013-05-27,1.080061874380054
2013-05-28,1.0797145512073898
2013-05-29,1.091668495133913
2013-05-30,1.0659970380281036
2013-05-31,1.0852777051964229
2013-06-03,1.05739104244936
2013-06-04,1.0519834421915293
2013-06-05,1.0484466466928046
2013-06-06,1.031023122053521
2013-06-07,1.0370711231220748
2013-06-10,1.0481946303923522
2013-06-11,1.0405233176153483
2013-06-13,1.0086152197917084
2013-06-14,1.006369872746771
2013-06-17,1.011433350296033
2013-06-18,1.0183749918329459
2013-06-19,1.0111578592789645
2013-06-20,0.999035864269735
2013-06-21,0.984631805668911
2013-06-24,0.9769815921739903
2013-06-25,0.9652322224168157
2013-06-26,0.9815361093507584
2013-06-27,0.9860813369329123
2013-06-28,1.028773964008841
2013-07-01,1.019696566632414
2013-07-02,1.0201356241999961
2013-07-03,1.0144664086217854
2013-07-04,1.0140925583462215
2013-07-05,1.023659858649502
2013-07-08,1.014075754324369
2013-07-09,1.0342414743511923
2013-07-10,1.0500334351777723
2013-07-11,1.0787138659594873
2013-07-12,1.0873492810381713
2013-07-15,1.0939916351178771
2013-07-16,1.0951768627846916
2013-07-17,1.109950872170059
2013-07-18,1.1098530654392966
2013-07-19,1.0977524030304098
2013-07-22,1.1037696271260038
2013-07-23,1.1211982659113509
2013-07-24,1.1153771663119396
2013-07-25,1.1055095483942854
2013-07-26,1.1120195634645131
2013-07-29,1.1067261970553235
2013-07-30,1.1182283895007286
2013-07-31,1.107474313555372
2013-08-01,1.1121420046881327
2013-08-02,1.1280787153853262
2013-08-05,1.1299632425016377
2013-08-06,1.1096466169018204
2013-08-07,1.0945226179834935
2013-08-08,1.087244667803458
2013-08-09,1.075389340191321
2013-08-12,1.0884157276974518
2013-08-13,1.08591242083221
2013-08-14,1.0848970337607176
2013-08-15,1.078993069888978
2013-08-16,1.0830336781188583
2013-08-19,1.0804992658747685
2013-08-20,1.077808212856812
2013-08-22,1.0735546318195162
2013-08-23,1.0752320427290285
2013-08-26,1.0816236890326547
2013-08-27,1.0770409370881533
2013-08-28,1.0735582147560523
2013-08-29,1.0767699088229208
2013-08-30,1.0983239860152936
2013-09-02,1.0957294612454265
2013-09-03,1.112941560839156
2013-09-04,1.1272905701422877
2013-09-05,1.1323511162491873
2013-09-06,1.1296301758629514
2013-09-09,1.1283919212033033
2013-09-10,1.14253027532161
2013-09-11,1.146361611094452
2013-09-12,1.1530702333198917
2013-09-13,1.1486523511397615
2013-09-14,1.1405726766494084
2013-09-16,1.1652210906812284
2013-09-17,1.1690209487529934
2013-09-18,1.1610827443419292
2013-09-23,1.1914401833132484
2013-09-24,1.1910454492078417
2013-09-25,1.1929392293420162
2013-09-26,1.1592265761095866
2013-09-27,1.177647775030972
2013-09-30,1.153650968191832
2013-10-01,1.1573746521264232
2013-10-02,1.1475343262886457
2013-10-03,1.1908190971391472
2013-10-04,1.1951961228089882
2013-10-07,1.192972750073905
2013-10-08,1.2058626337718796
2013-10-09,1.197539000989806
2013-10-11,1.199464209597074
2013-10-14,1.191525516086531
2013-10-15,1.2076624293643232
2013-10-16,1.1998800249559782
2013-10-17,1.19860545531622
2013-10-18,1.202586019379914
2013-10-21,1.1908120574809287
2013-10-22,1.1875591982540135
2013-10-23,1.190658173905454
2013-10-24,1.1966200962718074
2013-10-25,1.1824396590972088
2013-10-28,1.2001410140130102
2013-10-29,1.1910896677850262
2013-10-30,1.20547317936902
2013-10-31,1.2112118013604722
2013-11-01,1.194761505428989
2013-11-04,1.1752114335544772
2013-11-05,1.1650973157829279
2013-11-06,1.1657968357578503
2013-11-07,1.1539555982757532
2013-11-08,1.1594602664499665
2013-11-11,1.1436105544610873
2013-11-12,1.1545408189633233
2013-11-13,1.1318171877935677
2013-11-14,1.1325670004404702
2013-11-15,1.1392152705382788
2013-11-18,1.1419708163954798
2013-11-19,1.1464249176080914
2013-11-20,1.1405283106474053
2013-11-21,1.1186602874672888
2013-11-22,1.1338979337174395
2013-11-25,1.160310116409703
2013-11-26,1.159167955888743
2013-11-27,1.1638660595944679
2013-11-28,1.1765833904264753
2013-11-29,1.1814736574742444
2013-12-02,1.1787837392836868
2013-12-03,1.170210599347043
2013-12-04,1.1772244918945673
2013-12-05,1.1698252704155683
2013-12-06,1.158549350140346
2013-12-09,1.1833904002162632
2013-12-10,1.1929834545245392
2013-12-11,1.2005742702780036
2013-12-12,1.177892582020852
2013-12-13,1.1910558006465817
2013-12-16,1.1768180918926059
2013-12-17,1.1723024273631693
2013-12-18,1.1731822566978116
2013-12-19,1.1790764034821042
2013-12-20,1.1725404370087298
2013-12-23,1.1763554315677163
2013-12-24,1.1751970398529137
2013-12-25,1.1815842125886569
2013-12-26,1.1856269214683162
2013-12-27,1.193186124517653
2013-12-30,1.216377024101914
2013-12-31,1.2098736611829388
2014-01-02,1.211668444652314
2014-01-03,1.1909800655056844
2014-01-06,1.1840972200860262
2014-01-07,1.1799963615488436
2014-01-08,1.1830797168146316
2014-01-09,1.1847687254063943
2014-01-10,1.1856254175129333
2014-01-13,1.1929464460696269
2014-01-14,1.194904833962476
2014-01-15,1.1988824395032336
2014-01-16,1.200415451332202
2014-01-17,1.1975380794823685
2014-01-20,1.20217430743758
2014-01-21,1.1934358185476994
2014-01-22,1.202546674519249
2014-01-23,1.1922115353865792
2014-01-24,1.2014999823255743
2014-01-27,1.1705963590181878
2014-02-05,1.127546475266265
2014-02-06,1.1307436480695485
2014-02-07,1.1433189848169252
2014-02-10,1.1420413601898378
2014-02-11,1.1439224410774786
2014-02-12,1.159659082072372
2014-02-13,1.1514463853485235
2014-02-14,1.162687741005336
2014-02-17,1.1622289564421053
2014-02-18,1.1768522867831592
2014-02-19,1.1763739668652693
2014-02-20,1.158826815674264
2014-02-21,1.182595096328197
2014-02-24,1.1743666877523524
2014-02-25,1.1673517727430438
2014-02-26,1.166263566092717
2014-02-27,1.178043935273395
2014-03-03,1.159216917931704
2014-03-04,1.148177117899326
2014-03-05,1.153842359878963
2014-03-06,1.1717637136661274
2014-03-07,1.1831728717607704
2014-03-10,1.1682451383549803
2014-03-11,1.160147103481988
2014-03-12,1.1625583155572867
2014-03-13,1.1565963369653591
2014-03-14,1.1470326976018623
2014-03-17,1.1510964084511006
2014-03-18,1.1582111812001623
2014-03-19,1.149945528763975
2014-03-20,1.1310051825099303
2014-03-21,1.1292874651874318
2014-03-24,1.1368400764465625
2014-03-25,1.1413323041596872
2014-03-26,1.14734713035035
2014-03-27,1.1411394486788822
2014-03-28,1.1594043777115586
2014-03-31,1.1717718727148208
2014-04-01,1.1747497213521851
2014-04-02,1.1682210553264678
2014-04-03,1.1738207381414054
2014-04-07,1.1678807327324559
2014-04-08,1.1768358551317906
2014-04-09,1.1825177267988187
2014-04-10,1.19044475311431
2014-04-11,1.1880965826786571
2014-04-14,1.185772528537284
2014-04-15,1.1793957328895177
2014-04-16,1.1740144307449787
2014-04-17,1.1837745467728344
2014-04-18,1.1864222325471478
2014-04-21,1.178575349780533
2014-04-22,1.177016968943482
2014-04-23,1.1716685168690355
2014-04-24,1.175971616008808
2014-04-25,1.1510802228059367
2014-04-28,1.1554788466807109
2014-04-29,1.16477485942562
2014-04-30,1.1469343908241716
2014-05-02,1.1653653020120818
2014-05-05,1.1592775671433155
2014-05-06,1.1706642800908236
2014-05-07,1.1715754791273674
2014-05-08,1.18112920456012
2014-05-09,1.1765553917611726
2014-05-12,1.164405805430277
2014-05-13,1.1685898621966522
2014-05-14,1.1792602157465286
2014-05-15,1.1814131498440705
2014-05-16,1.1841889918553445
2014-05-19,1.1859734622427927
2014-05-20,1.1817600513518556
2014-05-21,1.1757134460097383
2014-05-22,1.1993424484268866
2014-05-23,1.209538421355071
2014-05-26,1.2120590555526496
2014-05-27,1.2205186898611378
2014-05-28,1.2433968428546343
2014-05-29,1.2413659940642456
2014-05-30,1.2600983496891027
2014-06-03,1.2594250082127627
2014-06-04,1.2482930288830163
2014-06-05,1.248278966238394
2014-06-06,1.251586689454903
2014-06-09,1.2535672930459008
2014-06-10,1.270815625517339
2014-06-11,1.265756241145817
2014-06-12,1.2676822768622025
