min_hold,partial_fraction,period,n,ret,mdd,sharpe,vol,turnover
63,0.2,2015_2020,1468,0.46185889618001585,-0.22095426297370258,0.6545787702738466,0.10871552905019359,11.951583461294117
63,0.2,2021_2022,490,0.25942193688475745,-0.18084018784712053,0.9651438405466018,0.13224179450861617,4.2358707604980825
63,0.2,2023_2025,722,0.5347891662964008,-0.14962674236715134,1.2252055519629137,0.1290962795260777,6.234905524592092
63,0.2,2026,152,0.22049063995804552,-0.06888035356212652,2.3032633972486,0.14925097076224147,1.3347887220899224
63,0.25,2015_2020,1468,0.45883097536167483,-0.22134875808024068,0.6513821126092384,0.10869935721079665,14.05749661733655
63,0.25,2021_2022,490,0.2643690434337451,-0.18082645543534615,0.9776222114546006,0.13268106210592578,4.927540623768299
63,0.25,2023_2025,722,0.5316898070888525,-0.15072178225993182,1.2191298775433124,0.12916831439605908,7.3102502037169454
63,0.25,2026,152,0.22134496101604362,-0.06845226516139302,2.296622890211661,0.150256779455916,1.5194236164671804
63,0.33,2015_2020,1468,0.4542725727249781,-0.2229385020298733,0.6459716881113523,0.1087929281685203,17.40701300605326
63,0.33,2021_2022,490,0.2703831861172301,-0.180574405181403,0.9926773264126445,0.13320368562902365,6.032589830917905
63,0.33,2023_2025,722,0.5263816195034778,-0.15248994772213187,1.2087701393706802,0.12928480788558241,9.005647829059832
63,0.33,2026,152,0.22207440978459347,-0.0678320891785249,2.285288574874533,0.15152172000599975,1.8146513468513605
84,0.2,2015_2020,1468,0.4681426884747917,-0.2248844022199995,0.664509349045291,0.10809567608921766,11.848941662625933
84,0.2,2021_2022,490,0.25802621719529295,-0.17539535773977666,0.9604991609035519,0.13229306615982808,4.184628800610252
84,0.2,2023_2025,722,0.5182930645624368,-0.15309040906179106,1.1890301584653638,0.12993299274960138,6.03600790446871
84,0.2,2026,152,0.21577148843321692,-0.06995188393166374,2.2778466368620935,0.14799289655811992,1.2595989438939663
84,0.25,2015_2020,1468,0.4700447971005628,-0.22447662858325723,0.6664618453683308,0.1081155448291219,13.958975399325986
84,0.25,2021_2022,490,0.2620730294937297,-0.17510362625025055,0.9693417806457465,0.13287390904616797,4.88437123204319
84,0.25,2023_2025,722,0.5131376746924385,-0.1553832237783399,1.17699726003982,0.1302906226093966,7.041880401374952
84,0.25,2026,152,0.2170216961486111,-0.07015605387966428,2.272938044542701,0.14914233763032778,1.4129290374770767
84,0.33,2015_2020,1468,0.47291508347775646,-0.22413632847364873,0.6687883847468463,0.10826370190278825,17.27010378991522
84,0.33,2021_2022,490,0.26647965188550615,-0.1743738170440966,0.9787118942080184,0.13352677144210193,6.001201563808946
84,0.33,2023_2025,722,0.5056510331780608,-0.15882672900346162,1.1595461612076092,0.13081542708978788,8.618934812599992
84,0.33,2026,152,0.21911450233313734,-0.07049893470048374,2.2689299136168786,0.1507779694129138,1.6465868342423033
105,0.2,2015_2020,1468,0.4681426884747917,-0.2248844022199995,0.664509349045291,0.10809567608921766,11.848941662625933
105,0.2,2021_2022,490,0.25802621719529295,-0.17539535773977666,0.9604991609035519,0.13229306615982808,4.184628800610252
105,0.2,2023_2025,722,0.5182930645624368,-0.15309040906179106,1.1890301584653638,0.12993299274960138,6.03600790446871
105,0.2,2026,152,0.21577148843321692,-0.06995188393166374,2.2778466368620935,0.14799289655811992,1.2595989438939663
105,0.25,2015_2020,1468,0.4700447971005628,-0.22447662858325723,0.6664618453683308,0.1081155448291219,13.958975399325986
105,0.25,2021_2022,490,0.2620730294937297,-0.17510362625025055,0.9693417806457465,0.13287390904616797,4.88437123204319
105,0.25,2023_2025,722,0.5131376746924385,-0.1553832237783399,1.17699726003982,0.1302906226093966,7.041880401374952
105,0.25,2026,152,0.2170216961486111,-0.07015605387966428,2.272938044542701,0.14914233763032778,1.4129290374770767
105,0.33,2015_2020,1468,0.47291508347775646,-0.22413632847364873,0.6687883847468463,0.10826370190278825,17.27010378991522
105,0.33,2021_2022,490,0.26647965188550615,-0.1743738170440966,0.9787118942080184,0.13352677144210193,6.001201563808946
105,0.33,2023_2025,722,0.5056510331780608,-0.15882672900346162,1.1595461612076092,0.13081542708978788,8.618934812599992
105,0.33,2026,152,0.21911450233313734,-0.07049893470048374,2.2689299136168786,0.1507779694129138,1.6465868342423033
