excluded,period,n,ret,mdd,sharpe,vol,turnover
2801,2015_2020,1468,0.4832950544313497,-0.23525972426734598,0.6635322665626924,0.11146931892222715,14.22467694699872
2801,2021_2022,490,0.2972017686664299,-0.18529897560270525,1.0393949377731138,0.13823282801082512,4.9541671899962685
2801,2023_2025,722,0.5535932781122332,-0.16646026523797386,1.192755576271177,0.13706486197011988,7.178511366640368
2801,2026,152,0.21936441584823618,-0.07258869249518018,2.2103096729146925,0.15523886775859627,1.4456412488592627
2834,2015_2020,1468,0.47468793953211663,-0.231800445816011,0.6572390163243843,0.11092580960263386,14.36042031367554
2834,2021_2022,490,0.2494639120968427,-0.18496401990971278,0.9154024606574848,0.13541870558661315,4.956526173037458
2834,2023_2025,722,0.528741930012266,-0.1545979378956558,1.2042963767656096,0.1303176981579374,7.218566159648951
2834,2026,152,0.23522007825836644,-0.06842916141733746,2.3396628848779786,0.15592559987158922,1.4612026357890744
2880,2015_2020,1468,0.4650425573918442,-0.2279381623159934,0.655624594751789,0.10918849755097543,13.703316201390795
2880,2021_2022,490,0.26037118402732373,-0.1802357677817642,0.9529014018766708,0.1346908478290368,4.850168071841539
2880,2023_2025,722,0.5202579490881343,-0.16284704650510007,1.184714168251885,0.13089533080701155,6.925444735325867
2880,2026,152,0.2159007285915906,-0.0700687941174396,2.2630858282753636,0.149109894938658,1.387586271712148
2881,2015_2020,1468,0.5108978199383265,-0.21253765444824113,0.728737079981433,0.10486685763929747,14.367413570843143
2881,2021_2022,490,0.2302132742656997,-0.16872575418301106,0.9032386643864495,0.12718908551256375,5.011539960733213
2881,2023_2025,722,0.46515842515862116,-0.15373647724159156,1.1108943562718214,0.127582787469753,7.211149119030415
2881,2026,152,0.20479639745855271,-0.07070997095188991,2.1790253572815343,0.14773410782213933,1.4664236742079646
2882,2015_2020,1468,0.5080047637652974,-0.21411647359430186,0.7246746103195347,0.10502011995562509,14.300290128463029
2882,2021_2022,490,0.2798107269779291,-0.16075500219061,1.0572442011569148,0.12803677436074395,4.963822618936007
2882,2023_2025,722,0.4887430980053662,-0.14030071003814548,1.169869739265146,0.1257229663870818,7.2098242032960815
2882,2026,152,0.20553528695484613,-0.06717415706955265,2.3169940227932337,0.1388330589709824,1.463842977872452
2884,2015_2020,1468,0.42777581337906834,-0.22658515918420152,0.6178866231577508,0.10858534779837019,13.778508802607531
2884,2021_2022,490,0.2634005191199904,-0.17134336100035286,0.9713003172221428,0.13320976607178775,4.821795493287761
2884,2023_2025,722,0.5286502119508518,-0.15763154614630004,1.1936347706730253,0.13160943029511618,6.950798811879594
2884,2026,152,0.22488698559561948,-0.0688160210702029,2.3178301589527384,0.15101843907454085,1.364654945554146
2885,2015_2020,1468,0.4505010465838988,-0.2171317203166172,0.6516336985199769,0.10683284422081187,13.778007580946934
2885,2021_2022,490,0.26055438789539265,-0.1769700269287161,0.9678208420785813,0.13237198891972948,4.809983149863044
2885,2023_2025,722,0.504383260064994,-0.1486801028412632,1.174788957972636,0.12862147042919814,6.941605101708802
2885,2026,152,0.19690372948584378,-0.06815158637761143,2.1395781201625796,0.14514620184105984,1.4033347390815565
2886,2015_2020,1468,0.44747119312625205,-0.22615434003686707,0.6381124812424043,0.10888333263262193,13.767219316797165
2886,2021_2022,490,0.27277170490413893,-0.16886192429459201,0.9936134269809579,0.13418557082777657,4.797400206412627
2886,2023_2025,722,0.5294656942264115,-0.15675681818571818,1.1990408409618791,0.13111614248460543,7.0340004953239905
2886,2026,152,0.2195881975426206,-0.07160680666584662,2.2729418578135907,0.1507992893843972,1.3688945669939967
2890,2015_2020,1468,0.4795717457718469,-0.22094391968796423,0.6758460443451887,0.10828465736878604,13.65231244541792
2890,2021_2022,490,0.24902381843658317,-0.18192542982623472,0.9238300888647547,0.1337440777315171,4.834308787611254
2890,2023_2025,722,0.49961610785884103,-0.1530823931483669,1.1508143168059854,0.13055774056033465,6.90361134982958
2890,2026,152,0.2132760761737338,-0.07042797363540532,2.255369965458432,0.14794344955212047,1.3887146993649289
2891,2015_2020,1468,0.4801554382845925,-0.22145773612170494,0.6813079641123307,0.10736586071723303,13.67638445504101
2891,2021_2022,490,0.26283952475069183,-0.1702778672360813,0.9755754936092955,0.1322629480833803,4.835727390628356
2891,2023_2025,722,0.4672028008942475,-0.1550736940352846,1.102725876139678,0.12915920092100713,6.953713904257661
2891,2026,152,0.20765598329524337,-0.06962810405434139,2.230139388781828,0.14601068884183385,1.3973890362434576
2892,2015_2020,1468,0.45827711478734057,-0.2335269267381499,0.6450511901579535,0.10985895225089976,13.791235196658345
2892,2021_2022,490,0.2629850687554607,-0.17875188005166465,0.9575779789146399,0.1352223410406987,4.822880338670101
2892,2023_2025,722,0.5286644042863777,-0.160202151313229,1.18841017370298,0.13226285902467835,6.968482210917047
2892,2026,152,0.22454695098998823,-0.07184873651286217,2.2900100938661376,0.15276520157630089,1.4253038078064213
5880,2015_2020,1468,0.4557496807762902,-0.23207220303515064,0.6402914912932003,0.11028190279048922,13.780582860946849
5880,2021_2022,490,0.2557768566706573,-0.17587808487115864,0.94396843217622,0.13385184369799785,4.788856925483518
5880,2023_2025,722,0.5433832686576914,-0.16119261119776074,1.212081449905417,0.13246722991317442,6.900008794774122
5880,2026,152,0.23613698338507194,-0.07262424194970152,2.350482807500001,0.15572413048079822,1.403169124072054
