period,ret_diff,mdd_diff,sharpe_diff
2021_2022,2.220446049250313e-16,-5.551115123125783e-17,1.6653345369377348e-15
2023_2025,1.5543122344752192e-15,3.3306690738754696e-16,2.4424906541753444e-15
2026,4.440892098500626e-16,-8.326672684688674e-17,1.199040866595169e-14
