period,n,block,p_ret_gt,p_mdd_better,p_sharpe_gt,median_excess_ret,median_mdd_improvement,median_sharpe_improvement
2015_2020,1468,21,0.221,0.936,0.57,-0.08120115970322384,0.026136141623124443,0.017998835689664955
2015_2020,1468,63,0.191,0.899,0.525,-0.08743206134801218,0.025129807720261188,0.007245199048515394
2021_2022,490,21,0.385,0.893,0.651,-0.020641894119051596,0.020995285858928958,0.0717483634651995
2021_2022,490,63,0.28,0.953,0.606,-0.02950879386892813,0.01989639035342322,0.035062324701097713
2023_2025,722,21,0.57,0.92,0.853,0.015394670753115403,0.010939449801518286,0.13428011512331525
2023_2025,722,63,0.593,0.922,0.891,0.01972676558465991,0.011326453476018572,0.14008520999925764
2026,152,21,0.117,0.974,0.716,-0.04369694980407668,0.009675867934766547,0.1477937615088094
2026,152,63,0.039,0.97,0.785,-0.04747168359855902,0.004567650103116494,0.21271921423637474
