extra_delay_days,cost_multiple,slippage_bps,period,n,ret,mdd,sharpe,vol,turnover
0,1,0,2015_2020,1468,0.47004479710056213,-0.224476628583257,0.6664618453683302,0.10811554482912189,13.95897539932599
0,1,0,2021_2022,490,0.2620730294937299,-0.17510362625025055,0.969341780645748,0.13287390904616794,4.88437123204319
0,1,0,2023_2025,722,0.5131376746924401,-0.15538322377833957,1.1769972600398224,0.1302906226093965,7.041880401374954
0,1,0,2026,152,0.21702169614861155,-0.07015605387966428,2.272938044542713,0.14914233763032755,1.412929037477077
0,1,10,2015_2020,1468,0.44962901873963257,-0.2261514556294857,0.6440061186598187,0.10816205420529766,13.95897539932599
0,1,10,2021_2022,490,0.25591278710081355,-0.17618329969084934,0.9501022156449196,0.13291531188065758,4.88437123204319
0,1,10,2023_2025,722,0.5025657758779094,-0.1568366885227408,1.1587971726962834,0.13021300847422068,7.041880401374954
0,1,10,2026,152,0.21530685480301703,-0.07035984630695513,2.2573020272437825,0.14913081564245395,1.412929037477077
0,1,25,2015_2020,1468,0.4195303543404114,-0.22865728722910728,0.6103273709762697,0.10823737661014572,13.95897539932599
0,1,25,2021_2022,490,0.2467272285649207,-0.17780037078308597,0.9212351598145226,0.13298177135116818,4.88437123204319
0,1,25,2023_2025,722,0.4868431593348306,-0.15901259204059892,1.1314103338362629,0.13010187554253122,7.041880401374954
0,1,25,2026,152,0.21273876443720785,-0.0706655002298584,2.2337976792012535,0.1491165893890051,1.412929037477077
0,2,0,2015_2020,1468,0.4223969927770994,-0.22869318840303898,0.613443296972779,0.10825609032889881,13.95897539932599
0,2,0,2021_2022,490,0.24749842515987042,-0.17773018897260273,0.9234400642555076,0.1330143838474466,4.88437123204319
0,2,0,2023_2025,722,0.4885722561517474,-0.15878465458417523,1.1354943729035962,0.12997868605084015,7.041880401374954
0,2,0,2026,152,0.2126973853607479,-0.07094157179330873,2.233181390891143,0.14913331183453363,1.412929037477077
0,2,10,2015_2020,1468,0.40263587633079023,-0.23035942647995078,0.5909992045571525,0.10830998023409327,13.95897539932599
0,2,10,2021_2022,490,0.24140731368427248,-0.17880669696443685,0.9041960922660575,0.133061526046019,4.88437123204319
0,2,10,2023_2025,722,0.47816764946445334,-0.16023284940578908,1.117161060334425,0.12990859779229205,7.041880401374954
0,2,10,2026,152,0.2109881139868659,-0.07114529284380844,2.217474358129845,0.14912629531010987,1.412929037477077
0,2,25,2015_2020,1468,0.3735025502500857,-0.23285240557746756,0.5573464381838431,0.10839635246190278,13.95897539932599
0,2,25,2021_2022,490,0.23232485405064995,-0.18041902645642616,0.8753271332701419,0.133136582341,4.88437123204319
