rule,mean_overlay_scale,pct_days_scale_lt_1,full_cagr,full_mdd,val_cagr,val_mdd,sealed_cagr,sealed_mdd
STATIC,1.0,0.0,0.20427314905710503,-0.23956556438539944,0.12869720679297791,-0.23956556438539944,0.29290557954556373,-0.1349979732865365
TRAIL_3M_HALVE,0.9195029713668288,0.16099405726634253,0.20427314905710503,-0.24061845934990234,0.12869720679297791,-0.2318430842004332,0.29290557954556373,-0.24061845934990234
TRAIL_3M_ZERO,0.8390059427336575,0.16099405726634253,0.20427314905710503,-0.3768058601072899,0.12869720679297791,-0.2773431197539309,0.29290557954556373,-0.3768058601072899
COMBINED_DD15_CUT,0.7450027012425716,0.25499729875742844,0.20427314905710503,-0.3655836454914523,0.06041737081650944,-0.3655836454914523,0.3856992000543935,-0.13499797328653662
