ym,excess,ovl,px,n,lose
2025-09,-0.07915166594628775,0.018069248039070396,0.09722091398535815,21,True
2021-05,-0.07434765738346483,-0.09608426995141162,-0.02173661256794679,21,True
2020-07,-0.0666404532741024,0.07921267420793243,0.14585312748203483,23,True
2024-06,-0.05991816343938339,0.05845182740821464,0.11836999084759803,19,True
2024-10,-0.057053404177655365,-0.013729791469996533,0.04332361270765883,19,True
2019-10,-0.04631737483839704,0.01727927773818927,0.06359665257658631,21,True
2026-05,-0.044103033146494997,0.11204841350060268,0.15615144664709768,19,True
2020-09,-0.03953658806840732,-0.026761201200421025,0.012775386867986294,22,True
