date,core_idx,ovl_idx,scale_static,nav_rb_static,scale_trail_3m_halve,nav_rb_trail_3m_halve,scale_trail_3m_zero,nav_rb_trail_3m_zero,scale_combined_dd15_cut,nav_rb_combined_dd15_cut
2019-01-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-03,1.002502975906129,0.9980786985053768,1.0,1.0016181204259786,1.0,1.0016181204259786,1.0,1.0016181204259786,1.0,1.0016181204259786
2019-01-04,0.9991679965797756,0.9624227421687288,1.0,0.9918189456975662,1.0,0.9918189456975662,1.0,0.9918189456975662,1.0,0.9918189456975662
2019-01-07,1.0154987012795385,1.004106939217765,1.0,1.0132203488671838,1.0,1.0132203488671838,1.0,1.0132203488671838,1.0,1.0132203488671838
2019-01-08,1.0093612183562093,1.0032145593630934,1.0,1.0081318865575861,1.0,1.0081318865575861,1.0,1.0081318865575861,1.0,1.0081318865575861
2019-01-09,1.0206113318917278,1.0194733452455775,1.0,1.0203837345624978,1.0,1.0203837345624978,1.0,1.0203837345624978,1.0,1.0203837345624978
2019-01-10,1.0214614389267345,1.0190017574406975,1.0,1.0209695026295271,1.0,1.0209695026295271,1.0,1.0209695026295271,1.0,1.0209695026295271
2019-01-11,1.0223872795324125,1.019372373297362,1.0,1.0217842982854024,1.0,1.0217842982854024,1.0,1.0217842982854024,1.0,1.0217842982854024
2019-01-14,1.021702702360305,1.021246685910291,1.0,1.0216114990703022,1.0,1.0216114990703022,1.0,1.0216114990703022,1.0,1.0216114990703022
2019-01-15,1.0264792185969784,1.024587824934435,1.0,1.0261009398644698,1.0,1.0261009398644698,1.0,1.0261009398644698,1.0,1.0261009398644698
2019-01-16,1.0206842337596933,1.038544135618085,1.0,1.0242562141313716,1.0,1.0242562141313716,1.0,1.0242562141313716,1.0,1.0242562141313716
2019-01-17,1.0246372854836445,1.0358066309023592,1.0,1.0268711545673874,1.0,1.0268711545673874,1.0,1.0268711545673874,1.0,1.0268711545673874
2019-01-18,1.0306097064093134,1.036561465769752,1.0,1.031800058281401,1.0,1.031800058281401,1.0,1.031800058281401,1.0,1.031800058281401
2019-01-21,1.0288874197669597,1.0418852039141853,1.0,1.031486976596405,1.0,1.031486976596405,1.0,1.031486976596405,1.0,1.031486976596405
2019-01-22,1.032888304174167,1.0382723926191697,1.0,1.0339651218631676,1.0,1.0339651218631676,1.0,1.0339651218631676,1.0,1.0339651218631676
2019-01-23,1.034621091151853,1.0302203468318811,1.0,1.0337409422878587,1.0,1.0337409422878587,1.0,1.0337409422878587,1.0,1.0337409422878587
2019-01-24,1.0362317681643496,1.0311211307829604,1.0,1.0352096406880718,1.0,1.0352096406880718,1.0,1.0352096406880718,1.0,1.0352096406880718
2019-01-25,1.0403523015975922,1.039679287752436,1.0,1.040217698828561,1.0,1.040217698828561,1.0,1.040217698828561,1.0,1.040217698828561
2019-01-28,1.0390962158467114,1.0428296511997814,1.0,1.0398429029173255,1.0,1.0398429029173255,1.0,1.0398429029173255,1.0,1.0398429029173255
2019-01-29,1.040322236930618,1.0397864057297854,1.0,1.0402150706904516,1.0,1.0402150706904516,1.0,1.0402150706904516,1.0,1.0402150706904516
2019-01-30,1.0411453467212581,1.0438982631799505,1.0,1.0416959300129967,1.0,1.0416959300129967,1.0,1.0416959300129967,1.0,1.0416959300129967
2019-02-11,1.0387212180571141,1.0578648009334422,1.0,1.0425499346323799,1.0,1.0425499346323799,1.0,1.0425499346323799,1.0,1.0425499346323799
2019-02-12,1.0422806561432731,1.05381515217385,1.0,1.0445875553493886,1.0,1.0445875553493886,1.0,1.0445875553493886,1.0,1.0445875553493886
2019-02-13,1.0373055663155875,1.0634016053144144,1.0,1.042524774115353,1.0,1.042524774115353,1.0,1.042524774115353,1.0,1.042524774115353
