date,nav_share_1,nav_board_lot_1000
2012-12-04,3000000.0,3000000.0
2012-12-05,3005661.9052330507,3004346.074002625
2012-12-06,3004637.5571767353,3003888.23254025
2012-12-07,3005129.4742792607,3004130.255535125
2012-12-10,2984929.697590946,2985921.5330448747
2012-12-11,2989095.530843341,2988992.56218825
2012-12-12,3021203.9998724367,3017852.99705
2012-12-13,3032286.6498724367,3029084.073561625
2012-12-14,3028709.6498724367,3027360.067220125
2012-12-17,3010944.3998724367,3010010.067220125
2012-12-18,3015709.229808702,3013341.075960375
2012-12-19,3025633.229808702,3023541.075960375
2012-12-20,2990994.0298087024,2991891.075960375
2012-12-21,2953048.229808702,2956791.075960375
2012-12-22,2959565.9798087026,2962641.075960375
2012-12-24,2962918.7798087024,2966091.075960375
2012-12-25,2997272.9298087023,2997641.075960375
2012-12-26,2984187.329808702,2984441.075960375
2012-12-27,2990231.329808702,2990741.075960375
2012-12-28,3010781.3176259096,3008322.4235575
2013-01-02,3039526.611818147,3038072.4235575
2013-01-03,3049647.661818147,3049822.4235575
2013-01-04,3022345.9118181467,3021622.4235575
2013-01-07,3009755.111818147,3008672.4235575
2013-01-08,3010306.411818147,3007622.4235575
2013-01-09,3006132.8118181466,3004772.4235575
2013-01-10,3048712.1618181467,3045422.4235575
2013-01-11,3050115.261818147,3047572.4235575
2013-01-14,3049536.6618181467,3046122.4235575
2013-01-15,3036499.911818147,3034172.4235575
2013-01-16,3015864.811818147,3014272.4235575
2013-01-17,2995458.611818147,2995072.4235575
2013-01-18,3023616.6618181467,3020222.4235575
2013-01-21,3019687.1618181467,3016922.4235575
2013-01-22,3033840.5910333255,3029653.70338325
2013-01-23,3030558.73620792,3025534.779894875
2013-01-24,3010087.502604444,3006434.779894875
2013-01-25,2999924.102604444,2995384.779894875
2013-01-28,3034541.252604444,3029858.366201625
2013-01-29,3054511.7526044436,3049058.366201625
2013-01-30,3058035.2026044438,3052858.366201625
2013-01-31,3082630.552604444,3075258.366201625
2013-02-01,3089401.9526044438,3082458.366201625
2013-02-04,3179575.402604444,3168158.366201625
2013-02-05,3163994.352604444,3155508.366201625
2013-02-06,3182403.902604444,3174158.366201625
2013-02-18,3186715.902604444,3182158.366201625
2013-02-19,3174343.302604444,3171808.366201625
2013-02-20,3220034.802604444,3216208.366201625
2013-02-21,3177377.552604444,3175808.366201625
2013-02-22,3174107.502604444,3173558.366201625
2013-02-23,3199965.302604444,3197558.366201625
2013-02-25,3171472.2026044438,3171358.366201625
2013-02-26,3158699.0026044436,3158158.366201625
2013-02-27,3154612.852604444,3153958.366201625
2013-03-01,3175513.002604444,3173008.366201625
2013-03-04,3125834.2026044438,3123258.366201625
2013-03-05,3154621.0526044443,3150408.366201625
2013-03-06,3150525.352604444,3146508.366201625
2013-03-07,3155842.652604444,3151308.366201625
2013-03-08,3206066.052604444,3200108.366201625
2013-03-11,3200670.752604444,3194908.366201625
2013-03-12,3174351.2026044438,3170908.366201625
2013-03-13,3173349.552604444,3169158.366201625
