mix,w_core,w_overlay,full_cagr,full_mdd,val_cagr,val_mdd,sealed_cagr,sealed_mdd
CORE_100,1.0,0.0,0.17223004452942559,-0.22639131293777337,0.12330755797580628,-0.22639131293777337,0.2270870403661951,-0.144568509835741
CORE_90_OVL_10,0.9,0.1,0.18893551933238806,-0.23289681903936,0.12601164694594247,-0.23289681903936,0.26133311826596195,-0.11037315082953592
CORE_80_OVL_20,0.8,0.2,0.20427314905710503,-0.23956556438539944,0.12869720679297791,-0.23956556438539944,0.29290557954556373,-0.1349979732865365
CORE_70_OVL_30,0.7,0.3,0.21846382651454133,-0.24640377115564627,0.13136453291632866,-0.24640377115564627,0.32220106076201094,-0.15897107958754209
