book,window_start,window_end,mdd_improve_pp,cagr_giveback_pp,score,chal_cagr,base_cagr,chal_mdd,base_mdd
BLEND_E45_A05,2017-01-01,2020-12-31,0.7024106199616909,-0.13337050692607821,0.6357253664986517,0.11014343329570009,0.1088097282264393,-0.21840933817863817,-0.22543344437825508
FIN_ONLY_A10,2017-01-01,2020-12-31,0.9119746801036444,-0.04662051933486122,0.8886644204362137,0.10927593341978792,0.1088097282264393,-0.21631369757721863,-0.22543344437825508
BLEND_E45_A05,2018-01-01,2021-12-31,0.7024106199616797,0.12798896469010668,0.6384161376166264,0.12820400058385673,0.1294838902307578,-0.21840933817863828,-0.22543344437825508
FIN_ONLY_A10,2018-01-01,2021-12-31,0.9119746801036444,0.3057398510689868,0.7591047545691509,0.12642649172006792,0.1294838902307578,-0.21631369757721863,-0.22543344437825508
BLEND_E45_A05,2019-01-01,2022-12-31,0.702410619961702,0.5752504763565813,0.4147853817834113,0.11728002355878164,0.12303252832234746,-0.21840933817863817,-0.2254334443782552
FIN_ONLY_A10,2019-01-01,2022-12-31,0.9119746801036444,0.7938237120207248,0.515062824093282,0.11509429120214021,0.12303252832234746,-0.21631369757721874,-0.2254334443782552
BLEND_E45_A05,2020-01-01,2023-12-31,0.7024106199616909,-0.4433691119291039,0.4807260639971389,0.07983459117661695,0.07540090005732591,-0.21840933817863828,-0.2254334443782552
FIN_ONLY_A10,2020-01-01,2023-12-31,0.9119746801036666,-0.61857705382935,0.6026861531889915,0.08158667059561941,0.07540090005732591,-0.21631369757721852,-0.2254334443782552
BLEND_E45_A05,2021-01-01,2024-12-31,-1.4865418444504286,0.33361015775601466,-1.653346923328436,0.1372914305475823,0.14062753212514245,-0.1837645767344246,-0.1688991582899203
FIN_ONLY_A10,2021-01-01,2024-12-31,-1.668052415445298,0.3567872572591613,-1.8464460440748787,0.13705965955255084,0.14062753212514245,-0.18557968244437328,-0.1688991582899203
BLEND_E45_A05,2023-01-01,2026-09-04,2.7784750941674097,1.4195835045774485,2.0686833418786854,0.2346963910554447,0.2488922261012192,-0.11308673030842753,-0.14087148125010163
FIN_ONLY_A10,2023-01-01,2026-09-04,3.4184805927018114,1.8016299024675497,2.5176656414680365,0.2308759270765437,0.2488922261012192,-0.10668667532308351,-0.14087148125010163
