book,year,mdd_help_pp,ret_delta_pp,is_2020
BLEND_E45_A05,2015,-0.0757229701511597,-0.32959528861519205,False
BLEND_E45_A05,2018,0.062216719367691464,-0.6876705440417963,False
BLEND_E45_A05,2020,0.7024106199616797,0.8716645808913737,True
BLEND_E45_A05,2022,-1.4865418444504508,-2.1695898988744133,False
BLEND_E45_A25,2015,0.2083991433301846,-0.7662976896826601,False
BLEND_E45_A25,2018,0.45041928379577767,-1.4533188801746144,False
BLEND_E45_A25,2020,0.4519062135161733,1.1086778820316057,True
BLEND_E45_A25,2022,-1.0163447171278261,-2.4201497071502986,False
CHAL_E45_E3,2015,0.8332860642873197,-0.7065692302053339,False
CHAL_E45_E3,2018,0.8262411823406035,-1.5618956987209387,False
CHAL_E45_E3,2020,1.7098029519699076,-1.436977190827693,True
CHAL_E45_E3,2022,0.5144346847085646,-1.6361827589868483,False
FIN_ONLY_A10,2015,-0.06311787655726153,-0.44427337948460544,False
FIN_ONLY_A10,2018,0.17105472034134594,-0.9424863058403732,False
FIN_ONLY_A10,2020,0.9119746801036444,1.1007477123893605,True
FIN_ONLY_A10,2022,-1.6680524154453091,-2.619078945979325,False
HIGH_BETA_A10,2015,-0.06442725926544268,-0.44751726922711565,False
HIGH_BETA_A10,2018,0.19134880961440004,-0.9459199998711476,False
HIGH_BETA_A10,2020,0.8695227031677466,0.9179757389276233,True
HIGH_BETA_A10,2022,-1.6755808074191747,-2.705592299736903,False
