book,mdd_help_2020_pp,mdd_help_non2020_positive_pp,share_of_positive_help_in_2020,n_crisis_years_helped_gt_0_25pp,years_helped
ALL_A05,0.7024106199616797,0.062216719367691464,0.9186313172868503,1,[2020]
ALL_A25,0.4519062135161733,0.6588184271259623,0.4068571065956688,2,"[2018, 2020]"
FIN_ONLY_A10,0.9119746801036444,0.17105472034134594,0.8420590241861728,1,[2020]
FULL_E45,1.7098029519699076,2.1739619313364877,0.4402436819281109,4,"[2015, 2018, 2020, 2022]"
HIGH_BETA_A10,0.8695227031677466,0.19134880961440004,0.8196305515711457,1,[2020]
