book,window_start,window_end,cagr,max_drawdown,utility,vol,n_days
BASE_E16_E18_E22_v2s_C1x,2017-01-01,2020-12-31,0.1088097282264393,-0.22543344437825508,-0.003906993962688232,0.11316493396715344,980
ALL_A05,2017-01-01,2020-12-31,0.11014343329570009,-0.21840933817863817,0.0009387642063810042,0.11110630711783272,980
FIN_ONLY_A10,2017-01-01,2020-12-31,0.10927593341978792,-0.21631369757721863,0.0011190846311786018,0.1100897665071623,980
BASE_E16_E18_E22_v2s_C1x,2018-01-01,2021-12-31,0.1294838902307578,-0.22543344437825508,0.016767168041630254,0.12118220086347455,978
ALL_A05,2018-01-01,2021-12-31,0.12820400058385673,-0.21840933817863828,0.018999331494537586,0.11868482062760208,978
FIN_ONLY_A10,2018-01-01,2021-12-31,0.12642649172006792,-0.21631369757721863,0.018269642931458607,0.11757993756993045,978
BASE_E16_E18_E22_v2s_C1x,2019-01-01,2022-12-31,0.12303252832234746,-0.2254334443782552,0.010315806133219863,0.13563392852620926,977
ALL_A05,2019-01-01,2022-12-31,0.11728002355878164,-0.21840933817863817,0.008075354469462559,0.13297288345496505,977
FIN_ONLY_A10,2019-01-01,2022-12-31,0.11509429120214021,-0.21631369757721874,0.006937442413530837,0.13180022933802157,977
BASE_E16_E18_E22_v2s_C1x,2020-01-01,2023-12-31,0.07540090005732591,-0.2254334443782552,-0.03731582213180168,0.13930746205568265,973
ALL_A05,2020-01-01,2023-12-31,0.07983459117661695,-0.21840933817863828,-0.029370077912702186,0.13678051361669105,973
FIN_ONLY_A10,2020-01-01,2023-12-31,0.08158667059561941,-0.21631369757721852,-0.026570178192989846,0.13574124340111313,973
BASE_E16_E18_E22_v2s_C1x,2021-01-01,2024-12-31,0.14062753212514245,-0.1688991582899203,0.0561779529801823,0.13598828349635514,970
ALL_A05,2021-01-01,2024-12-31,0.1372914305475823,-0.1837645767344246,0.04540914218037001,0.1324684908249097,970
FIN_ONLY_A10,2021-01-01,2024-12-31,0.13705965955255084,-0.18557968244437328,0.0442698183303642,0.13145161038709274,970
BASE_E16_E18_E22_v2s_C1x,2023-01-01,2026-09-04,0.2488922261012192,-0.14087148125010163,0.17845648547616838,0.16567513128978922,879
ALL_A05,2023-01-01,2026-09-04,0.2346963910554447,-0.11308673030842753,0.17815302590123094,0.15541388862284303,879
FIN_ONLY_A10,2023-01-01,2026-09-04,0.2308759270765437,-0.10668667532308351,0.17753258941500194,0.152890780851977,879
