book,alpha,sleeves,window,mdd_improve_pp,cagr_giveback_pp,score,chal_cagr,chal_mdd,ann_turnover_approx
ALL_A05,0.05,ALL,heldout_2019_plus,0.702410619961702,0.9603207511210909,0.22225024440115648,0.1724320147835161,-0.21840933817863817,1.116638867111272
ALL_A05,0.05,ALL,sealed_2023_plus,2.7784750941674097,1.4195835045774485,2.0686833418786854,0.2346963910554447,-0.11308673030842753,1.116638867111272
ALL_A05,0.05,ALL,full,0.7024106199616909,0.42342237927519566,0.490699430324093,0.13365973293663336,-0.21840933817863817,1.116638867111272
FIN_ONLY_A05,0.05,Financial,heldout_2019_plus,0.6421180471372079,0.7617617615311323,0.26123716637164174,0.1744176046794157,-0.2190122639068831,1.1085022957334516
FIN_ONLY_A05,0.05,Financial,sealed_2023_plus,2.3595688541433346,1.1396887202211659,1.7897244940327517,0.23749533889900754,-0.11727579270866828,1.1085022957334516
FIN_ONLY_A05,0.05,Financial,full,0.6421180471372079,0.33598221150605845,0.47412694138417866,0.13453413461432473,-0.219012263906883,1.1085022957334516
FIN_ONLY_A08,0.08,Financial,heldout_2019_plus,0.7612498742002094,1.148093136192263,0.18720330610407787,0.1705542909328044,-0.2178209456362531,1.1210772595980023
FIN_ONLY_A08,0.08,Financial,sealed_2023_plus,3.184994208290104,1.6822939152400407,2.3438472506700836,0.2320692869488188,-0.10902153916720059,1.1210772595980023
FIN_ONLY_A08,0.08,Financial,full,0.7612498742001983,0.5227360547670479,0.49988184681667436,0.13266659618171484,-0.2178209456362531,1.1210772595980023
FIN_ONLY_A10,0.1,Financial,heldout_2019_plus,0.9119746801036444,1.253015844704719,0.2854667577512848,0.16950506384767983,-0.21631369757721874,1.132970266178506
FIN_ONLY_A10,0.1,Financial,sealed_2023_plus,3.4184805927018114,1.8016299024675497,2.5176656414680365,0.2308759270765437,-0.10668667532308351,1.132970266178506
FIN_ONLY_A10,0.1,Financial,full,0.9119746801036444,0.5604244367688915,0.6317624617191986,0.1322897123616964,-0.21631369757721863,1.132970266178506
HIGH_BETA_A05,0.05,"0050,Financial",heldout_2019_plus,0.6596669796110177,0.8521528111249177,0.23359057404855887,0.17351369418347784,-0.218836774582145,1.1100763964664704
HIGH_BETA_A05,0.05,"0050,Financial",sealed_2023_plus,2.581359990388288,1.2725197539510846,1.9451001134127455,0.23616702856170835,-0.11505788134621875,1.1100763964664704
HIGH_BETA_A05,0.05,"0050,Financial",full,0.6596669796109955,0.37815557596638794,0.47058919162780155,0.13411240096972143,-0.21883677458214512,1.1100763964664704
HIGH_BETA_A08,0.08,"0050,Financial",heldout_2019_plus,0.796927138244774,1.170784235577682,0.21153502045593298,0.1703273799389502,-0.21746417299580745,1.12402025252401
HIGH_BETA_A08,0.08,"0050,Financial",sealed_2023_plus,3.304425657287746,1.6837493267633619,2.4625509939060652,0.23205473283358558,-0.10782722467722416,1.12402025252401
HIGH_BETA_A08,0.08,"0050,Financial",full,0.7969271382447629,0.5284101929540652,0.5327220417677303,0.13260985479984466,-0.21746417299580745,1.12402025252401
HIGH_BETA_A10,0.1,"0050,Financial",heldout_2019_plus,0.8695227031677577,1.3390130228447372,0.2000161917453891,0.16864509206627964,-0.2167382173465776,1.1323685022422876
HIGH_BETA_A10,0.1,"0050,Financial",sealed_2023_plus,3.4788329119491923,1.8863646500538733,2.5356505869222556,0.23002857960068046,-0.1060831521306097,1.1323685022422876
HIGH_BETA_A10,0.1,"0050,Financial",full,0.8695227031677577,0.597385095466163,0.5708301554346762,0.13192010577472368,-0.2167382173465775,1.1323685022422876
HIGH_BETA_A15,0.15,"0050,Financial",heldout_2019_plus,0.7010795953679372,1.7947555173134955,-0.19629816328881056,0.16408766712159206,-0.21842264842457582,1.1479249583259916
HIGH_BETA_A15,0.15,"0050,Financial",sealed_2023_plus,3.978080170635334,2.5611164122558483,2.69752196450741,0.2232810619786607,-0.10109067954374829,1.1479249583259916
HIGH_BETA_A15,0.15,"0050,Financial",full,0.7010795953679261,0.8430677686542376,0.2795457110408073,0.12946327904284294,-0.21842264842457582,1.1479249583259916
