book,family,cost_multiple,window,mdd_improve_pp,cagr_giveback_pp,score,chal_cagr,base_cagr,chal_mdd,base_mdd,ann_turnover_approx,n_fills
ALL_A05,ALL_A05,1.0,heldout_2019_plus,0.702410619961702,0.9603207511210909,0.22225024440115648,0.1724320147835161,0.18203522229472702,-0.21840933817863817,-0.2254334443782552,1.116638867111272,6175
ALL_A05,ALL_A05,1.0,sealed_2023_plus,2.7784750941674097,1.4195835045774485,2.0686833418786854,0.2346963910554447,0.2488922261012192,-0.11308673030842753,-0.14087148125010163,1.116638867111272,6175
ALL_A05,ALL_A05,1.0,full,0.7024106199616909,0.42342237927519566,0.490699430324093,0.13365973293663336,0.13789395672938531,-0.21840933817863817,-0.22543344437825508,1.116638867111272,6175
FIN_ONLY_A10,FIN_ONLY_A10,1.0,heldout_2019_plus,0.9119746801036444,1.253015844704719,0.2854667577512848,0.16950506384767983,0.18203522229472702,-0.21631369757721874,-0.2254334443782552,1.132970266178506,6231
FIN_ONLY_A10,FIN_ONLY_A10,1.0,sealed_2023_plus,3.4184805927018114,1.8016299024675497,2.5176656414680365,0.2308759270765437,0.2488922261012192,-0.10668667532308351,-0.14087148125010163,1.132970266178506,6231
FIN_ONLY_A10,FIN_ONLY_A10,1.0,full,0.9119746801036444,0.5604244367688915,0.6317624617191986,0.1322897123616964,0.13789395672938531,-0.21631369757721863,-0.22543344437825508,1.132970266178506,6231
ALL_A05_C2x,ALL_A05,2.0,heldout_2019_plus,0.7366110395178094,0.9660298204434037,0.25359612929610753,0.1666225186261947,0.17628281683062874,-0.2195895397377089,-0.226955650132887,1.112837240020331,6158
ALL_A05_C2x,ALL_A05,2.0,sealed_2023_plus,2.6803988168110915,1.4227910337783145,1.9690032999219342,0.227777228692859,0.24200513903064214,-0.11765085965436062,-0.14445484782247153,1.112837240020331,6158
ALL_A05_C2x,ALL_A05,2.0,full,0.7366110395178094,0.4272517314494628,0.522985173793078,0.12747059071537215,0.13174310802986677,-0.219589539737709,-0.2269556501328871,1.112837240020331,6158
FIN_ONLY_A10_C2x,FIN_ONLY_A10,2.0,heldout_2019_plus,0.964108002428965,1.2892893769133718,0.3194633139722791,0.16338992306149502,0.17628281683062874,-0.21731457010859734,-0.226955650132887,1.1291946017939702,6176
FIN_ONLY_A10_C2x,FIN_ONLY_A10,2.0,sealed_2023_plus,3.3986440938879703,1.8670326458963604,2.46512777093979,0.22333481257167853,0.24200513903064214,-0.11046840688359183,-0.14445484782247153,1.1291946017939702,6176
FIN_ONLY_A10_C2x,FIN_ONLY_A10,2.0,full,0.9641080024289872,0.5875981457069024,0.670308929575536,0.12586712657279775,0.13174310802986677,-0.21731457010859723,-0.2269556501328871,1.1291946017939702,6176
ALL_A05_C3x,ALL_A05,3.0,heldout_2019_plus,0.7562688169570397,0.9925323484194726,0.26000264274730345,0.1608044517377505,0.1707297752219452,-0.22125479241404267,-0.22881748058361306,1.107796398691623,6132
ALL_A05_C3x,ALL_A05,3.0,sealed_2023_plus,2.7724925625807972,1.4821151785098463,2.031434973325874,0.2201710095388436,0.23499216132394207,-0.12199725724913768,-0.14972218287494565,1.107796398691623,6132
ALL_A05_C3x,ALL_A05,3.0,full,0.7562688169570397,0.45254457992529584,0.5299965269943918,0.12127825872562359,0.12580370452487655,-0.22125479241404278,-0.22881748058361318,1.107796398691623,6132
FIN_ONLY_A10_C3x,FIN_ONLY_A10,3.0,heldout_2019_plus,1.0328273999026583,1.3355416084149585,0.365056595695179,0.15737435913779563,0.1707297752219452,-0.21848920658458648,-0.22881748058361306,1.1278960143419867,6187
FIN_ONLY_A10_C3x,FIN_ONLY_A10,3.0,sealed_2023_plus,3.5611869258790785,1.8887937221058415,2.6167900648261577,0.21610422410288366,0.23499216132394207,-0.11411031361615487,-0.14972218287494565,1.1278960143419867,6187
FIN_ONLY_A10_C3x,FIN_ONLY_A10,3.0,full,1.0328273999026694,0.6258234020694031,0.7199156988679678,0.11954547050418252,0.12580370452487655,-0.21848920658458648,-0.22881748058361318,1.1278960143419867,6187
