ym,year,long_ret,ew_ret,turnover_one_way,n,k,excess_gross,ym
2025-01,2025,0.03885417959322602,0.05520270855922537,1.0,1209,241,-0.01634852896599935,2025-01
2025-02,2025,-0.12238505990462316,-0.10270524428092014,0.1074380165289256,1210,242,-0.019679815623703023,2025-02
2025-03,2025,-0.05054296671200219,-0.04688014937849422,0.0950413223140496,1211,242,-0.00366281733350797,2025-03
2025-04,2025,0.05927420157042772,0.03843258237931706,0.5082644628099173,1210,242,0.02084161919111066,2025-04
2025-05,2025,0.02512054748758665,-0.009973541389404922,0.6735537190082644,1210,242,0.03509408887699157,2025-05
2025-06,2025,0.0317624445594561,0.013453558370645515,0.04149377593360992,1209,241,0.018308886188810585,2025-06
2025-07,2025,0.09640112039640758,0.08025435890305335,0.0456431535269709,1208,241,0.016146761493354228,2025-07
2025-08,2025,-0.006445414440500855,-0.0006248201687524385,0.5477178423236515,1207,241,-0.005820594271748417,2025-08
2025-09,2025,0.024580141939514383,0.001532815985428741,0.10788381742738584,1207,241,0.02304732595408564,2025-09
2025-10,2025,-0.009657850878578424,-0.007292270633603419,0.13278008298755184,1207,241,-0.0023655802449750055,2025-10
2025-11,2025,0.052060656350854,0.03267126795424885,0.48547717842323657,1207,241,0.019389388396605152,2025-11
2025-12,2025,0.06636298898359627,0.0488820885343324,0.0456431535269709,1207,241,0.01748090044926387,2025-12
2026-01,2026,0.07556652503521688,0.04181400850579763,0.04149377593360992,1207,241,0.03375251652941925,2026-01
2026-02,2026,-0.04002031503884669,-0.050911451995815864,0.016597510373444035,1207,241,0.010891136956969173,2026-02
2026-03,2026,0.1924004774995286,0.11179601391033873,0.03734439834024894,1206,241,0.08060446358918986,2026-03
2026-04,2026,0.17504119249633024,0.10634700544637983,0.5560165975103735,1205,241,0.06869418704995041,2026-04
2026-05,2026,-0.0007635575458859785,0.019408597584536922,0.5269709543568465,1205,241,-0.0201721551304229,2026-05
2026-06,2026,-0.1719458235907636,-0.12154956398629975,0.050000000000000044,1204,240,-0.05039625960446385,2026-06
2026-07,2026,0.16392124909999936,0.10176765835996494,0.08333333333333337,1203,240,0.06215359074003442,2026-07
