window,start,end,n_days,base_cagr,base_mdd,m2_reloc_bil_fx_c35_cagr,m2_reloc_bil_fx_c35_mdd,mdd_improve_pp,cagr_giveback_pp,rel_nav_end
mtd,2026-09-01,2026-09-08,6,18.38064631600087,0.0,16.093626105648262,0.0,0.0,228.70202103526083,0.9975116466545627
ytd,2026-01-01,2026-09-08,164,0.7246136054061725,-0.13969427823982672,0.6390135497550178,-0.12769512446331122,1.1999153776515503,8.56000556511547,0.9676073676223602
trailing_1y,2025-09-08,2026-09-08,242,0.5686731177927944,-0.13969427823982683,0.513489098122468,-0.12769512446331122,1.1999153776515614,5.518401967032638,0.9663306407586106
sealed_2023_plus,2023-01-01,2026-09-08,881,0.2554964193426159,-0.13969427823982683,0.22503525217014198,-0.12769512446331122,1.1999153776515614,3.0461167172473935,0.9178052455039564
heldout_2019_plus,2019-01-01,2026-09-08,1858,0.1846790306384054,-0.22386722284139682,0.16386560403879824,-0.19857066897754072,2.5296553863856097,2.0813426599607165,0.8775543960596108
full,2012-12-04,2026-09-08,3353,0.13971500735810838,-0.22386722284139682,0.12426629920178822,-0.19857066897754083,2.5296553863855986,1.5448708156320157,0.8339893450749961
