date,Financial,Telecom,0050
2024-01-02,0.7819950849979143,0.047959365957382594,0.17004554904470315
2024-01-03,0.7819950849979143,0.047959365957382594,0.17004554904470315
2024-01-04,0.7819950849979143,0.047959365957382594,0.17004554904470315
2024-01-05,0.7819950849979143,0.047959365957382594,0.17004554904470315
2024-01-08,0.7819950849979143,0.047959365957382594,0.17004554904470315
2024-01-09,0.7819950849979143,0.047959365957382594,0.17004554904470315
2024-01-10,0.7786280942015293,0.06175735672257389,0.15961454907589678
2024-01-11,0.7736822151649934,0.07639914911067024,0.1499186357243364
2024-01-12,0.7693213062969546,0.08949444734040368,0.14118424636264165
2024-01-15,0.7657415875022011,0.10256839721556738,0.1316900152822314
2024-01-16,0.7657415875022011,0.10256839721556738,0.1316900152822314
2024-01-17,0.7657415875022011,0.10256839721556738,0.1316900152822314
2024-01-18,0.7657415875022011,0.10256839721556738,0.1316900152822314
2024-01-19,0.7699675592551039,0.0901386735555225,0.13989376718937363
2024-01-22,0.7699675592551039,0.0901386735555225,0.13989376718937363
2024-01-23,0.7699675592551039,0.0901386735555225,0.13989376718937363
2024-01-24,0.7699675592551039,0.0901386735555225,0.13989376718937363
2024-01-25,0.7699675592551039,0.0901386735555225,0.13989376718937363
2024-01-26,0.7743465722106647,0.07923734223613732,0.14641608555319802
2024-01-29,0.7743465722106647,0.07923734223613732,0.14641608555319802
2024-01-30,0.7743465722106647,0.07923734223613732,0.14641608555319802
2024-01-31,0.7743465722106647,0.07923734223613732,0.14641608555319802
2024-02-01,0.7743465722106647,0.07923734223613732,0.14641608555319802
2024-02-02,0.7743465722106647,0.07923734223613732,0.14641608555319802
2024-02-05,0.7743465722106647,0.07923734223613732,0.14641608555319802
2024-02-15,0.7792378163628209,0.0688327776239098,0.15192940601326937
2024-02-16,0.7792378163628209,0.0688327776239098,0.15192940601326937
2024-02-19,0.7792378163628209,0.0688327776239098,0.15192940601326937
2024-02-20,0.7792378163628209,0.0688327776239098,0.15192940601326937
2024-02-21,0.7792378163628209,0.0688327776239098,0.15192940601326937
2024-02-22,0.7792378163628209,0.0688327776239098,0.15192940601326937
2024-02-23,0.7792378163628209,0.0688327776239098,0.15192940601326937
2024-02-26,0.7792378163628209,0.0688327776239098,0.15192940601326937
2024-02-27,0.7792378163628209,0.0688327776239098,0.15192940601326937
2024-02-29,0.7792378163628209,0.0688327776239098,0.15192940601326937
2024-03-01,0.7792378163628209,0.0688327776239098,0.15192940601326937
