code,year,ex,signal_dt,signal_k,signal_d,signal_rsv,deep_dt,deep_k,is_local_low_ok,pre_ex_high_dt,ret_to_pre_ex_high,ret_to_ex_minus_1,days_sig_to_ex
2880,2012,2012-08-15,2012-05-15,24.645028537897005,38.071003878792794,14.285714285713997,2012-05-25,15.969207492361903,False,2012-08-09,0.06811145510835925,0.0619195046439629,65
2880,2013,2013-08-15,2013-06-06,22.79796080247592,40.136199570595075,0.0,2013-06-06,22.79796080247592,False,2013-08-02,0.032352941176470695,0.01764705882352935,49
2880,2015,2015-08-13,2015-05-15,17.931750318071003,26.88212382363223,13.333333333333522,2015-06-10,10.74734019134534,False,2015-08-05,-0.024324324324324298,-0.05405405405405406,62
2880,2017,2017-08-17,2017-06-07,20.692638556149348,38.83991460730415,0.0,2017-06-09,16.604135654584542,True,2017-08-07,0.07017543859649122,0.04385964912280693,51
2880,2018,2018-08-16,2018-05-25,22.9478236143162,34.31622697195375,16.666666666666863,2018-05-25,22.9478236143162,False,2018-08-10,0.05633802816901401,0.05070422535211261,58
2880,2022,2022-08-11,2022-05-16,15.66549897732926,19.355706489204493,14.634146341463298,2022-05-16,15.66549897732926,True,2022-08-10,0.11187214611872154,0.11187214611872154,62
2880,2024,2024-08-13,2024-05-30,17.835428421935493,31.504500344533653,0.0,2024-06-04,11.376010809049884,False,2024-08-01,0.14747474747474731,0.10909090909090913,50
2880,2025,2025-08-13,2025-05-27,20.382786626657097,34.00800257623379,0.0,2025-06-03,6.637815402036675,False,2025-08-06,0.10555555555555562,0.08703703703703702,50
2880,2026,2026-08-13,2026-05-18,20.315515037134993,29.21785862604936,0.0,2026-05-27,4.781948409676332,False,2026-08-07,0.39403453689167955,0.3563579277864992,60
2886,2012,2012-08-08,2012-05-16,18.923088928143898,29.707427415296102,0.0,2012-05-25,13.450075138961921,False,2012-07-31,0.15952380952380962,0.14523809523809517,59
2886,2013,2013-08-13,2013-06-05,18.21142489741823,32.14170278022063,0.0,2013-06-07,11.79767032477844,False,2013-08-05,0.10775862068965525,0.06896551724137945,48
2886,2015,2015-08-13,2015-05-25,22.296952086689416,31.365499608853227,6.249999999999875,2015-05-25,22.296952086689416,True,2015-08-04,0.02621722846441954,-0.0730337078651685,56
2886,2017,2017-08-10,2017-05-31,24.653331885890438,40.6177403496518,0.0,2017-06-01,19.213332368371436,True,2017-08-07,0.08041237113402055,0.0597938144329897,52
2886,2022,2022-08-11,2022-05-16,13.275786362861112,14.978673273961496,12.871287128712849,2022-05-17,10.211068459594502,False,2022-08-10,0.008130081300813163,0.008130081300813163,62
2886,2024,2024-08-08,2024-05-24,16.84413821696432,33.53236353978089,0.0,2024-05-30,6.510374232764339,False,2024-07-29,0.08250000000000002,0.03874999999999984,51
2886,2025,2025-08-07,2025-06-02,24.211643726961253,43.55711438140855,8.333333333333456,2025-06-03,23.548503225381573,True,2025-08-06,0.09974424552429673,0.09974424552429673,43
2886,2026,2026-08-13,2026-05-27,18.892851678034358,31.11640939105797,4.87804878048788,2026-05-27,18.892851678034358,True,2026-07-31,0.3460076045627376,0.2344740177439797,53
2892,2012,2012-08-10,2012-05-15,19.234770518589357,28.718465569050775,18.18181818181815,2012-05-23,11.512341803376483,False,2012-08-09,0.10294117647058831,0.10294117647058831,62
2892,2013,2013-08-02,2013-06-03,17.650847095392304,27.555135905586464,0.0,2013-06-07,10.708377635695198,False,2013-07-26,0.04761904761904745,0.04201680672268915,43
2892,2015,2015-07-31,2015-05-15,10.793386404158785,22.50514496059297,0.0,2015-05-15,10.793386404158785,True,2015-07-17,0.007894736842105177,-0.0026315789473684292,53
2892,2022,2022-08-04,2022-05-16,15.27028300768383,16.7804985547224,17.39130434782602,2022-05-17,13.078739396426888,False,2022-07-29,0.05058365758754868,0.048638132295719894,57
2892,2024,2024-08-08,2024-05-30,24.870232110234543,46.15361901149373,0.0,2024-06-05,14.374666125777658,True,2024-07-29,0.08058608058608052,0.034798534798534675,47
2892,2026,2026-08-11,2026-05-22,19.251773475512756,36.102078800695494,6.2500000000000835,2026-05-29,15.29379760959798,True,2026-07-31,0.33393829401088926,0.2686025408348458,54
5880,2012,2012-08-03,2012-05-15,24.547723721703626,37.94097018527681,11.764705882353088,2012-05-18,16.78691771599934,False,2012-08-01,0.042735042735042805,0.042735042735042805,57
5880,2013,2013-08-14,2013-06-07,21.825023442745014,33.361529103732835,11.1111111111112,2013-06-10,18.253719332200408,False,2013-07-31,0.01179941002949847,0.0,47
5880,2015,2015-08-13,2015-05-21,21.70374475231585,27.90260759299439,10.000000000000142,2015-06-09,15.92283101565663,True,2015-08-04,-0.018404907975460127,-0.039877300613496924,58
5880,2016,2016-08-10,2016-05-16,13.749391781977554,16.052961168544016,7.1428571428572525,2016-05-16,13.749391781977554,True,2016-08-09,0.11808118081180807,0.11808118081180807,60
5880,2019,2019-08-14,2019-05-15,17.07639153376203,25.38677783969016,19.999999999999808,2019-05-17,7.58950734833868,False,2019-07-30,0.06030150753768848,0.04020100502512558,63
5880,2022,2022-08-10,2022-05-16,11.880119455972498,12.276496316266932,15.384615384615385,2022-05-16,11.880119455972498,False,2022-08-09,0.11111111111111116,0.11111111111111116,61
5880,2024,2024-08-14,2024-05-27,24.034373580494854,39.91972205757879,11.76470588235272,2024-06-05,3.5299941917215265,False,2024-08-01,0.040152963671128195,0.01147227533460815,54
5880,2025,2025-08-13,2025-05-29,17.675601476471346,34.284871094990336,0.0,2025-06-03,7.8558228784317095,True,2025-08-06,0.09791666666666665,0.08125000000000004,48
5880,2026,2026-08-11,2026-05-15,20.996767306755295,25.096400590316343,25.000000000000444,2026-05-25,12.76926352212929,False,2026-07-31,0.20787746170678334,0.1422319474835887,59
