id,season,k_thresh,hold_days,heldout_score,mdd_improve_pp,cagr_giveback_pp,ytd,t1y,tip_clean,vs_kd_opt_heldout_delta
AUT_OCT20_DEC10_Klt20_H40,OCT20_DEC10,20.0,40,0.4277154740418454,0.6779234248658117,0.5004159016479326,PASS,PASS,True,-0.21958134584622035
AUT_OCT20_DEC10_Klt20_H60,OCT20_DEC10,20.0,60,0.4277154740418454,0.6779234248658117,0.5004159016479326,PASS,PASS,True,-0.21958134584622035
AUT_OCT20_DEC10_Klt25_H40,OCT20_DEC10,25.0,40,0.42225357574340316,0.6765925883455037,0.5086780252042011,PASS,PASS,True,-0.2250432441446626
AUT_OCT20_DEC10_Klt25_H60,OCT20_DEC10,25.0,60,0.42225357574340316,0.6765925883455037,0.5086780252042011,PASS,PASS,True,-0.2250432441446626
AUT_OCT1_DEC15_Klt30_H60,OCT1_DEC15,30.0,60,0.4040559933533583,0.5749874618598771,0.3418629370130377,PASS,PASS,True,-0.24324082653470747
AUT_OCT1_DEC15_Klt25_H60,OCT1_DEC15,25.0,60,0.37474396098073903,0.6243419190342658,0.4991959161070536,PASS,PASS,True,-0.2725528589073267
AUT_OCT15_NOV30_Klt25_H40,OCT15_NOV30,25.0,40,0.3716365003982536,0.6058284261364344,0.46838385147636163,PASS,PASS,True,-0.2756603194898122
AUT_OCT15_NOV30_Klt25_H60,OCT15_NOV30,25.0,60,0.3716365003982536,0.6058284261364344,0.46838385147636163,PASS,PASS,True,-0.2756603194898122
AUT_OCT20_DEC10_Klt20_H20,OCT20_DEC10,20.0,20,0.35070810126285323,0.5923145246840122,0.483212846842318,PASS,PASS,True,-0.2965887186252125
AUT_OCT15_NOV30_Klt20_H40,OCT15_NOV30,20.0,40,0.34427850807040583,0.582120156019883,0.4756832958989543,PASS,PASS,True,-0.3030183118176599
AUT_OCT15_NOV30_Klt20_H60,OCT15_NOV30,20.0,60,0.34427850807040583,0.582120156019883,0.4756832958989543,PASS,PASS,True,-0.3030183118176599
AUT_OCT1_DEC15_Klt20_H60,OCT1_DEC15,20.0,60,0.343938631379026,0.5850804692203004,0.4822836756825488,PASS,PASS,True,-0.30335818850903973
AUT_OCT1_DEC15_Klt25_H20,OCT1_DEC15,25.0,20,0.34306066411893266,0.6070301784285803,0.5279390286192953,PASS,PASS,True,-0.3042361557691331
AUT_OCT20_DEC10_Klt25_H20,OCT20_DEC10,25.0,20,0.33580324203200673,0.5722530063867803,0.4728995287095472,PASS,PASS,True,-0.311493577856059
AUT_NOV1_DEC15_Klt20_H20,NOV1_DEC15,20.0,20,0.3299110042459308,0.48100478859628426,0.30218756870070695,PASS,PASS,True,-0.31738581564213497
AUT_OCT1_DEC15_Klt20_H20,OCT1_DEC15,20.0,20,0.32463420563709766,0.5914046764063152,0.5335409415384351,PASS,PASS,True,-0.3226626142509681
AUT_OCT1_DEC15_Klt30_H20,OCT1_DEC15,30.0,20,0.32288115758422054,0.5266798469772183,0.40759737878599545,PASS,PASS,True,-0.3244156623038452
AUT_OCT15_NOV30_Klt30_H20,OCT15_NOV30,30.0,20,0.31901543971170065,0.5487675399384773,0.4595042004535532,PASS,PASS,True,-0.3282813801763651
AUT_NOV1_DEC15_Klt25_H20,NOV1_DEC15,25.0,20,0.3149118556679542,0.5217122981820421,0.4136008850281758,PASS,PASS,True,-0.33238496422011155
AUT_OCT15_NOV30_Klt20_H20,OCT15_NOV30,20.0,20,0.3134087648491879,0.560339575436819,0.4938616211752622,PASS,PASS,True,-0.33388805503887786
AUT_OCT15_NOV30_Klt25_H20,OCT15_NOV30,25.0,20,0.3088832299530164,0.5445306032781705,0.4712947466503081,PASS,PASS,True,-0.33841358993504933
AUT_NOV1_DEC15_Klt25_H40,NOV1_DEC15,25.0,40,0.30447264296301624,0.508273144545146,0.4076010031642596,PASS,PASS,True,-0.3428241769250495
AUT_NOV1_DEC15_Klt25_H60,NOV1_DEC15,25.0,60,0.30447264296301624,0.508273144545146,0.4076010031642596,PASS,PASS,True,-0.3428241769250495
AUT_OCT20_DEC10_Klt30_H40,OCT20_DEC10,30.0,40,0.2966467565985398,0.5193412185819035,0.44538892396672747,PASS,PASS,True,-0.35065006328952597
AUT_OCT20_DEC10_Klt30_H60,OCT20_DEC10,30.0,60,0.2966467565985398,0.5193412185819035,0.44538892396672747,PASS,PASS,True,-0.35065006328952597
AUT_OCT1_DEC15_Klt30_H40,OCT1_DEC15,30.0,40,0.2942373600409054,0.4481636087774521,0.3078524974730934,PASS,PASS,True,-0.35305945984716036
AUT_OCT20_DEC10_Klt30_H20,OCT20_DEC10,30.0,20,0.2926596060027986,0.5290350009175881,0.4727507898295791,PASS,PASS,True,-0.35463721388526714
AUT_OCT15_NOV30_Klt30_H40,OCT15_NOV30,30.0,40,0.2918396419982816,0.5207260501033595,0.45777281621015575,PASS,PASS,True,-0.35545717788978415
AUT_OCT15_NOV30_Klt30_H60,OCT15_NOV30,30.0,60,0.2918396419982816,0.5207260501033595,0.45777281621015575,PASS,PASS,True,-0.35545717788978415
AUT_NOV1_DEC15_Klt30_H20,NOV1_DEC15,30.0,20,0.20262715503525097,0.3731796596049275,0.34110500913935304,PASS,PASS,True,-0.4446696648528148
AUT_OCT1_DEC15_Klt20_H40,OCT1_DEC15,20.0,40,0.18803560823229537,0.3973682682313906,0.41866531999819045,PASS,PASS,True,-0.4592612116557704
AUT_NOV1_DEC15_Klt30_H40,NOV1_DEC15,30.0,40,0.1788680782208396,0.3519164826309318,0.34609680882018434,PASS,PASS,True,-0.46842874166722615
AUT_NOV1_DEC15_Klt30_H60,NOV1_DEC15,30.0,60,0.1788680782208396,0.3519164826309318,0.34609680882018434,PASS,PASS,True,-0.46842874166722615
