date,ret,core_w,alpha_w,cash_w,e45_exposure,nav
2019-01-02,-0.015591616141911936,0.8,0.2,0.0,1.0,0.984408383858088
2019-01-03,0.0014161628615737111,0.8,0.2,0.0,1.0,0.9858024664519296
2019-01-04,-0.009880858111728742,0.8,0.2,0.0,1.0,0.9760618921547258
2019-01-07,0.021418192246006298,0.8,0.2,0.0,1.0,0.9969673734048965
2019-01-08,-0.004953211271761671,0.8,0.2,0.0,1.0,0.9920291833733688
2019-01-09,0.012142115418129151,0.8,0.2,0.0,1.0,1.0040745162160407
2019-01-10,0.000912255211570101,0.8,0.2,0.0,1.0,1.0049904884262635
2019-01-11,0.0005644563835304873,0.8,0.2,0.0,1.0,1.005557761722843
2019-01-14,-0.00010045844431401103,0.8,0.2,0.0,1.0,1.0054567449544325
2019-01-15,0.004400468339244058,0.8,0.2,0.0,1.0,1.0098812255270837
2019-01-16,-0.0017688207332423817,0.8,0.2,0.0,1.0,1.0080949266772592
2019-01-17,0.0025106445589342164,0.8,0.2,0.0,1.0,1.0106258947198106
2019-01-18,0.0044180118271353935,0.8,0.2,0.0,1.0,1.015090851875492
2019-01-21,-1.1680181992668138e-05,0.8,0.2,0.0,1.0,1.015078995429603
2019-01-22,0.002687036493471551,0.8,0.2,0.0,1.0,1.0178065497340787
2019-01-23,-0.00010495330351600884,0.8,0.2,0.0,1.0,1.0176997275743438
2019-01-24,0.0013231736534667694,0.8,0.2,0.0,1.0,1.0190463210410103
2019-01-25,0.004417034631963946,0.8,0.2,0.0,1.0,1.0235474839326237
2019-01-28,-0.00036049918367644365,0.8,0.2,0.0,1.0,1.023178495900212
2019-01-29,0.0007238296210202445,0.8,0.2,0.0,1.0,1.0239191028031356
2019-01-30,0.0011946463368212703,0.8,0.2,0.0,1.0,1.0251423240085007
2019-02-11,0.0005469098479151673,0.8,0.2,0.0,1.0,1.0257029844410155
2019-02-12,0.0020803880059504067,0.8,0.2,0.0,1.0,1.0278368446275141
2019-02-13,-0.0018083211675525403,0.8,0.2,0.0,1.0,1.0259781855045838
