date,nav,cash,gross_equity,equity_weight,regime,e45_equity_scale,dividend_credit,pre_financial,pre_telecom,pre_0050,tgt_financial,tgt_telecom,tgt_0050
2012-12-04,3000000.0,3000000.0,0.0,0.0,Bull,1.0,0.0,0.0,0.0,0.0,0.7603543787185798,0.09336595361761713,0.14627966766380315
2012-12-05,3005661.9052330507,2399380.1052330504,606281.8,0.20171323958440715,Bull,1.0,0.0,0.15350139654653752,0.018848094624803597,0.029363748413066024,0.772750675166668,0.07726041850200242,0.14998890633132977
2012-12-06,3004637.5571767353,1797686.5571767353,1206951.0,0.4016960372199082,Bull,1.0,0.0,0.3089042795804358,0.033369748627588756,0.05942200901188364,0.7887939763079375,0.06517215242581124,0.1460338712662515
2012-12-07,3005129.4742792607,1196115.0242792608,1809014.45,0.601975543976809,Bull,1.0,0.0,0.46919853605913925,0.043940003627187904,0.0888370042904818,0.8025952258683327,0.05626237216393798,0.14114240196772943
2012-12-10,2984929.697590946,593993.997590946,2390935.7,0.8010023492109908,Bull,1.0,0.0,0.6344754456121648,0.051064686757285295,0.1154622168415406,0.7940665853860286,0.0760527094930033,0.1298807051209682
2012-12-11,2989095.530843341,147687.8808433411,2841407.65,0.9505911138271073,Bull,1.0,0.0,0.7545816708519953,0.07002840753669126,0.12598103543842074,0.7940665853860286,0.0760527094930033,0.1298807051209682
2012-12-12,3021203.9998724367,36220.84987243697,2984983.15,0.988011120773716,Bull,1.0,0.0,0.7858702524226263,0.07355236521909232,0.12858850313199743,0.7940665853860286,0.0760527094930033,0.1298807051209682
2012-12-13,3032286.6498724367,36220.84987243697,2996065.8,0.9880549387130136,Bull,1.0,0.0,0.7856343990764258,0.07288110443295227,0.12953943520363567,0.7984757512907102,0.064473702773697,0.13705054593559288
2012-12-14,3028709.6498724367,36220.84987243697,2992488.8,0.9880408312252835,Bull,1.0,0.0,0.7871535655787976,0.0723803287017734,0.12850693694471269,0.7984757512907102,0.064473702773697,0.13705054593559288
2012-12-17,3010944.3998724367,36220.84987243697,2974723.55,0.987970269436403,Bull,1.0,0.0,0.7874730101626761,0.07290157865728095,0.12759568061644597,0.809818512802533,0.06348205711791241,0.1266994300795547
2012-12-18,3015709.229808702,23084.02980870222,2992625.1999999997,0.992345405989235,Bull,1.0,0.0,0.7993744145396001,0.06611486214559474,0.1268561293040401,0.809818512802533,0.06348205711791241,0.1266994300795547
2012-12-19,3025633.229808702,23084.02980870222,3002549.1999999997,0.9923705128628026,Bull,1.0,0.0,0.7998230506455021,0.06575324399533332,0.1267942182219672,0.809818512802533,0.06348205711791241,0.1266994300795547
2012-12-20,2990994.0298087024,23084.02980870222,2967910.0,0.9922821545015993,Bull,1.0,0.0,0.7998630810216001,0.06570895763792947,0.12671011584206984,0.809818512802533,0.06348205711791241,0.1266994300795547
2012-12-21,2953048.229808702,23084.02980870222,2929964.1999999997,0.9921829824600603,Bull,1.0,0.0,0.7987476046582548,0.0657018730820284,0.12773350471977735,0.8080110211251577,0.05485032803900972,0.13713865083583274
2012-12-22,2959565.9798087026,23084.02980870222,2936481.95,0.9922001976079633,Bull,1.0,0.0,0.7987208820912292,0.0656650337670666,0.1278142817496674,0.8080110211251577,0.05485032803900972,0.13713865083583274
2012-12-24,2962918.7798087024,23084.02980870222,2939834.75,0.99220902376197,Bull,1.0,0.0,0.7995182541429454,0.06562390482149959,0.12706686479752496,0.8080110211251577,0.05485032803900972,0.13713865083583274
2012-12-25,2997272.9298087023,23084.02980870222,2974188.9,0.9922983223919566,Bull,1.0,0.0,0.7989480291182014,0.06559469377803646,0.1277555994957187,0.8080110211251577,0.05485032803900972,0.13713865083583274
2012-12-26,2984187.329808702,23084.02980870222,2961103.3,0.9922645506942146,Bull,1.0,0.0,0.7983117467872619,0.06587639389669347,0.1280764100102592,0.8080110211251577,0.05485032803900972,0.13713865083583274
