id,track,detail,heldout_score,mdd_improve_pp,cagr_giveback_pp,tip_ytd,tip_1y,tip_clean,coexist,vs_live_heldout_delta,n_fills,full_cagr,full_mdd
SOFT_BOTH__BELOW_MA120__RSI6_GT80,soft_assist,both|BELOW_MA120+RSI6_GT80,0.6310983596953701,0.7451575579306757,0.2281183964706112,PASS,PASS,True,True,0.0904615021154464,5779,0.1378604680013428,-0.21641564726209
SOFT_BOTH__K9_LT30__RSI6_GT80,soft_assist,both|K9_LT30+RSI6_GT80,0.6225511085905189,0.7035408792243847,0.1619795412677316,PASS,PASS,True,True,0.0819142510105952,5783,0.1385349184252078,-0.2168318140491529
SOFT_BOTH__BELOW_MA120__RSI14_GT70,soft_assist,both|BELOW_MA120+RSI14_GT70,0.6199485315278475,0.7456631948560721,0.2514293266564493,PASS,PASS,True,True,0.0793116739479238,5788,0.1376961805923715,-0.2164105908928361
SLEEVE_BELOW_MA60_a01,tel_sleeve,sleeve|SLEEVE_BELOW_MA60|a=0.1|sign=1.0,0.6147224666277484,0.7289028044743073,0.2283606756931178,PASS,PASS,True,True,0.0740856090478248,5720,0.1383936532736844,-0.2165781947966537
SOFT_BOTH__BIAS20_LT_N5__RSI14_GT70,soft_assist,both|BIAS20_LT_N5+RSI14_GT70,0.6131099348537394,0.7142442031312979,0.2022685365551169,PASS,PASS,True,True,0.0724730772738158,5713,0.1382468178676208,-0.2167247808100837
SOFT_BOTH__BELOW_MA120__K9_GT80,soft_assist,both|BELOW_MA120+K9_GT80,0.6130583794368261,0.7148742056578783,0.2036316524421044,PASS,PASS,True,True,0.0724215218569024,5809,0.1379693867454852,-0.2167184807848178
SOFT_BOTH__BELOW_MA120__MFI14_GT80,soft_assist,both|BELOW_MA120+MFI14_GT80,0.6125000231505751,0.7594342595321768,0.2938684727632035,PASS,PASS,True,True,0.0718631655706514,5787,0.1374664496505111,-0.216272880246075
SOFT_BOTH__MFI14_LT20__RSI14_GT70,soft_assist,both|MFI14_LT20+RSI14_GT70,0.6110565981152782,0.7054302704138649,0.1887473445971732,PASS,PASS,True,True,0.0704197405353546,5738,0.1383173557465988,-0.2168129201372581
SOFT_BOTH__BELOW_MA120__BB_UPPER,soft_assist,both|BELOW_MA120+BB_UPPER,0.6085782516213833,0.7267826094071062,0.2364087155714456,PASS,PASS,True,True,0.0679413940414597,5813,0.1377960517979244,-0.2165993967473257
SOFT_BOTH__BELOW_MA120__BB_PCTB_GT1,soft_assist,both|BELOW_MA120+BB_PCTB_GT1,0.6085782516213833,0.7267826094071062,0.2364087155714456,PASS,PASS,True,True,0.0679413940414597,5813,0.1377960517979244,-0.2165993967473257
SOFT_BOTH__BIAS20_LT_N5__RSI6_GT80,soft_assist,both|BIAS20_LT_N5+RSI6_GT80,0.6074099181228809,0.6893702413776404,0.1639206465095188,PASS,PASS,True,True,0.0667730605429572,5730,0.1384852987551608,-0.2169735204276205
SOFT_BOTH__K9_LT30__RSI14_GT70,soft_assist,both|K9_LT30+RSI14_GT70,0.6046182917629261,0.7132234789661518,0.2172103744064513,PASS,PASS,True,True,0.0639814341830025,5750,0.1382048268171005,-0.2167349880517353
SOFT_BOTH__MFI14_LT20__MFI14_GT80,soft_assist,both|MFI14_LT20+MFI14_GT80,0.6029830662229618,0.7149617219132098,0.223957311380496,PASS,PASS,True,True,0.0623462086430381,5710,0.1381500670847293,-0.2167176056222648
SOFT_BOTH__BIAS20_LT_N5__MFI14_GT80,soft_assist,both|BIAS20_LT_N5+MFI14_GT80,0.601330872540673,0.7108545508896946,0.2190473566980433,PASS,PASS,True,True,0.0606940149607493,5738,0.1381402846166988,-0.2167586773324997
SOFT_BOTH__MFI14_LT20__K9_GT80,soft_assist,both|MFI14_LT20+K9_GT80,0.6010546572193909,0.6879942339032441,0.1738791533677064,PASS,PASS,True,True,0.0604177996394672,5737,0.1384677152981082,-0.2169872805023645
SOFT_BOTH__K9_LT20__RSI6_GT80,soft_assist,both|K9_LT20+RSI6_GT80,0.5996595099752811,0.672319063626281,0.1453191073019999,PASS,PASS,True,True,0.0590226523953574,5749,0.1386116601645102,-0.2171440322051339
SOFT_BOTH__K9_LT20__RSI14_GT70,soft_assist,both|K9_LT20+RSI14_GT70,0.5996357307066824,0.6784286736364775,0.1575858858595902,PASS,PASS,True,True,0.0589988731267587,5775,0.1385020833446288,-0.217082936105032
SOFT_BOTH__BELOW_MA120__WILLR14_GT_N20,soft_assist,both|BELOW_MA120+WILLR14_GT_N20,0.5985905484785392,0.6708427167556041,0.1445043365541298,PASS,PASS,True,True,0.0579536908986155,5786,0.1383173726748392,-0.2171587956738406
SOFT_BOTH__BELOW_MA120__K9_GT70,soft_assist,both|BELOW_MA120+K9_GT70,0.5973834272696932,0.6924497107944405,0.1901325670494946,PASS,PASS,True,True,0.0567465696897695,5762,0.138073002752145,-0.2169427257334524
SOFT_BOTH__RSI14_LT30__RSI6_GT80,soft_assist,both|RSI14_LT30+RSI6_GT80,0.5973696795790184,0.6747695408796828,0.1547997226013286,PASS,PASS,True,True,0.0567328219990947,5730,0.1385575085823367,-0.2171195274326
