date,nav,cash,gross_equity,equity_weight,regime,e45_equity_scale,dividend_credit,stock_shares_added,cil_cash_credit,pre_financial,pre_telecom,pre_0050,pre_def,tgt_financial,tgt_telecom,tgt_0050,tgt_def
2012-12-04,3000000.0,3000000.0,0.0,0.0,Bull,0.9268350356425072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7044933289154078,0.08699429786160505,0.13534740886549448,0.0
2012-12-05,3004346.074002625,2516896.074002625,487450.0,0.16224828564792504,Bull,0.9268350356425072,0.0,0.0,0.0,0.14435753715356464,0.0,0.017890748494360387,0.0,0.7159177241004995,0.07219698616352259,0.13872032537848525,0.0
2012-12-06,3003888.23254025,2067838.2325402498,936050.0,0.3116127923336301,Bull,0.9268350356425072,0.0,0.0,0.0,0.27592571222234846,0.0,0.035687080111281605,0.0,0.7307342987492406,0.061099002389960744,0.13500173450330594,0.0
2012-12-07,3004130.255535125,1618680.2555351248,1385450.0,0.4611817338636704,Bull,0.9304932838603819,0.0,0.0,0.0,0.4073558387640598,0.0,0.053825895099610596,0.0,0.746493428660723,0.052983821242921954,0.13101603395673697,0.0
2012-12-10,2985921.5330448747,1168971.533044875,1816950.0,0.6085056087013703,Bull,0.9304932838603819,0.0,0.0,0.0,0.5365680183719421,0.0,0.07193759032942806,0.0,0.7386365956385209,0.07124058176036754,0.1206161064614934,0.0
2012-12-11,2988886.613582,773786.613582,2215100.0,0.7411120883389204,Bull,0.9304932838603819,0.0,0.0,0.0,0.6513629493849611,0.0,0.08974913895395938,0.0,0.7386365956385209,0.07124058176036754,0.1206161064614934,0.0
2012-12-12,3017143.16352825,556993.1635282501,2460150.0,0.8153905421985672,Bull,0.9304932838603819,0.0,0.0,0.0,0.7078053258509238,0.0,0.1075852163476434,0.0,0.7386365956385209,0.07124058176036754,0.1206161064614934,0.0
2012-12-13,3027898.637734875,524098.637734875,2503800.0,0.8269101114537489,Bull,0.9304932838603819,0.0,0.0,0.0,0.7185181078675518,0.0,0.10839200358619713,0.0,0.7427679252683419,0.060409135949228525,0.12731622264281148,0.0
2012-12-14,3026498.637734875,524098.637734875,2502400.0,0.8268300434038435,Bull,0.9339686196673628,0.0,0.0,0.0,0.719379144221087,0.0,0.10745089918275652,0.0,0.7455421182815923,0.06063476039690013,0.12779174098887028,0.0
2012-12-17,3010548.637734875,524098.637734875,2486450.0,0.8259125824556667,Bull,0.9339686196673628,0.0,0.0,0.0,0.7192874989155718,0.0,0.10662508354009491,0.0,0.7561881958413188,0.05960400816944121,0.11817641565660282,0.0
2012-12-18,3013829.646475125,473129.64647512505,2540700.0,0.8430138056978497,Bull,0.9339686196673628,0.0,0.0,0.0,0.7364052585373352,0.0,0.10660854716051446,0.0,0.7561881958413188,0.05960400816944121,0.11817641565660282,0.0
2012-12-19,3023229.646475125,473129.64647512505,2550100.0,0.8435019162283086,Bull,0.9339686196673628,0.0,0.0,0.0,0.7369271476275632,0.0,0.10657476860074547,0.0,0.7561881958413188,0.05960400816944121,0.11817641565660282,0.0
