date,nav,cost,exposure
2004-02-11,1.0,0.0,1.0
2004-02-12,0.9839988424015657,0.0006839999999999999,1.0
2004-02-13,1.0299591668969694,0.0,1.0
2004-02-16,1.0478615434353507,0.0,1.0
2004-02-17,1.058029070176993,0.0,1.0
2004-02-18,1.0336612381930241,0.0,1.0
2004-02-19,1.0568209888773357,0.0,1.0
2004-02-20,1.0539116737145005,0.0,1.0
2004-02-23,1.0553522763877736,0.0,1.0
2004-02-24,1.050131680027539,0.0,1.0
2004-02-25,1.0536471305325448,0.0,1.0
2004-02-26,1.0543406472115193,0.0,1.0
2004-02-27,1.074108543213898,0.0,1.0
2004-03-01,1.113357047412502,0.0,1.0
2004-03-02,1.1142190081564856,0.0,1.0
2004-03-03,1.109597721275742,0.0,1.0
2004-03-04,1.1261957236263909,0.0,1.0
2004-03-05,1.0968406339678407,0.0,1.0
2004-03-08,1.0832947174795593,0.0,1.0
2004-03-09,1.1018045944012758,0.0,1.0
2004-03-10,1.0860611735467434,0.0,1.0
2004-03-11,1.0856402297204093,0.0,1.0
2004-03-12,1.08202894567937,0.0,1.0
2004-03-15,1.0359693105570442,0.0,1.0
2004-03-16,1.0297823595593274,0.0,1.0
2004-03-17,1.0236267088105884,0.0,1.0
2004-03-18,1.0525283880742942,0.0,1.0
2004-03-19,1.0418603500533545,0.0,1.0
2004-03-22,0.9859380346710247,0.0,1.0
2004-03-23,0.9758827572924273,0.0,1.0
2004-03-24,0.9742527925314628,0.0,1.0
2004-03-25,0.9697795958176865,0.0,1.0
2004-03-26,0.9573165882336371,0.0,1.0
2004-03-29,1.0043697920505839,0.0,1.0
2004-03-30,1.015578862759498,0.0,1.0
2004-03-31,1.0221660660655476,0.0,1.0
2004-04-01,1.0112221785440336,0.0,1.0
2004-04-02,1.0205634530247796,0.0,1.0
2004-04-05,1.0303402679514768,0.0,1.0
2004-04-06,1.0215234786112828,0.0,1.0
2004-04-07,1.0262276559532075,0.0,1.0
2004-04-08,1.039160490360747,0.0,1.0
2004-04-09,1.0277837124833629,0.0,1.0
2004-04-12,1.0565614644623604,0.0,1.0
2004-04-13,1.056513359798139,0.0,1.0
2004-04-14,1.0508652995805015,0.0,1.0
2004-04-15,1.0300982759407684,0.0,1.0
2004-04-16,1.0421165777970178,0.0,1.0
2004-04-19,1.0362181375042576,0.0,1.0
2004-04-20,1.0455481587257265,0.0,1.0
2004-04-21,1.063518198861125,0.0,1.0
2004-04-22,1.0453282902423833,0.0,1.0
2004-04-23,1.045393987820609,0.0,1.0
2004-04-26,1.0388535062193454,0.0,1.0
2004-04-27,1.0410972600535713,0.0,1.0
2004-04-28,1.043259317394342,0.0,1.0
2004-04-29,1.0045256858107618,0.0,1.0
2004-04-30,0.9776444838432966,0.0,1.0
2004-05-03,0.9654825779881482,0.0,1.0
2004-05-04,0.9852076249591598,0.0,1.0
2004-05-05,0.9410045755400394,0.0,0.5
2004-05-06,0.9568532786715662,0.0015419999999999998,0.5
2004-05-07,0.9641339088273044,0.0,0.5
2004-05-10,0.951515184319793,0.0,0.5
2004-05-11,0.9555230974670238,0.0002355,0.5
2004-05-12,0.954363443453399,0.0,0.5
2004-05-13,0.9515778609510797,0.0,0.5
2004-05-14,0.9481233355015493,0.0,0.5
2004-05-17,0.9308902130196248,0.0,0.5
2004-05-18,0.9370625638047927,0.0,0.5
2004-05-19,0.956014760960374,0.0,0.5
2004-05-20,0.949250655538394,0.0,0.5
2004-05-21,0.9584832430309136,0.0,0.5
2004-05-24,0.9545864747695635,0.0,0.5
2004-05-25,0.9520400359856183,0.0,0.5
2004-05-26,0.9618562913386606,0.0,0.5
2004-05-27,0.9655752427111935,0.0,0.5
2004-05-28,0.9706845439928277,0.0,0.5
2004-05-31,0.9595742862313504,0.0,0.5
