date,nav,cash,gross_equity,equity_weight,regime,e45_equity_scale,dividend_credit,stock_shares_added,cil_cash_credit,pre_financial,pre_fin_pub,pre_fin_priv,pre_telecom,pre_0050,pre_def,tgt_financial,tgt_fin_pub,tgt_fin_priv,tgt_telecom,tgt_0050,tgt_def
2012-12-04,500000000.0,500000000.0,0.0,0.0,Bull,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6954071137356881,0.0,0.0,0.11036536824598406,0.19422751801832788,0.0
2012-12-05,500940143.1774311,400075693.1774311,100864450.0,0.20135030377127153,Bull,1.0,0.0,0.0,0.0,0.1402766397483752,0.0,0.0,0.02212439979295978,0.038949264229936525,0.0,0.7045699861308619,0.0,0.0,0.09315800802503382,0.2022720058441043,0.0
2012-12-06,500727085.66854614,299966185.66854614,200760900.0,0.400938766338062,Bull,1.0,0.0,0.0,0.0,0.2817712563154496,0.0,0.0,0.0395265216651396,0.07964098835747287,0.0,0.7164982815038398,0.0,0.0,0.08103297321469402,0.20246874528146624,0.0
2012-12-07,500895685.8178265,199862335.81782648,301033350.0,0.600990103375505,Bull,1.0,0.0,0.0,0.0,0.4266502109138236,0.0,0.0,0.053066538108829546,0.1212733543528518,0.0,0.7268297405476319,0.0,0.0,0.07432574650637248,0.19884451294599564,0.0
2012-12-10,497834226.88574266,99751776.88574263,398082450.0,0.7996285279343869,Bull,1.0,0.0,0.0,0.0,0.5746337526641295,0.0,0.0,0.06448833420079063,0.16050644106946677,0.0,0.7204624298993083,0.0,0.0,0.09941547082482216,0.1801220992758696,0.0
2012-12-11,498491835.6836744,24994285.683674395,473497550.0,0.9498601904895893,Bull,1.0,0.0,0.0,0.0,0.6843437055135151,0.0,0.0,0.09073408381496846,0.17478240116110577,0.0,0.7204624298993083,0.0,0.0,0.09941547082482216,0.1801220992758696,0.0
2012-12-12,503562421.9602204,6219271.9602203965,497343150.0,0.9876494518077608,Bull,1.0,0.0,0.0,0.0,0.7133370846094951,0.0,0.0,0.09586358690564367,0.17844878029262204,0.0,0.7204624298993083,0.0,0.0,0.09941547082482216,0.1801220992758696,0.0
2012-12-13,505502471.9602204,6219271.9602203965,499283200.0,0.9876968515384237,Bull,1.0,0.0,0.0,0.0,0.7129921612497329,0.0,0.0,0.09496926852570929,0.1797354217629816,0.0,0.723766495608102,0.0,0.0,0.08512174579543601,0.19111175859646207,0.0
2012-12-14,504557671.9602204,6219271.9602203965,498338400.0,0.9876738135086554,Bull,1.0,0.0,0.0,0.0,0.7148643654524334,0.0,0.0,0.09438346228090758,0.17842598577531432,0.0,0.7237664956081019,0.0,0.0,0.08130047027916125,0.19493303411273677,0.0
2012-12-17,501343954.6795884,1408754.679588397,499935200.0,0.9971900435490666,Bull,1.0,0.0,0.0,0.0,0.7221128261761396,0.0,0.0,0.0855546368907803,0.1895225804821467,0.0,0.7322961462069517,0.0,0.0,0.08442936328296903,0.18327449051007927,0.0
2012-12-18,502174954.6795884,1408754.679588397,500766200.0,0.9971946934699537,Bull,1.0,0.0,0.0,0.0,0.7219559570256209,0.0,0.0,0.0858529474603294,0.1893857889840034,0.0,0.7322961462069517,0.0,0.0,0.0874142719899055,0.1802895818031428,0.0
2012-12-19,503747554.6795884,1408754.679588397,502338800.0,0.9972034510808009,Bull,1.0,0.0,0.0,0.0,0.7224821175191444,0.0,0.0,0.08539793315197826,0.18932340040967824,0.0,0.7322961462069517,0.0,0.0,0.0874142719899055,0.1802895818031428,0.0
2012-12-20,497916054.6795884,1408754.679588397,496507300.0,0.9971706984212532,Bull,1.0,0.0,0.0,0.0,0.7225985115734598,0.0,0.0,0.08534992917098669,0.18922225767680662,0.0,0.7322961462069517,0.0,0.0,0.08325556474389051,0.1844482890491578,0.0
2012-12-21,491886654.6795884,1408754.679588397,490477900.0,0.9971360176858101,Bull,1.0,0.0,0.0,0.0,0.7212084260165252,0.0,0.0,0.0852885509311641,0.1906390407381208,0.0,0.7308595064978729,0.0,0.0,0.07265023814935412,0.19649025535277292,0.0
2012-12-22,492982254.6795884,1408754.679588397,491573500.0,0.9971423825782452,Bull,1.0,0.0,0.0,0.0,0.7211480669442437,0.0,0.0,0.08523856508245196,0.19075575055154947,0.0,0.7308595064978729,0.0,0.0,0.06916842465217332,0.19997206884995372,0.0
2012-12-24,493275033.0860146,2432383.0860146475,490842650.0,0.9950689110073193,Bull,1.0,0.0,0.0,0.0,0.7250876813334112,0.0,0.0,0.07340124184571575,0.19657998782819247,0.0,0.7308595064978729,0.0,0.0,0.06916842465217332,0.19997206884995372,0.0
2012-12-25,499226133.0860146,2432383.0860146475,496793750.0,0.9951276927932866,Bull,1.0,0.0,0.0,0.0,0.7242384283150195,0.0,0.0,0.07333550384008458,0.19755376063818256,0.0,0.7308595064978729,0.0,0.0,0.06916842465217332,0.19997206884995372,0.0
2012-12-26,497177833.0860146,2432383.0860146475,494745450.0,0.9951076195997784,Bull,1.0,0.0,0.0,0.0,0.7234748334762756,0.0,0.0,0.07363522177318452,0.19799756435031832,0.0,0.7308595064978729,0.0,0.0,0.06916842465217332,0.19997206884995372,0.0
2012-12-27,498070083.0860146,2432383.0860146475,495637700.0,0.9951163838812729,Bull,1.0,0.0,0.0,0.0,0.7240310394987581,0.0,0.0,0.07362718871365535,0.19745815566885938,0.0,0.7452549527972793,0.0,0.0,0.06441945709795821,0.1903255901047625,0.0
2012-12-28,501606994.2718553,5897394.271855273,495709600.0,0.9882429983249813,Bull,1.0,0.0,0.0,0.0,0.728327364195405,0.0,0.0,0.0678214227243458,0.19209421140523047,0.0,0.7452549527972793,0.0,0.0,0.06867451668218509,0.18607053052053563,0.0
2013-01-02,506261938.91360813,2274738.9136081496,503987200.0,0.9955067945291532,Bull,1.0,0.0,0.0,0.0,0.7409338351702767,0.0,0.0,0.06663546557023865,0.1879374937886379,0.0,0.7452549527972793,0.0,0.0,0.06867451668218509,0.18607053052053563,0.0
2013-01-03,507930288.91360813,2274738.9136081496,505655550.0,0.9955215529310656,Bull,1.0,0.0,0.0,0.0,0.7412103751584591,0.0,0.0,0.0654414606206987,0.18886971715190784,0.0,0.7452549527972793,0.0,0.0,0.06575054912769152,0.18899449807502922,0.0
2013-01-04,503681588.91360813,2274738.9136081496,501406850.0,0.9954837759336915,Bull,1.0,0.0,0.0,0.0,0.7396890380758053,0.0,0.0,0.06654720112421884,0.18924753673366737,0.0,0.7410893020021432,0.0,0.0,0.05941139830192608,0.1994992996959307,0.0
2013-01-07,501680688.91360813,2274738.9136081496,499405950.0,0.9954657634549695,Bull,1.0,0.0,0.0,0.0,0.7391037928985394,0.0,0.0,0.0672312104997293,0.18913076005670085,0.0,0.7410893020021432,0.0,0.0,0.05941139830192608,0.1994992996959307,0.0
2013-01-08,501581338.91360813,2274738.9136081496,499306600.0,0.9954648653426081,Bull,1.0,0.0,0.0,0.0,0.7398987386648395,0.0,0.0,0.06761834495968295,0.18794778171808574,0.0,0.7487286728182495,0.0,0.0,0.05674010405268008,0.1945312231290705,0.0
2013-01-09,500972088.91360813,2274738.9136081496,498697350.0,0.9954593500038275,Bull,1.0,0.0,0.0,0.0,0.7396079705827606,0.0,0.0,0.06697678521923853,0.18887459420182834,0.0,0.7487286728182495,0.0,0.0,0.05674010405268008,0.1945312231290705,0.0
2013-01-10,507705138.91360813,2274738.9136081496,505430400.0,0.9955195668917678,Bull,1.0,0.0,0.0,0.0,0.7413013403908886,0.0,0.0,0.06647047156586396,0.1877477549350153,0.0,0.7487286728182495,0.0,0.0,0.05674010405268008,0.1945312231290705,0.0
2013-01-11,507826988.91360813,2274738.9136081496,505552250.0,0.9955206419444652,Bull,1.0,0.0,0.0,0.0,0.7418536395750525,0.0,0.0,0.06613650068471184,0.18753050168470095,0.0,0.7487286728182495,0.0,0.0,0.05674010405268008,0.1945312231290705,0.0
2013-01-14,507783388.91360813,2274738.9136081496,505508650.0,0.9955202573316254,Bull,1.0,0.0,0.0,0.0,0.7416021441852806,0.0,0.0,0.06619929035472856,0.18771882279161634,0.0,0.7487286728182495,0.0,0.0,0.05674010405268008,0.1945312231290705,0.0
2013-01-15,505442888.91360813,2274738.9136081496,503168150.0,0.9954995134692716,Bull,1.0,0.0,0.0,0.0,0.7423559777574268,0.0,0.0,0.066285629365589,0.18685790634625588,0.0,0.7487286728182495,0.0,0.0,0.05674010405268008,0.1945312231290705,0.0
2013-01-16,502113788.91360813,2274738.9136081496,499839050.0,0.9954696744765169,Bull,1.0,0.0,0.0,0.0,0.7418104386376181,0.0,0.0,0.06660741198197674,0.18705182385692212,0.0,0.7487286728182495,0.0,0.0,0.05674010405268008,0.1945312231290705,0.0
2013-01-17,498773538.91360813,2274738.9136081496,496498800.0,0.9954393352170149,Bull,1.0,0.0,0.0,0.0,0.7415232989416096,0.0,0.0,0.06701418056940964,0.18690185570599566,0.0,0.7487286728182495,0.0,0.0,0.05674010405268008,0.1945312231290705,0.0
2013-01-18,503570988.91360813,2274738.9136081496,501296250.0,0.9954827840290887,Bull,1.0,0.0,0.0,0.0,0.7409785476422958,0.0,0.0,0.06712539193912755,0.18737884444766537,0.0,0.7487286728182495,0.0,0.0,0.05674010405268008,0.1945312231290705,0.0
2013-01-21,502969938.91360813,2274738.9136081496,500695200.0,0.995477385947714,Bull,1.0,0.0,0.0,0.0,0.7407512282041072,0.0,0.0,0.06729726248274638,0.18742889526086037,0.0,0.7574641241487279,0.0,0.0,0.0597270368910787,0.18280883896019343,0.0
2013-01-22,505256849.6152379,4474499.6152379,500782350.0,0.9911441089444996,Bull,1.0,0.0,0.0,0.0,0.7455861316612992,0.0,0.0,0.061881397597696335,0.1836765796855041,0.0,0.7670158430125162,0.0,0.0,0.06178208170859074,0.17120207527889303,0.0
2013-01-23,504798010.0467738,4717210.0467737755,500080800.0,0.9906552522932158,Bull,1.0,0.0,0.0,0.0,0.7540727031882102,0.0,0.0,0.06221577616181556,0.1743667729431901,0.0,0.7670158430125162,0.0,0.0,0.06178208170859074,0.17120207527889303,0.0
2013-01-24,501515310.0467738,4717210.0467737755,496798100.0,0.9905940856594511,Bull,1.0,0.0,0.0,0.0,0.7535744022744838,0.0,0.0,0.062486626773322757,0.17453305661164448,0.0,0.7670158430125162,0.0,0.0,0.06748536988503959,0.16549878710244417,0.0
2013-01-25,499815610.0467738,4717210.0467737755,495098400.0,0.9905620993983514,Bull,1.0,0.0,0.0,0.0,0.7536043141284664,0.0,0.0,0.062483442638130916,0.1744743426317541,0.0,0.7730433960940196,0.0,0.0,0.07705410458404313,0.14990249932193728,0.0
2013-01-28,504959202.752794,9230202.752794027,495729000.0,0.9817208940792139,Bull,1.0,0.0,0.0,0.0,0.765326184557514,0.0,0.0,0.06119900346707566,0.15519570605462418,0.0,0.7730433960940196,0.0,0.0,0.07378096293610292,0.15317564096987749,0.0
2013-01-29,508495602.752794,9230202.752794027,499265400.0,0.9818480185417034,Bull,1.0,0.0,0.0,0.0,0.7642176213447398,0.0,0.0,0.061363559155829,0.15626683804113464,0.0,0.767850392609017,0.0,0.0,0.06632557020006016,0.1658240371909228,0.0
2013-01-30,509036002.752794,9230202.752794027,499805800.0,0.9818672889483683,Bull,1.0,0.0,0.0,0.0,0.7643791360450375,0.0,0.0,0.061100786254414466,0.15638736664891636,0.0,0.767850392609017,0.0,0.0,0.06632557020006016,0.1658240371909228,0.0
2013-01-31,512732002.752794,9230202.752794027,503501800.0,0.9819979975830683,Bull,1.0,0.0,0.0,0.0,0.7659822244201819,0.0,0.0,0.06075571611046712,0.15526005705241927,0.0,0.767850392609017,0.0,0.0,0.07079320351234047,0.16135640387864253,0.0
2013-02-01,513849502.752794,9230202.752794027,504619300.0,0.9820371476408053,Bull,1.0,0.0,0.0,0.0,0.7659657115389898,0.0,0.0,0.060581551277624025,0.15548988482419146,0.0,0.767850392609017,0.0,0.0,0.07079320351234047,0.16135640387864253,0.0
2013-02-04,527600102.752794,9230202.752794027,518369900.0,0.9825053052403995,Bull,1.0,0.0,0.0,0.0,0.7706909037326692,0.0,0.0,0.05927159573479517,0.152542805772935,0.0,0.767850392609017,0.0,0.0,0.07079320351234047,0.16135640387864253,0.0
2013-02-05,525022102.752794,9230202.752794027,515791900.0,0.9824194015749085,Bull,1.0,0.0,0.0,0.0,0.7706991722413664,0.0,0.0,0.058983802467800384,0.1527364268657416,0.0,0.767850392609017,0.0,0.0,0.06767310334780999,0.16447650404317304,0.0
2013-02-06,527935302.752794,9230202.752794027,518705100.0,0.9825164130819338,Bull,1.0,0.0,0.0,0.0,0.7710980831880835,0.0,0.0,0.05842003715072978,0.15299829274312063,0.0,0.767850392609017,0.0,0.0,0.06488070902536194,0.16726889836562106,0.0
2013-02-18,528395902.752794,9230202.752794027,519165700.0,0.9825316534350337,Bull,1.0,0.0,0.0,0.0,0.7719757058578802,0.0,0.0,0.057139163726871556,0.15341678385028196,0.0,0.767850392609017,0.0,0.0,0.06179485135063555,0.17035475604034744,0.0
2013-02-19,526449849.2487314,2500449.2487314036,523949400.0,0.9952503562261446,Bull,1.0,0.0,0.0,0.0,0.7684703501716785,0.0,0.0,0.059972664148457026,0.16680734190600893,0.0,0.767850392609017,0.0,0.0,0.05925770072077194,0.17289190667021107,0.0
2013-02-20,533592599.2487314,2500449.2487314036,531092150.0,0.9953139356650526,Bull,1.0,0.0,0.0,0.0,0.7701106622890946,0.0,0.0,0.05929804881954653,0.16590522455641138,0.0,0.767850392609017,0.0,0.0,0.05925770072077194,0.17289190667021107,0.0
2013-02-21,526853799.2487314,2500449.2487314036,524353350.0,0.9952539978789241,Bull,1.0,0.0,0.0,0.0,0.7688401423271607,0.0,0.0,0.059584651462633614,0.16682920408912974,0.0,0.767850392609017,0.0,0.0,0.05925770072077194,0.17289190667021107,0.0
2013-02-22,526269399.2487314,2500449.2487314036,523768950.0,0.9952487276434828,Bull,1.0,0.0,0.0,0.0,0.7689881847162626,0.0,0.0,0.059845774892023466,0.16641476803519678,0.0,0.767850392609017,0.0,0.0,0.05925770072077194,0.17289190667021107,0.0
2013-02-23,530448749.2487314,2500449.2487314036,527948300.0,0.9952861624195123,Bull,1.0,0.0,0.0,0.0,0.7694083558082329,0.0,0.0,0.059881751149356614,0.1659960554619228,0.0,0.767850392609017,0.0,0.0,0.05925770072077194,0.17289190667021107,0.0
2013-02-25,526060299.2487314,2500449.2487314036,523559850.0,0.9952468390937269,Bull,1.0,0.0,0.0,0.0,0.7681025361105016,0.0,0.0,0.060063456689515994,0.16708084629370928,0.0,0.767850392609017,0.0,0.0,0.05925770072077194,0.17289190667021107,0.0
2013-02-26,523767549.2487314,2500449.2487314036,521267100.0,0.9952260325170623,Bull,1.0,0.0,0.0,0.0,0.7688267449512582,0.0,0.0,0.060394730535277844,0.16600455703052627,0.0,0.767850392609017,0.0,0.0,0.05925770072077194,0.17289190667021107,0.0
2013-02-27,523170599.2487314,2500449.2487314036,520670150.0,0.9952205853075039,Bull,1.0,0.0,0.0,0.0,0.7684956887434934,0.0,0.0,0.06022930196239694,0.16649559460161353,0.0,0.767850392609017,0.0,0.0,0.05925770072077194,0.17289190667021107,0.0
2013-03-01,526453149.2487314,2500449.2487314036,523952700.0,0.9952503859986409,Bull,1.0,0.0,0.0,0.0,0.7692097588890543,0.0,0.0,0.059983685243528054,0.1660569418660585,0.0,0.767850392609017,0.0,0.0,0.05925770072077194,0.17289190667021107,0.0
2013-03-04,518594149.2487314,2500449.2487314036,516093700.0,0.9951784082941281,Bull,1.0,0.0,0.0,0.0,0.7678335757872495,0.0,0.0,0.060749239160601785,0.16659559334627674,0.0,0.767850392609017,0.0,0.0,0.05925770072077194,0.17289190667021107,0.0
2013-03-05,523183099.2487314,2500449.2487314036,520682650.0,0.9952206994982791,Bull,1.0,0.0,0.0,0.0,0.7685417410795213,0.0,0.0,0.060187341764703146,0.16649161665405462,0.0,0.767850392609017,0.0,0.0,0.05925770072077194,0.17289190667021107,0.0
2013-03-06,522791949.2487314,2500449.2487314036,520291500.0,0.9952171236524882,Bull,1.0,0.0,0.0,0.0,0.7674467837091957,0.0,0.0,0.060399552910821004,0.16737078703247138,0.0,0.767850392609017,0.0,0.0,0.05925770072077194,0.17289190667021107,0.0
2013-03-07,523620849.2487314,2500449.2487314036,521120400.0,0.9952246950206072,Bull,1.0,0.0,0.0,0.0,0.7676692029676163,0.0,0.0,0.060600337143807644,0.16695515490918317,0.0,0.767850392609017,0.0,0.0,0.05925770072077194,0.17289190667021107,0.0
2013-03-08,531431299.2487314,2500449.2487314036,528930850.0,0.995294877715584,Bull,1.0,0.0,0.0,0.0,0.7696130253866984,0.0,0.0,0.05999270281044913,0.16568914951843647,0.0,0.767850392609017,0.0,0.0,0.05925770072077194,0.17289190667021107,0.0
2013-03-11,530676649.2487314,2500449.2487314036,528176200.0,0.995288186785171,Bull,1.0,0.0,0.0,0.0,0.7690811355234615,0.0,0.0,0.05998492687602666,0.16622212438568282,0.0,0.767850392609017,0.0,0.0,0.05925770072077194,0.17289190667021107,0.0
2013-03-12,526468599.2487314,2500449.2487314036,523968150.0,0.9952505253830912,Bull,1.0,0.0,0.0,0.0,0.7684535233009433,0.0,0.0,0.06029533393881039,0.16650166814333747,0.0,0.767850392609017,0.0,0.0,0.05925770072077194,0.17289190667021107,0.0
2013-03-13,526467099.2487314,2500449.2487314036,523966650.0,0.9952505118509789,Bull,1.0,0.0,0.0,0.0,0.7678511165785334,0.0,0.0,0.0605975189057873,0.16680187636665808,0.0,0.761478827354735,0.0,0.0,0.057380022695249736,0.1811411499500153,0.0
2013-03-14,525497099.2487314,2500449.2487314036,522996650.0,0.995241744907239,Bull,1.0,0.0,0.0,0.0,0.7679000523064717,0.0,0.0,0.060382064992105855,0.16695962760866145,0.0,0.761478827354735,0.0,0.0,0.057380022695249736,0.1811411499500153,0.0
2013-03-15,524665199.2487314,2500449.2487314036,522164750.0,0.9952342003008552,Bull,1.0,0.0,0.0,0.0,0.7685261964722829,0.0,0.0,0.060686700862935095,0.16602130296563714,0.0,0.761478827354735,0.0,0.0,0.057380022695249736,0.1811411499500153,0.0
2013-03-18,516541147.84866625,512847.84866627865,516028300.0,0.9990071500580308,Bull,1.0,0.0,0.0,0.0,0.7624387749945194,0.0,0.0,0.05878486181878415,0.1777835132447273,0.0,0.761478827354735,0.0,0.0,0.06115270115423876,0.17736847149102625,0.0
2013-03-19,516261047.84866625,512847.84866627865,515748200.0,0.9990066113823551,Bull,1.0,0.0,0.0,0.0,0.7624844090801707,0.0,0.0,0.05831584646073309,0.17820635584145142,0.0,0.761478827354735,0.0,0.0,0.06488350438472351,0.1736376682605415,0.0
2013-03-20,513409597.84866625,512847.84866627865,512896750.0,0.9990010941540337,Bull,1.0,0.0,0.0,0.0,0.7628250458135011,0.0,0.0,0.058128636716286756,0.17804741162424584,0.0,0.761478827354735,0.0,0.0,0.06488350438472351,0.1736376682605415,0.0
2013-03-21,513104197.84866625,512847.84866627865,512591350.0,0.9990004996045315,Bull,1.0,0.0,0.0,0.0,0.7624159997914873,0.0,0.0,0.05826691756830598,0.17831758224473826,0.0,0.761478827354735,0.0,0.0,0.06488350438472351,0.1736376682605415,0.0
2013-03-22,510846247.84866625,512847.84866627865,510333400.0,0.998996081794031,Bull,1.0,0.0,0.0,0.0,0.7618606413162796,0.0,0.0,0.05852445843716313,0.1786109820405882,0.0,0.761478827354735,0.0,0.0,0.06488350438472351,0.1736376682605415,0.0
2013-03-25,517756647.84866625,512847.84866627865,517243800.0,0.9990094809003474,Bull,1.0,0.0,0.0,0.0,0.7635649907011008,0.0,0.0,0.05791562527414344,0.177528864925103,0.0,0.761478827354735,0.0,0.0,0.06488350438472351,0.1736376682605415,0.0
2013-03-26,516087247.84866625,512847.84866627865,515574400.0,0.9990062768440723,Bull,1.0,0.0,0.0,0.0,0.7627021431760364,0.0,0.0,0.058201011796377065,0.17810312187165883,0.0,0.761478827354735,0.0,0.0,0.06754469552396306,0.17097647712130196,0.0
2013-03-27,519918297.84866625,512847.84866627865,519405450.0,0.9990135991543512,Bull,1.0,0.0,0.0,0.0,0.7641461199652586,0.0,0.0,0.05759058706703837,0.1772768921220541,0.0,0.761478827354735,0.0,0.0,0.06341294795402652,0.1751082246912385,0.0
2013-03-28,518505297.84866625,512847.84866627865,517992450.0,0.9990109110730515,Bull,1.0,0.0,0.0,0.0,0.7640259446599192,0.0,0.0,0.05771242863700467,0.17727253777612764,0.0,0.761478827354735,0.0,0.0,0.06341294795402652,0.1751082246912385,0.0
