date,nav_base,nav_blend025,rel_blend025_vs_base
2012-12-04,15000000.0,15000000.0,1.0
2012-12-05,15025504.719953874,15026664.00463225,1.0000771544583682
2012-12-06,15020847.068295626,15021055.28390675,1.0000138617755827
2012-12-07,15025017.948386252,15026724.808569875,1.0001136012076315
2012-12-10,14926033.338995503,14935833.06791,1.0006565527955036
2012-12-11,14947311.651990253,14954756.83162025,1.000498094895145
2012-12-12,15109249.418733254,15107874.306102624,0.9999089886868288
2012-12-13,15162627.294715503,15165629.681988375,1.0001980123374739
2012-12-14,15149077.294715503,15140629.681988375,0.9994423678378039
2012-12-17,15057377.294715503,15043966.76627525,0.9991093715606794
2012-12-18,15078708.920070503,15067266.76627525,0.9992411715183371
2012-12-19,15131058.920070503,15115816.76627525,0.9989926578254853
2012-12-20,14958758.920070503,14942166.76627525,0.998890806791933
2012-12-21,14769058.920070503,14761516.76627525,0.9994893273947872
2012-12-22,14798958.920070503,14793616.76627525,0.9996390182698589
2012-12-24,14818258.920070503,14804666.76627525,0.9990827428601046
2012-12-25,14989958.920070503,14982016.76627525,0.9994701684082257
2012-12-26,14927308.920070503,14922616.76627525,0.9996856664640373
2012-12-27,14950758.920070503,14946366.76627525,0.9997062253616198
2012-12-28,15058054.099700503,15056159.792496,0.9998741997344437
2013-01-02,15204704.099700503,15195359.792496,0.9993854331433726
2013-01-03,15251854.099700503,15241809.792496,0.9993414369729186
2013-01-04,15121004.099700503,15118909.792496,0.9998614968165676
2013-01-07,15055904.099700503,15058315.467789875,1.000160160962331
2013-01-08,15057404.099700503,15055242.967693375,0.9998564737990149
2013-01-09,15030654.099700503,15035192.967693375,1.000301974083281
2013-01-10,15244004.099700503,15236542.967693375,0.9995105530044253
2013-01-11,15253104.099700503,15240292.967693375,0.9991600967302532
2013-01-14,15248454.099700503,15238992.967693375,0.999379535004318
2013-01-15,15182304.099700503,15167842.967693375,0.9990475008330644
2013-01-16,15080454.099700503,15068492.967693375,0.9992068453689756
2013-01-17,14979104.099700503,14968242.967693375,0.9992749144451607
2013-01-18,15119654.099700505,15113342.967693377,0.9995825875403292
2013-01-21,15098104.099700503,15094642.967693375,0.9997707571769097
2013-01-22,15168960.675807502,15164087.315419875,0.9996787281283286
2013-01-23,15155908.949581126,15152193.247358873,0.9997548347489673
2013-01-24,15054774.69891988,15054134.647066625,0.9999574851257454
2013-01-25,15004933.139792254,15002608.351077,0.9998450650400375
2013-01-28,15172903.898712503,15153885.60264275,0.9987465618844811
2013-01-29,15268742.384251129,15260764.584914126,0.9994775077648024
2013-01-30,15287792.384251129,15277164.584914126,0.999304817918122
2013-01-31,15416092.384251129,15390164.584914126,0.9983181341489954
2013-02-01,15448942.384251129,15423664.584914126,0.998363784477391
2013-02-04,15894892.384251129,15834864.584914126,0.9962234535543959
2013-02-05,15815092.384251129,15755964.584914126,0.9962613054732526
2013-02-06,15905542.384251129,15842864.584914126,0.9960593736558734
2013-02-18,15911742.38425113,15850064.584914127,0.9961237557869181
2013-02-19,15845792.384251129,15789738.82449025,0.9964625587410453
2013-02-20,16073692.384251129,16004788.82449025,0.995713271218977
2013-02-21,15857592.384251129,15800738.82449025,0.9964147420123282
2013-02-22,15843442.384251129,15784688.82449025,0.9962916165353508
2013-02-23,15974692.384251129,15911888.82449025,0.9960685590526428
2013-02-25,15829342.384251129,15778988.82449025,0.9968189733636075
2013-02-26,15767292.384251129,15711188.82449025,0.9964417758995249
2013-02-27,15749342.384251129,15693538.82449025,0.9964567688987014
2013-03-01,15853942.384251129,15791388.82449025,0.9960543845660106
2013-03-04,15606842.384251129,15555388.82449025,0.9967031409369007
2013-03-05,15748892.384251129,15691988.82449025,0.9963868214746465
2013-03-06,15729692.384251129,15680588.82449025,0.9968782886173894
2013-03-07,15756242.384251129,15705888.82449025,0.9968042152098898
2013-03-08,16009692.384251129,15942338.82449025,0.9957929510358903
2013-03-11,15981842.384251129,15918738.82449025,0.9960515466087274
2013-03-12,15850042.384251129,15792838.82449025,0.9963909522527385
2013-03-13,15845592.384251129,15793638.82449025,0.9967212611241649
2013-03-14,15818092.384251129,15763723.62330175,0.9965628749896852
2013-03-15,15797342.384251129,15737973.62330175,0.9962418513503534
2013-03-18,15548742.384251129,15497223.62330175,0.9966866284310195
2013-03-19,15537592.384251129,15486773.62330175,0.9967293027328424
2013-03-20,15453192.384251129,15400723.62330175,0.9966046652597912
2013-03-21,15443342.384251129,15392573.62330175,0.9967125794607032
2013-03-22,15371792.384251129,15325423.62330175,0.9969835163141492
2013-03-25,15591742.384251129,15532073.62330175,0.9961730536922128
2013-03-26,15532342.384251129,15481123.62330175,0.9967024445069333
2013-03-27,15659742.384251129,15596273.62330175,0.9959470111709368
2013-03-28,15616142.856210753,15554373.62330175,0.9960445269054108
2013-03-29,15686792.856210753,15632473.62330175,0.996537263326742
2013-04-01,15621792.856210753,15575023.62330175,0.9970061545854892
2013-04-02,15579692.856210753,15536623.62330175,0.9972355531455914
2013-04-03,15644792.856210753,15593473.62330175,0.9967197243593653
2013-04-08,15239892.856210753,15204973.62330175,0.9977086956425174
2013-04-09,15258642.856210753,15215623.62330175,0.9971806645378365
2013-04-10,15254442.856210753,15209773.62330175,0.9970717230822483
2013-04-11,15315942.856210753,15280623.62330175,0.9976939563407498
2013-04-12,15278642.856210753,15249423.62330175,0.9980875766791599
2013-04-15,15203792.856210753,15176173.62330175,0.9981833984999525
2013-04-16,15173742.856210753,15154623.62330175,0.9987399791145678
2013-04-17,15016342.856210753,15011573.62330175,0.9996823971752196
2013-04-18,15024328.39205763,15015323.62330175,0.9994006541576501
2013-04-19,15248732.20045738,15253773.62330175,1.000330612589827
2013-04-22,15273532.69001988,15275574.11286425,1.0001336575424822
2013-04-23,15295284.89213238,15292374.11286425,0.999809694341187
2013-04-24,15367934.89213238,15363623.7180085,0.9997194695218232
2013-04-25,15334834.89213238,15336323.7180085,1.0000970878321542
2013-04-26,15299634.89213238,15310623.7180085,1.0007182410530444
2013-04-29,15298234.89213238,15314723.7180085,1.0010778253826265
2013-04-30,15392584.89213238,15412623.7180085,1.0013018493005916
2013-05-02,15464584.89213238,15483423.7180085,1.001218191500614
2013-05-03,15523234.89213238,15541023.7180085,1.0011459483799434
2013-05-06,15525384.89213238,15545873.7180085,1.0013196984176864
2013-05-07,15534984.89213238,15555723.7180085,1.001334975606357
2013-05-08,15618734.89213238,15650173.7180085,1.0020128919591278
