date,breadth_63d,mkt_mom_63d,mkt_mom_21d,mkt_vol_60d,mean_mom_fam,mean_def_fam,mean_val_fam,mean_grw_fam,mean_qual_fam,disp_mom_fam,disp_grw_fam,mom_minus_val,grw_minus_val,mom_minus_def,risk_on,vol20,dd120,breadth60,ew_mom63,crisis_vote2,crisis_strict,mom_ic_same_day,mom_ic_lag1,mom_ic_lag21,val_ic_same_day,val_ic_lag1,val_ic_lag21,year,month
2005-02-03,0.5466666666666666,0.018201754385964608,-0.008798613785136689,0.2912216717964181,0.5,0.5,,0.5,,0.2242021302361893,0.2916191462183911,,,-2.960594732333751e-18,true,0.16610032839284755,-0.061534335887252434,0.48333333333333334,-0.003182861272655435,false,false,-0.10186377037566884,,,,,,2005,2
2005-02-14,0.58,0.025714285714285356,0.0016949152542373724,0.2906545589845534,0.5,0.5,,0.5,,0.22483862004472072,0.2916191462183911,,,3.7007434154171884e-18,true,0.17611252148847967,-0.04752534035567946,0.5,0.015484150164923882,false,false,0.014909319126007792,-0.10186377037566884,,,,,2005,2
2005-02-15,0.6333333333333333,0.025882569667738387,0.01635504044737579,0.29590331941109843,0.5,0.5000000000000001,,0.5,,0.22083702246974726,0.2916191462183911,,,7.031412489292659e-18,true,0.17174823547326593,-0.05173137927928173,0.48333333333333334,0.010807933634720657,false,false,0.09406746818679292,0.014909319126007792,,,,,2005,2
2005-02-16,0.6666666666666666,0.043836055075248015,0.026592236668550817,0.3010363923566981,0.5,0.5,,0.5,,0.21486966728793894,0.2916191462183911,,,-3.7007434154171884e-18,true,0.17080133023171112,-0.049323570902761626,0.5,0.012982834240063967,false,false,0.09125642939444016,0.09406746818679292,,,,,2005,2
2005-02-17,0.6533333333333333,0.030709876543209558,0.010157588215142122,0.30020878848877897,0.5,0.5,,0.5000000000000001,,0.21368522426589834,0.2916191462183911,,,-2.220446049250313e-18,true,0.1767822988521182,-0.03683382903461141,0.5166666666666667,0.02661540183534372,false,false,0.20229601422170296,0.09125642939444016,,,,,2005,2
2005-02-18,0.68,0.05339193208193249,0.03499285860028567,0.2929286439108617,0.5,0.5,,0.5,,0.21288157380093378,0.2916191462183911,,,-5.921189464667502e-18,true,0.17199761004189654,-0.04005728946946219,0.5,0.01814113053428379,false,false,0.27256499976766113,0.20229601422170296,,,,,2005,2
2005-02-21,0.7066666666666667,0.06360294117647036,0.05082665977783507,0.3035068919204964,0.5,0.5,,0.5,,0.21892016312458823,0.2916392993978598,,,1.0362081563168128e-17,true,0.17482471259967586,-0.022099564299150498,0.5,0.048313405055398606,false,false,0.22988650843303052,0.27256499976766113,,,,,2005,2
2005-02-22,0.5933333333333334,0.03369565217391324,0.02793659043659036,0.2944206000426878,0.5,0.5,,0.5,,0.22527427365989483,0.2916392993978598,,,-3.7007434154171884e-18,true,0.16298644384212446,-0.009301770638364681,0.5166666666666667,0.06574280803313304,false,false,0.1521341810560745,0.22988650843303052,0.11473099553628095,,,,2005,2
2005-02-23,0.5933333333333334,0.029669405798279702,0.022828299275421293,0.2951068835595949,0.5,0.5,,0.5,,0.22034942465285068,0.2916191462183911,,,-1.1102230246251566e-18,true,0.18232776198073536,-0.029999463524860936,0.5166666666666667,0.019549815773717283,false,false,0.1599607441209045,0.1521341810560745,0.11940639372625514,,,,2005,2
2005-02-24,0.6266666666666667,0.038104838709677735,0.029156749404964266,0.29921357229857504,0.5,0.5,,0.5,,0.221505626870634,0.2916191462183911,,,-7.401486830834377e-18,true,0.18702908653394135,-0.015998688417454332,0.5333333333333333,0.03011559819615095,false,false,0.14556790990118787,0.1599607441209045,0.12391243265899396,,,,2005,2
