challenger,cagr,max_drawdown,utility,average_daily_turnover,block_bootstrap_positive_probability,mean_gross_exposure,turnover_gate_pass,bootstrap_gate_pass,s_n_days,s_n_crisis_days,s_crisis_day_share,s_crisis_mean_excess,s_crisis_hit_rate,s_crisis_sum_excess,s_crisis_strategy_compound,s_other_mean_excess,s_all_mean_excess,both_gates_pass,detector,is_baseline,controller,stress_day_share
BASE::HIGH_VOL_NONCRISIS_vol0.415_valic0.00,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.020450275367238705,0.8066,0.9994929006085193,true,true,1971,408,0.2070015220700152,0.00010149189478091312,0.4877450980392157,0.041408693070612554,0.4891711862476147,0.00012553503894535475,0.00012055807150796657,true,HIGH_VOL_NONCRISIS_vol0.415_valic0.00,true,BASE_FULL,0.20689655172413793
CASH_090::HIGH_VOL_NONCRISIS_vol0.415_valic0.00,0.10706259606901947,-0.28905047945912443,-0.03746264366054275,0.020411450980650912,0.809,0.9944298218130466,true,true,1971,408,0.2070015220700152,0.00011571156902315889,0.48284313725490197,0.04721032016144883,0.49940694474790304,0.00012604820649450183,0.00012390850680484795,true,HIGH_VOL_NONCRISIS_vol0.415_valic0.00,false,CASH_090,0.20689655172413793
CASH_085::HIGH_VOL_NONCRISIS_vol0.415_valic0.00,0.10730155595276858,-0.2821762213314071,-0.03378655471293496,0.020366027791696644,0.8098,0.9881870943361707,true,true,1971,408,0.2070015220700152,0.00011433359116094729,0.4877450980392157,0.046648105193666495,0.49989805657656206,0.00012598457477880066,0.0001235728034362922,true,HIGH_VOL_NONCRISIS_vol0.415_valic0.00,false,CASH_085,0.20689655172413793
CASH_070::HIGH_VOL_NONCRISIS_vol0.415_valic0.00,0.10684679088287474,-0.2615610592713543,-0.023933738752802414,0.02021136235965932,0.8032,0.9606274556971129,true,true,1971,408,0.2070015220700152,0.00007996438319153868,0.47794117647058826,0.03262546834214778,0.483016016714251,0.000128815208057578,0.0001187030129559321,true,HIGH_VOL_NONCRISIS_vol0.415_valic0.00,false,CASH_070,0.20689655172413793
SLEEVE_VALUE::HIGH_VOL_NONCRISIS_vol0.415_valic0.00,0.06072414326130082,-0.2499521626946296,-0.06425193808601398,0.023936409063049106,0.4144,0.9994929006085193,true,false,1971,408,0.2070015220700152,-0.00014279172694930156,0.4387254901960784,-0.05825902459531504,0.34987782718369975,-0.00001990652671236197,-0.00004534395020128707,false,HIGH_VOL_NONCRISIS_vol0.415_valic0.00,false,SLEEVE_VALUE,0.20689655172413793
SLEEVE_VALUE_CASH085::HIGH_VOL_NONCRISIS_vol0.415_valic0.00,0.06410844926563919,-0.2499521626946296,-0.060867632081675616,0.0237236498668742,0.4398,0.9880798038821111,true,false,1971,408,0.2070015220700152,-0.00015763104143106836,0.42401960784313725,-0.06431346490387589,0.34255432177620415,-2.6944890774203705e-6,-0.00003476659123890605,false,HIGH_VOL_NONCRISIS_vol0.415_valic0.00,false,SLEEVE_VALUE_CASH085,0.20689655172413793
BASE::HIGH_VOL_NONCRISIS_vol0.438_valic0.00,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.020450275367238705,0.8066,0.9994929006085193,true,true,1971,245,0.12430238457635717,0.0005119131513733652,0.5020408163265306,0.12541872208647448,0.4798963466005701,0.00006500651034514922,0.00012055807150796657,true,HIGH_VOL_NONCRISIS_vol0.438_valic0.00,true,BASE_FULL,0.1242393509127789
CASH_090::HIGH_VOL_NONCRISIS_vol0.438_valic0.00,0.10555710047450773,-0.28905047945912443,-0.03896813925505449,0.02046631700443562,0.8046,0.9968674299231117,true,true,1971,245,0.12430238457635717,0.0005513271798770451,0.5102040816326531,0.13507515906987605,0.495298428723163,0.00005765906800186356,0.0001190231914972565,true,HIGH_VOL_NONCRISIS_vol0.438_valic0.00,false,CASH_090,0.1242393509127789
CASH_085::HIGH_VOL_NONCRISIS_vol0.438_valic0.00,0.10528402678007276,-0.2821762213314071,-0.03580408388563078,0.02046423985490395,0.8016,0.9946889398733502,true,true,1971,245,0.12430238457635717,0.0005625579321025122,0.5102040816326531,0.1378266933651155,0.5003343009646593,0.000053924690452968305,0.00011714901526480916,true,HIGH_VOL_NONCRISIS_vol0.438_valic0.00,false,CASH_085,0.1242393509127789
CASH_070::HIGH_VOL_NONCRISIS_vol0.438_valic0.00,0.10451314832626402,-0.2615610592713543,-0.02626738130941314,0.020497373569072344,0.7958,0.9825341550047371,true,true,1971,245,0.12430238457635717,0.0005614611079759957,0.49795918367346936,0.13755797145411897,0.502731397973825,0.00004796947957078876,0.00011179771344155269,true,HIGH_VOL_NONCRISIS_vol0.438_valic0.00,false,CASH_070,0.1242393509127789
SLEEVE_VALUE::HIGH_VOL_NONCRISIS_vol0.438_valic0.00,0.08823200251955887,-0.2499521626946294,-0.03674407882775582,0.0230703621560724,0.6646,0.9994929006085193,true,false,1971,245,0.12430238457635717,0.0005068762097120965,0.49387755102040815,0.12418467137946364,0.4839885283244445,-0.000012295510759133635,0.00005223877210005025,false,HIGH_VOL_NONCRISIS_vol0.438_valic0.00,false,SLEEVE_VALUE,0.1242393509127789
SLEEVE_VALUE_CASH085::HIGH_VOL_NONCRISIS_vol0.438_valic0.00,0.08873359851313212,-0.2499521626946294,-0.03624248283418258,0.022906129490044894,0.6658,0.9948902964083555,true,false,1971,245,0.12430238457635717,0.0005192925652757198,0.4857142857142857,0.12722667849255134,0.48910260863753363,-0.000012983120644246032,0.00005318001636762185,false,HIGH_VOL_NONCRISIS_vol0.438_valic0.00,false,SLEEVE_VALUE_CASH085,0.1242393509127789
BASE::VAL_WORKS_NONCRISIS_vol0.000_valic0.03,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.020450275367238705,0.8066,0.9994929006085193,true,true,1971,610,0.30948756976154235,-0.000025362878435065416,0.4639344262295082,-0.015471355845389903,0.2709279498488848,0.00018595981982923724,0.00012055807150796657,true,VAL_WORKS_NONCRISIS_vol0.000_valic0.03,true,BASE_FULL,0.3093306288032454
CASH_090::VAL_WORKS_NONCRISIS_vol0.000_valic0.03,0.1049727011274415,-0.3023731520676275,-0.04621387490637224,0.02054021869378752,0.7996,0.9937295835944959,true,true,1971,610,0.30948756976154235,-0.00004031361702874842,0.4639344262295082,-0.024591306387536538,0.2600999170340077,0.0001886378832955742,0.00011778023986694064,true,VAL_WORKS_NONCRISIS_vol0.000_valic0.03,false,CASH_090,0.3093306288032454
CASH_085::VAL_WORKS_NONCRISIS_vol0.000_valic0.03,0.10343378898508448,-0.3023731520676275,-0.04775278704872926,0.02055244911728393,0.7884,0.9834702398804942,true,true,1971,610,0.30948756976154235,-0.000053340805836521454,0.4540983606557377,-0.03253789156027809,0.2509094513762258,0.00018554965762180428,0.00011161602864687853,true,VAL_WORKS_NONCRISIS_vol0.000_valic0.03,false,CASH_085,0.3093306288032454
