challenger,cagr,max_drawdown,utility,average_daily_turnover,block_bootstrap_positive_probability,mean_gross_exposure,turnover_gate_pass,bootstrap_gate_pass,s_n_days,s_n_crisis_days,s_crisis_day_share,s_crisis_mean_excess,s_crisis_hit_rate,s_crisis_sum_excess,s_crisis_strategy_compound,s_other_mean_excess,s_all_mean_excess,both_gates_pass,detector,is_baseline,controller,feature_set,stress_day_share,round
BASE::r3,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.020450275367238705,0.8066,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.00003618134362870352,0.47619047619047616,0.008357890378230513,0.024205838101660104,0.00013175980951952393,0.00012055807150796657,true,COMBO_VOL70_VAL03,true,BASE_FULL,TECH2,0.11713995943204868,r3
RESID_SLEEVE::SHORT_REV::r3,0.09253140478586874,-0.3023731520676275,-0.058655171247945004,0.02433179801065639,0.707,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.00011579626812371934,0.49783549783549785,0.02674893793657917,0.04077158336614617,0.0000715800662637462,0.00007676217820167302,true,COMBO_VOL70_VAL03,false,RESID_SLEEVE,SHORT_REV,0.11713995943204868,r3
SLEEVE::SHORT_REV::r3,0.1048380694987836,-0.3023731520676275,-0.04634850653503014,0.020862955625462996,0.7964,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.00007115105605823078,0.4805194805194805,0.01643589394945131,0.033021748978872,0.00012339131157114433,0.00011726878543036149,true,COMBO_VOL70_VAL03,false,SLEEVE,SHORT_REV,0.11713995943204868,r3
SLEEVE_FREEZE::SHORT_REV::r3,0.10436926740564134,-0.3023731520676275,-0.046817308628172405,0.01927072563991813,0.7846,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.0001583560537857341,0.47619047619047616,0.03658024842450458,0.05524780797426687,0.00010918161950363972,0.00011494483326272839,true,COMBO_VOL70_VAL03,false,SLEEVE_FREEZE,SHORT_REV,0.11713995943204868,r3
RESID_SLEEVE::GROW_QUAL::r3,0.07515904072615487,-0.3023731520676275,-0.07602753530765888,0.0235786091164377,0.553,0.9994929006085193,true,false,1971,231,0.1171993911719939,-0.000060328462363455833,0.46320346320346323,-0.013935874805958298,0.00015918027432038073,0.000022106896421709697,0.000012445522561043382,false,COMBO_VOL70_VAL03,false,RESID_SLEEVE,GROW_QUAL,0.11713995943204868,r3
SLEEVE::GROW_QUAL::r3,0.07292032763162126,-0.3023731520676275,-0.07826624840219248,0.023704146672531092,0.5352,0.9994929006085193,true,false,1971,231,0.1171993911719939,-0.00005738284833364053,0.47186147186147187,-0.013255437965070963,0.0005543318589646962,0.000013246138806782547,4.968464514830367e-6,false,COMBO_VOL70_VAL03,false,SLEEVE,GROW_QUAL,0.11713995943204868,r3
SLEEVE_FREEZE::GROW_QUAL::r3,0.10436926740564134,-0.3023731520676275,-0.046817308628172405,0.01927072563991813,0.7846,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.0001583560537857341,0.47619047619047616,0.03658024842450458,0.05524780797426687,0.00010918161950363972,0.00011494483326272839,true,COMBO_VOL70_VAL03,false,SLEEVE_FREEZE,GROW_QUAL,0.11713995943204868,r3
RESID_SLEEVE::MARGIN_SAFE::r3,0.06988728223685747,-0.3023731520676275,-0.08129929379695627,0.024605949216014875,0.5122,0.9994929006085193,true,false,1971,231,0.1171993911719939,-0.0003090407790801077,0.4675324675324675,-0.07138841996750488,-0.057973277269256274,0.00003735995335136167,-3.2380015911393222e-6,false,COMBO_VOL70_VAL03,false,RESID_SLEEVE,MARGIN_SAFE,0.11713995943204868,r3
SLEEVE::MARGIN_SAFE::r3,0.09075954961332089,-0.3023731520676275,-0.06042702642049286,0.02257776433297782,0.6944,0.9994929006085193,true,false,1971,231,0.1171993911719939,-0.000116391456386352,0.46320346320346323,-0.02688642642524731,-0.013199272908767101,0.00009399165794639005,0.00006933488503372466,false,COMBO_VOL70_VAL03,false,SLEEVE,MARGIN_SAFE,0.11713995943204868,r3
SLEEVE_FREEZE::MARGIN_SAFE::r3,0.10436926740564134,-0.3023731520676275,-0.046817308628172405,0.01927072563991813,0.7846,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.0001583560537857341,0.47619047619047616,0.03658024842450458,0.05524780797426687,0.00010918161950363972,0.00011494483326272839,true,COMBO_VOL70_VAL03,false,SLEEVE_FREEZE,MARGIN_SAFE,0.11713995943204868,r3
RESID_SLEEVE::SAFE4::r3,0.10169791541394169,-0.3023731520676275,-0.04948866061987206,0.024528742916289183,0.792,0.9994929006085193,true,true,1971,231,0.1171993911719939,0.0002932958068732649,0.5108225108225108,0.06775133138772418,0.08020094621971618,0.00009266103707727609,0.0001161753099452992,true,COMBO_VOL70_VAL03,false,RESID_SLEEVE,SAFE4,0.11713995943204868,r3
