date,nav,drawdown
2023-01-03,1.0,0.0
2023-01-04,0.9980786985053769,-0.0019213014946231066
2023-01-05,1.0057626637166035,0.0
2023-01-06,1.0074363323545312,0.0
2023-01-09,1.020184397554138,0.0
2023-01-10,1.0288934715858966,0.0
2023-01-11,1.0303404474743303,0.0
2023-01-12,1.0266171195219091,-0.003613687069694449
2023-01-13,1.0262828846650354,-0.003938079708742159
2023-01-16,1.027879116517418,-0.0023888521147993336
2023-01-17,1.0296504273076728,-0.000669701134560885
2023-01-30,1.0523712332125301,0.0
2023-01-31,1.04998083367825,-0.002271441349630199
2023-02-01,1.04732278654318,-0.004797210822590547
2023-02-02,1.0554021809279248,0.0
2023-02-03,1.0550387527715077,-0.0003443503936078063
2023-02-06,1.0515210719548818,-0.003677374410606893
2023-02-07,1.0504274892357697,-0.004713550703279168
2023-02-08,1.0566771054517032,0.0
2023-02-09,1.053347410462039,-0.003151099775404731
2023-02-10,1.0559517207060338,-0.0006864772047457945
2023-02-13,1.0546928997511704,-0.0018777786424024612
2023-02-14,1.0654454744049493,0.0
2023-02-15,1.0674767818867854,0.0
2023-02-16,1.0705775955324108,0.0
2023-02-17,1.0699944243018968,-0.0005447257937655214
2023-02-20,1.0774284735440622,0.0
2023-02-21,1.0844658388620436,0.0
2023-02-22,1.0803986010090205,-0.0037504527180781677
2023-02-23,1.0830636374264326,-0.0012929881102408114
2023-02-24,1.0916627034796629,0.0
2023-03-01,1.0747939843288288,-0.01545231791565771
2023-03-02,1.082523278488373,-0.008372022752227481
2023-03-03,1.0883782045688826,-0.0030087122151476464
2023-03-06,1.0929211431317358,0.0
2023-03-07,1.09938631255235,0.0
2023-03-08,1.1025563334088468,0.0
2023-03-09,1.1102832938265546,0.0
2023-03-10,1.0909735838054335,-0.017391696451246053
2023-03-13,1.0797118979931237,-0.027534770633238614
2023-03-14,1.0802127735705414,-0.027083646510050685
2023-03-15,1.0852014571653399,-0.02259048370868566
2023-03-16,1.074924477503707,-0.031846661585787306
2023-03-17,1.074294551604815,-0.032414017595190026
2023-03-20,1.0796120148056954,-0.027624732526733475
2023-03-21,1.0861805524704355,-0.021708640929874456
2023-03-22,1.092724322729174,-0.01581485661813753
2023-03-23,1.092823090330352,-0.015725899500862117
2023-03-24,1.1043752005088907,-0.005321248505236742
2023-03-27,1.1049663386648076,-0.004788827492326009
2023-03-28,1.1044369720015037,-0.005265612711240264
2023-03-29,1.0994939314194363,-0.00971766617322778
2023-03-30,1.105915486332897,-0.003933957682641487
2023-03-31,1.1082740910265916,-0.0018096307592256888
2023-04-06,1.1118646169189128,0.0
2023-04-07,1.108721005550171,-0.0028273328613090953
2023-04-10,1.1065118230315631,-0.004814249690023198
2023-04-11,1.116879852093064,0.0
2023-04-12,1.1262658259339418,0.0
2023-04-13,1.130911129259004,0.0
2023-04-14,1.1272960816004116,-0.0031965797886885916
2023-04-17,1.1328601599523573,0.0
2023-04-18,1.134599442415569,0.0
2023-04-19,1.1329983227735312,-0.0014111761227636466
2023-04-20,1.1268498924351,-0.006830207816751699
2023-04-21,1.1227956668455363,-0.010403473797679919
2023-04-24,1.1154529639832003,-0.016875099455016307
2023-04-25,1.1234780015900019,-0.009802085572939712
2023-04-26,1.1031431616911889,-0.027724569172543845
2023-04-27,1.1085934581063213,-0.02292085059893989
2023-04-28,1.1174967112190481,-0.015073805395240614
2023-05-02,1.1265992591553464,-0.007051108048484633
2023-05-03,1.1346744719380617,0.0
2023-05-04,1.1320414558578211,-0.0023205034971336413
2023-05-05,1.1425156060491326,0.0
2023-05-08,1.1467467928479234,0.0
2023-05-09,1.1499376571644828,0.0
2023-05-10,1.1473393052903644,-0.002259558905589154
2023-05-11,1.1441808770756472,-0.0050061671195555935
2023-05-12,1.1332299737579383,-0.014529207998755567
2023-05-15,1.139256526195198,-0.009288443510600763
2023-05-16,1.1422215438106056,-0.006710027544365893
2023-05-17,1.1464660031720921,-0.0030189932217291604
2023-05-18,1.1594675573501212,0.0
2023-05-19,1.1745523425546975,0.0
2023-05-22,1.1739870043574314,-0.0004813222678833329
2023-05-23,1.1734186758386647,-0.0009651904601944983
2023-05-24,1.1692101619208721,-0.004548269532378524
2023-05-26,1.1866190921014705,0.0
2023-05-29,1.205508984547761,0.0
2023-05-30,1.2112410591366587,0.0
2023-05-31,1.2058691820793974,-0.004435018955756154
2023-06-01,1.2003460567574895,-0.008994908401581792
2023-06-02,1.2086023029063564,-0.0021785557964680846
2023-06-05,1.2248405876747142,0.0
2023-06-06,1.2255434798134568,0.0
2023-06-07,1.2351631747477216,0.0
2023-06-08,1.2393476483779478,0.0
2023-06-09,1.239583924300649,0.0
2023-06-12,1.260007741842041,0.0
2023-06-13,1.2630757364518046,0.0
2023-06-14,1.2675851296597287,0.0
2023-06-15,1.2843857779436059,0.0
2023-06-16,1.2930191276262837,0.0
2023-06-19,1.2863300174433039,-0.005173249211911979
2023-06-20,1.2870771483463568,-0.004595430301820191
2023-06-21,1.2830097801897749,-0.007741066796810636
2023-06-26,1.282783274399501,-0.007916242697487141
2023-06-27,1.2739556270743406,-0.01474340181412448
2023-06-28,1.270451787019383,-0.01745321482469453
2023-06-29,1.275248157676312,-0.013743779631934405
2023-06-30,1.274044710814881,-0.014674505895543755
2023-07-03,1.2957259952126916,0.0
2023-07-04,1.3170010952094613,0.0
2023-07-05,1.331021833796991,0.0
2023-07-06,1.3078824514645138,-0.017384675250944448
2023-07-07,1.2940876965525219,-0.027748708778959408
