date,dd120,vol20,breadth60,crisis_votes,crisis
2011-01-03,-0.007942680305194294,0.08791722936107327,0.6166666666666667,0,false
2011-01-04,-0.0065686440231731424,0.0875989555804488,0.6333333333333333,0,false
2011-01-05,-0.0032436476315335083,0.08679792877526105,0.65,0,false
2011-01-06,-0.013004277992807012,0.0938347487032133,0.6333333333333333,0,false
2011-01-07,-0.006569724860805759,0.09548314096526425,0.6333333333333333,0,false
2011-01-10,-0.01587783837957424,0.10144192513651702,0.6333333333333333,0,false
2011-01-11,-0.017422002683078475,0.09840472610756922,0.6333333333333333,0,false
2011-01-12,-0.005979803024300123,0.10531778212397581,0.65,0,false
2011-01-13,-0.0004702640967493288,0.10299012878489297,0.65,0,false
2011-01-14,-0.0057678172429243,0.10166396764621739,0.6333333333333333,0,false
2011-01-17,-0.0036109930825281022,0.10173111390765406,0.6333333333333333,0,false
2011-01-18,-0.012408844730584678,0.10674727119307918,0.6166666666666667,0,false
2011-01-19,-0.006113706067532587,0.10703815785129357,0.6166666666666667,0,false
2011-01-20,-0.0033801247012497093,0.10427934055467036,0.6333333333333333,0,false
2011-01-21,-0.009513060194197398,0.10525317027909209,0.6166666666666667,0,false
2011-01-24,-0.0041330601919618015,0.10655162211739215,0.6333333333333333,0,false
2011-01-25,-0.004434264509087016,0.10654593655588189,0.6333333333333333,0,false
2011-01-26,-0.00735556907773649,0.10429669929901361,0.6333333333333333,0,false
2011-01-27,-0.003222468045087079,0.09826950704895614,0.65,0,false
2011-01-28,-0.0028792258083322197,0.09724136350227168,0.65,0,false
2011-02-08,0.0,0.09533957857423864,0.65,0,false
2011-02-09,-0.009008168977891806,0.10109409316405908,0.65,0,false
2011-02-10,-0.0165266435388014,0.10374930771675053,0.6333333333333333,0,false
2011-02-11,-0.021152905592326188,0.09918833133832755,0.6166666666666667,0,false
2011-02-14,-0.0388818313951228,0.11424106448450089,0.6,0,false
2011-02-15,-0.037345865900284325,0.11079582954761287,0.6166666666666667,0,false
2011-02-16,-0.03128096372046507,0.11369283588140745,0.6333333333333333,0,false
2011-02-17,-0.026033573184647718,0.10676850050178709,0.65,0,false
2011-02-18,-0.023211639204336776,0.1050622518704868,0.65,0,false
2011-02-21,-0.016731248329143966,0.10710012509074016,0.65,0,false
2011-02-22,-0.024439720235128637,0.10977469212136605,0.65,0,false
2011-02-23,-0.040581387746861264,0.12009859471417393,0.6333333333333333,0,false
2011-02-24,-0.04942869060739241,0.11966253830449236,0.6333333333333333,0,false
2011-02-25,-0.04386837768346408,0.1218035053494712,0.6333333333333333,0,false
2011-03-01,-0.03682058254775511,0.12497552564872978,0.6333333333333333,0,false
2011-03-02,-0.033570058477239595,0.1237272894751094,0.6333333333333333,0,false
2011-03-03,-0.023455114729266535,0.13063459020613727,0.6333333333333333,0,false
2011-03-04,-0.011960396737612955,0.13768544225251783,0.6333333333333333,0,false
2011-03-07,-0.02184960870330621,0.1410626863061437,0.6166666666666667,0,false
2011-03-08,-0.02158806605365482,0.14105486586809654,0.6166666666666667,0,false
2011-03-09,-0.012811683673956464,0.14359099186525143,0.6166666666666667,0,false
2011-03-10,-0.017408592239199105,0.14102140895580498,0.6,0,false
2011-03-11,-0.03392972495987423,0.15073740210396608,0.5833333333333334,0,false
2011-03-14,-0.034226020223570575,0.15005256209576992,0.5666666666666667,0,false
2011-03-15,-0.05391207518709806,0.15373442755449168,0.55,0,false
2011-03-16,-0.09350211923091034,0.21146516772471005,0.5333333333333333,0,false
2011-03-17,-0.10750062449900022,0.21297664673268538,0.5166666666666667,0,false
2011-03-18,-0.09125897278118078,0.2249684087925926,0.5333333333333333,0,false
2011-03-21,-0.07379134145916799,0.23807467949614386,0.55,0,false
2011-03-22,-0.058276483205614404,0.2458312030613522,0.55,0,false
2011-03-23,-0.05331045972755144,0.24613541701065003,0.55,0,false
2011-03-24,-0.04477006975451714,0.2419446187446002,0.5666666666666667,0,false
2011-03-25,-0.03807020436540598,0.24069315961019486,0.5666666666666667,0,false
2011-03-28,-0.04445877580191815,0.24123510443722396,0.55,0,false
2011-03-29,-0.05433784133488895,0.24232418826974436,0.5333333333333333,0,false
2011-03-30,-0.047975328201165346,0.2433814628906364,0.55,0,false
2011-03-31,-0.043547461223104156,0.24072335750308274,0.5666666666666667,0,false
2011-04-01,-0.04231703754582661,0.23622214774005537,0.5833333333333334,0,false
2011-04-06,-0.03603085271590756,0.23558481495002367,0.6,0,false
2011-04-07,-0.032486702910041076,0.23606626247641607,0.6,0,false
2011-04-08,-0.026577038497941463,0.234765981098821,0.6,0,false
2011-04-11,-0.022379156029443403,0.23486757284606083,0.6,0,false
2011-04-12,-0.028234872580810033,0.22771463910784198,0.5833333333333334,0,false
2011-04-13,-0.035278418563061575,0.22932486021834528,0.5833333333333334,0,false
2011-04-14,-0.028310465896000947,0.21732945775123874,0.5833333333333334,0,false
2011-04-15,-0.02083346012117493,0.14591338078013796,0.6,0,false
2011-04-18,-0.024455607755755393,0.13039201520852584,0.6,0,false
2011-04-19,-0.04000960112369556,0.1388346192930033,0.5833333333333334,0,false
2011-04-20,-0.03256291864469674,0.1262217965020132,0.5833333333333334,0,false
2011-04-21,-0.01928698942243312,0.12198142825236015,0.6,0,false
2011-04-22,-0.015875810919745992,0.12151951895184884,0.6,0,false
2011-04-25,-0.010288965167654984,0.11950845186993012,0.6166666666666667,0,false
2011-04-26,-0.018248695426464123,0.12270649589268143,0.6,0,false
2011-04-27,-0.008150205558749346,0.12334598434360124,0.6,0,false
2011-04-28,-0.00894031501555459,0.11517327264103501,0.6,0,false
2011-04-29,-0.015516123251415825,0.11819854481728763,0.5833333333333334,0,false
2011-05-03,-0.026066582445990805,0.12548030691974604,0.5833333333333334,0,false
2011-05-04,-0.04146465860653881,0.1388134306651219,0.5833333333333334,0,false
2011-05-05,-0.03193444706310811,0.14140014200014986,0.5833333333333334,0,false
2011-05-06,-0.028640147843749242,0.14131549362562226,0.5833333333333334,0,false
2011-05-09,-0.02268911896806236,0.14132564673076847,0.5833333333333334,0,false
2011-05-10,-0.020703968039599174,0.14068365866094304,0.6,0,false
2011-05-11,-0.019708963373390898,0.13883203246570536,0.6166666666666667,0,false
2011-05-12,-0.031217166735423185,0.14299804866723717,0.6166666666666667,0,false
