i,utility,s_crisis_mean_excess,boot,cagr
0,0.034107903568982245,-0.0012042698260061363,0.3954,0.1863189561373808
1,0.05197334118846936,0.00029147877862767825,0.453,0.2009405699265585
2,0.06179825873597006,0.0004177617535032308,0.501,0.2107654798137486
3,0.06653931438127075,-0.0006965698677170209,0.5246,0.2155065354592065
4,0.03740960194290366,-0.00022963343729882272,0.4768,0.2004288346488059
5,0.05197334118846936,0.0003035740332219484,0.453,0.2009405699265585
6,0.012443058058298928,-0.0003494151247621019,0.3758,0.18317067976480095
7,0.05197334118846936,0.00013600701186765115,0.453,0.2009405699265585
8,0.0586040842734703,0.0016105151218306964,0.458,0.1959334209465191
9,0.023741346840798427,-0.0006746336258717743,0.3918,0.18676057955583447
10,0.047287065273526274,-0.0004781913313496049,0.3824,0.19015730944194997
11,0.04354657530853112,-0.00042934795569974244,0.3278,0.18087591196602482
12,0.020823765634160663,-0.0005363568359463044,0.3776,0.18384626826678607
13,0.045558339560549554,0.0005724469922424956,0.396,0.19416861097053872
14,0.008941446275881726,0.00014109944277138927,0.2406,0.15790867506395112
15,0.0385157480072813,0.0013835180969147495,0.3478,0.18269532401427635
16,0.03918119751508231,-0.0009202642665619571,0.3426,0.18120253417211196
17,0.034717211232621004,0.00037278100949168146,0.4296,0.18538309346904458
18,0.06957661498430806,-0.0004894693131514791,0.4958,0.21062650417980522
19,0.001410562848820185,0.0002092126925287678,0.2656,0.1642123689267967
