overlay,cagr,max_drawdown,utility,average_daily_turnover,block_bootstrap_positive_probability,mean_daily_excess,hac_t_stat,mean_gross_exposure,ending_nav,total_cost,turnover_gate_pass,bootstrap_gate_pass,both_gates_pass,is_baseline,mean_schedule_exposure
BASE_FULL,0.10556706893635148,-0.3023731520676275,-0.045619507097462264,0.020450275367238705,0.8066,0.00012055807150796657,0.7734100331411837,0.9994929006085193,2.19228847163767,0.18580262177206602,true,true,true,true,1.0
REGIME_OFF_050,0.07333350621804646,-0.16411489209259,-0.00872393982824854,0.017438430773778324,0.4264,-0.00003449617454805474,-0.2263522175335676,0.822302206896587,1.7393587187244977,0.14266012000158754,true,false,false,false,0.8306887847097006
STATIC_050,0.05868729239264869,-0.16024512761980292,-0.021435271417252766,0.01104295200624622,0.2576,-0.00010194626913598377,-0.6666428450398225,0.5411197657837012,1.5621358453196912,0.08841450688112813,true,false,false,false,0.5
VOL15_x_DD,0.07277294623734498,-0.20170645515633356,-0.0280802813408218,0.017972787645711592,0.4356,-0.000027642424462129586,-0.1799529951010768,0.8973088538982055,1.7322663853953397,0.14515040966196113,true,false,false,false,0.8195287209476083
STATIC_070,0.08105709333151268,-0.21943567642093076,-0.028660744878952704,0.01541809127851206,0.5248,-3.7411066594065167e-7,-0.0026481583402828478,0.7537327767516915,1.8396899995360878,0.13160572418997982,true,false,false,false,0.7000000000000001
DD_BRAKE,0.07065376179191185,-0.20546255883460107,-0.032077517625388685,0.01803254828023766,0.4192,-0.00003410436628428693,-0.2245433641452547,0.914184968417479,1.7056813672908797,0.14085099333050727,true,false,false,false,0.8879733141002524
VOL_TARGET_15,0.08694578547618326,-0.2661525700101778,-0.04613049952890563,0.019208236377866894,0.6058,0.0000350282571730612,0.2423859270102292,0.9391893398491223,1.9195409003099402,0.16563315468788706,true,false,false,false,0.8577555201464746
VOTE_CRISIS,0.08762892364821928,-0.29048494989700613,-0.05761355130028378,0.01966920962606368,0.6324,0.00004232999111299276,0.27904402906457476,0.9616120411921143,1.9289970691942369,0.165311429993805,true,false,false,false,0.9358997475658132
