family,top_k,rebalance_every,exit_multiple,neutralization,industry_cap,min_hold_cycles,liquidity_floor,replace_rank_gap,cagr,max_drawdown,average_daily_turnover,total_cost,trade_count,ending_nav,utility,block_bootstrap_positive_probability,mean_daily_excess,hac_t_stat,turnover_gate_pass,bootstrap_gate_pass,implied_avg_rebalance_day_turnover,diag_rebalance_events,diag_forced_rank_exits,diag_liquidity_or_missing_exits,diag_min_hold_blocks,diag_replace_gap_blocks,diag_mean_jaccard,diag_mean_one_way_name_churn,diag_mean_names_held,diag_exit_rank,both_gates_pass
reb_buffer_expand,20,42,2.0,NONE,5,0,20000000.0,0,0.10038792073507619,-0.3007120488380899,0.02195110039323891,0.20090324349277677,1385,2.113234146378882,-0.049968103683968756,0.7672,0.00010267525858099235,0.6362629315127005,true,true,0.9219462165160343,47,364,87,0,0,0.3976675857714596,0.49021739130434777,20.0,40,true
liquidity_floor,30,42,2.0,NONE,5,0,100000000.0,0,0.07762268525928384,-0.27677346785165857,0.017638491801000758,0.14723108821904116,1934,1.7944698768203389,-0.060764048666545445,0.5774,0.000014127537937925421,0.10284765331660667,true,false,0.7408166556420318,47,374,154,0,0,0.48176866892844616,0.3826086956521739,30.0,60,false
reb_buffer_expand,20,42,4.0,NONE,5,0,20000000.0,0,0.07910190720064447,-0.2904056093901295,0.012371233504436833,0.10155889808843559,1179,1.813826197169032,-0.06610089749442027,0.568,0.000010937358380156875,0.07589963733112576,true,false,0.519591807186347,47,177,67,0,0,0.6381161275294753,0.2652173913043479,20.0,80,false
liquidity_floor,30,21,3.0,NONE,5,0,100000000.0,0,0.06259396509453041,-0.2644647484494742,0.01597981617167199,0.13060951936166473,3277,1.6077936381826516,-0.06963840913020669,0.4018,-0.0000437794060013743,-0.33710727637265614,true,false,0.3355761396051118,94,269,192,0,0,0.7366516528985898,0.16523297491039426,30.0,90,false
reb_buffer_expand,20,42,3.0,NONE,5,0,20000000.0,0,0.07920950998433085,-0.30848182739403773,0.017644085889273617,0.15089043204552094,1289,1.8152413081699765,-0.07503140371268802,0.5902,0.000020745801297382012,0.13359569659589007,true,false,0.7410516073494919,47,279,75,0,0,0.5051000849301107,0.3847826086956522,20.0,60,false
reb_buffer_expand,20,42,5.0,NONE,5,0,20000000.0,0,0.07450724799631292,-0.29973694410070784,0.008583006763623544,0.0680640681953356,1100,1.7542912473789418,-0.075361224054041,0.5114,-0.00001182363030054143,-0.08461408612581668,true,false,0.36048628407218886,47,109,56,0,0,0.7307541982530574,0.1793478260869565,20.0,100,false
min_hold,30,42,2.0,NONE,5,2,20000000.0,0,0.07735813993877505,-0.30691122364120105,0.01971480199592104,0.16453078050759407,1995,1.7910272337118547,-0.07609747188182547,0.5722,0.00001384763622694665,0.099726348318838,true,false,0.8280216838286837,47,435,156,0,0,0.4417775915519911,0.42826086956521736,30.0,60,false
replace_rank_gap,30,42,2.0,NONE,5,0,20000000.0,5,0.07735813993877505,-0.30691122364120105,0.01971480199592104,0.16453078050759407,1995,1.7910272337118547,-0.07609747188182547,0.5722,0.00001384763622694665,0.099726348318838,true,false,0.8280216838286837,47,435,156,0,0,0.4417775915519911,0.42826086956521736,30.0,60,false
reb_buffer_expand,30,42,2.0,NONE,5,0,20000000.0,0,0.07735813993877505,-0.30691122364120105,0.01971480199592104,0.16453078050759407,1995,1.7910272337118547,-0.07609747188182547,0.5722,0.00001384763622694665,0.099726348318838,true,false,0.8280216838286837,47,435,156,0,0,0.4417775915519911,0.42826086956521736,30.0,60,false
replace_rank_gap,30,42,2.0,NONE,5,0,20000000.0,10,0.07680716641714169,-0.30691122364120105,0.019555429703083195,0.16288324190962777,1990,1.7838756625494285,-0.07664844540345883,0.564,0.000011885797884429625,0.08594830124488391,true,false,0.8213280475294942,47,433,155,0,39,0.4446633528596617,0.4246376811594203,30.0,60,false
liquidity_floor,30,42,2.0,NONE,5,0,50000000.0,0,0.07734383135206335,-0.31178510656053204,0.019410480242665062,0.162632520736745,1985,1.7908411941779399,-0.07854872192820267,0.5752,0.000014334991863207949,0.10266462651583572,true,false,0.8152401701919326,47,431,149,0,0,0.44964286107081103,0.4202898550724638,30.0,60,false
reb_buffer_expand,20,21,4.0,NONE,5,0,20000000.0,0,0.07791605758607378,-0.3165390041997609,0.016889591462819303,0.13696669619953308,2216,1.7982944058251336,-0.08035344451380666,0.5604,0.000010840568548786926,0.07499050911816249,true,false,0.35468142071920533,94,259,82,0,0,0.7356399477552266,0.18333333333333338,20.0,80,false
reb_buffer_expand,20,21,3.0,NONE,5,0,20000000.0,0,0.0773217333532712,-0.32852012700883104,0.023612156509866512,0.19543898631695222,2349,1.790553910208568,-0.08693833015114433,0.5778,0.00001749173421730768,0.11062759811228534,true,false,0.49585528670719675,94,370,104,0,0,0.6538747267947135,0.2548387096774194,20.0,60,false
liquidity_floor,30,21,3.0,NONE,5,0,50000000.0,0,0.06452063718038992,-0.3175577736285672,0.016512335689788573,0.12838198055475827,3304,1.630736298177754,-0.09425824963389368,0.4192,-0.00003830804600720739,-0.30240251816005814,true,false,0.34675904948556,94,335,155,0,0,0.7271752235438774,0.17562724014336917,30.0,90,false
reb_buffer_expand,30,21,4.0,NONE,5,0,20000000.0,0,0.04113947956556596,-0.27174998338484835,0.00904941391528021,0.06338429527176875,3064,1.3707073086019808,-0.09473551212685821,0.1574,-0.0001369147587428115,-1.0810646617119382,true,false,0.1900376922208844,94,139,112,0,0,0.8447462199299309,0.08996415770609317,30.0,120,false
reb_buffer_expand,30,21,3.0,NONE,5,0,20000000.0,0,0.06390670697342293,-0.3195619029553489,0.016964279475659958,0.13156829999684297,3319,1.6233948694680251,-0.09587424450425153,0.4144,-0.00004133747429955156,-0.32315066520846014,true,false,0.35624986898885913,94,351,154,0,0,0.7212610718110782,0.1810035842293907,30.0,90,false
replace_rank_gap,30,21,3.0,NONE,5,0,20000000.0,10,0.06390670697342293,-0.3195619029553489,0.016964279475659958,0.13156829999684297,3319,1.6233948694680251,-0.09587424450425153,0.4144,-0.00004133747429955156,-0.32315066520846014,true,false,0.35624986898885913,94,351,154,0,0,0.7212610718110782,0.1810035842293907,30.0,90,false
replace_rank_gap,30,21,3.0,NONE,5,0,20000000.0,5,0.06390670697342293,-0.3195619029553489,0.016964279475659958,0.13156829999684297,3319,1.6233948694680251,-0.09587424450425153,0.4144,-0.00004133747429955156,-0.32315066520846014,true,false,0.35624986898885913,94,351,154,0,0,0.7212610718110782,0.1810035842293907,30.0,90,false
min_hold,30,21,3.0,NONE,5,2,20000000.0,0,0.06390670697342293,-0.3195619029553489,0.016964279475659958,0.13156829999684297,3319,1.6233948694680251,-0.09587424450425153,0.4144,-0.00004133747429955156,-0.32315066520846014,true,false,0.35624986898885913,94,351,154,0,0,0.7212610718110782,0.1810035842293907,30.0,90,false
